,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
0,Across the Universe,Let It BePast Masters,LennonMcCartney,John Lennon,1969,[49][50]
1,Act Naturally,Help!,Johnny RussellVoni Morrison,Ringo Starr,1965,[51]
2,All I've Got to Do,With the Beatles,LennonMcCartney,Lennon,1963,[52]
3,All My Loving,With the Beatles,LennonMcCartney,Paul McCartney,1963,[52]
4,All Together Now,Yellow Submarine,LennonMcCartney,McCartney(with Lennon),1969,[53]
5,All You Need Is Love,Magical Mystery Tour,LennonMcCartney,Lennon,1967,[54][55]
6,And I Love Her,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
7,And Your Bird Can Sing,Revolver,LennonMcCartney,Lennon,1966,[57]
8,Anna (Go to Him),Please Please Me,Arthur Alexander,Lennon,1963,[58]
9,Another Girl,Help!,LennonMcCartney,McCartney,1965,[51]
10,Any Time at All,A Hard Day's Night,LennonMcCartney,Lennon(with McCartney),1964,[56]
11,Ask Me Why,Please Please Me,LennonMcCartney,Lennon,1963,[58]
12,Baby It's You,Please Please Me,Burt BacharachHal DavidLuther Dixon,Lennon,1963,[58]
13,"Baby, You're a Rich Man","Magical Mystery Tour(B-side of ""All You Need Is Love"")",LennonMcCartney,Lennon,1967,[54][55]
14,Baby's in Black,Beatles for Sale,LennonMcCartney,LennonMcCartney,1964,[59]
15,Back in the U.S.S.R.,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
16,Bad Boy,Past Masters,Larry Williams,Lennon,1966,[50]
17,The Ballad of John and Yoko,Past Masters,LennonMcCartney,Lennon,1969,[50][61]
18,Because,Abbey Road,LennonMcCartney,LennonMcCartneyHarrison,1969,[62]
19,Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967,[63]
20,Birthday,"The Beatles (""White Album"")",LennonMcCartney,McCartney(with Lennon),1968,[60]
21,Blackbird,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
22,Blue Jay Way,Magical Mystery Tour,George Harrison,Harrison,1967,[55]
23,Boys,Please Please Me,Luther DixonWes Farrell,Starr,1963,[58]
24,Can't Buy Me Love,A Hard Day's Night,LennonMcCartney,McCartney,1964,[56]
25,Carry That Weight,Abbey Road,LennonMcCartney,"McCartney(with Lennon,Harrison,and Starr)",1969,[62]
26,Chains,Please Please Me,Gerry GoffinCarole King,Harrison,1963,[58]
27,Come Together,Abbey Road,LennonMcCartney,Lennon,1969,[62]
28,The Continuing Story of Bungalow Bill,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with Yoko Ono),1968,[60]
29,Cry Baby Cry,"The Beatles (""White Album"")",LennonMcCartney,Lennon(with McCartney),1968,[60]
30,A Day in the Life,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,LennonMcCartney,1967,[63]
