time,beats
0.220997732,1
1.01,2
1.822993197,3
2.611995464,4
3.412993197,1
4.202993197,2
4.9919954639999995,3
5.792993197,4
6.60600907,1
7.407006802000001,2
8.208004535,3
8.998004535,4
9.787006802,1
10.552993197000001,2
11.308004535,3
12.050997732,4
12.887006802,1
13.7,2
14.46600907,3
15.243990929,4
16.01,1
16.77600907,2
17.530997732,3
18.32,4
19.098004535,1
19.888004535,2
20.642993197,3
21.409002267,4
22.187006802,1
22.963990929,2
23.719002266999997,3
24.484988662,4
25.251995464,1
26.03,2
26.807006801999997,3
27.608004535,4
28.398004535,1
29.199002266999997,2
29.977006802,3
30.754988662,4
31.520997731999998,1
32.299002267,2
33.077006802,3
33.86600907,4
34.632993197,1
35.399002267,2
36.188004535,3
36.96600907,4
37.767006802,1
38.557006802,2
39.335011337,3
40.100997731999996,4
40.867006802,1
41.657006802,2
42.44600907,3
43.23600907,4
44.024988662,1
44.813990929,2
45.569002266999995,3
46.300997732,4
47.067006802,1
47.844988662,2
48.588004535,3
49.353990929,4
50.142993196999996,1
50.95600907,2
51.721995463999995,3
52.465011337,4
53.255011337,1
54.043990928999996,2
54.84600907,3
55.6,4
56.354988662,1
57.132993197,2
57.910997732,3
58.688004535,4
59.46600907,1
60.243990929,2
61.01,3
61.73,4
62.508004535,1
63.320997731999995,2
64.087006802,3
64.852993197,4
65.62,1
66.420997732,2
67.187006802,3
67.941995464,4
68.708004535,1
69.450997732,2
70.20600907,3
70.995011337,4
71.77299319699999,1
72.56199546399999,2
73.32900226699999,3
74.09498866199999,4
74.860997732,1
75.592993197,2
76.33600907,3
77.101995464,4
77.88,1
78.691995464,2
79.459002267,3
80.224988662,4
81.002993197,1
81.75700680199999,2
82.5,3
83.29,4
84.05600907,1
84.833990929,2
85.6,3
86.35501133700001,4
87.11,1
87.852993197,2
88.61900226700001,3
89.361995464,4
90.14,1
90.96399092899999,2
91.753990929,3
92.484988662,4
93.250997732,1
94.018004535,2
94.783990929,3
95.572993197,4
96.34,1
97.117006802,2
97.871995464,3
98.62700680200001,4
99.405011337,1
100.181995464,2
100.93700680200001,3
101.70299319700001,4
102.44600907,1
103.212993197,2
103.97900226700001,3
104.768004535,4
105.534988662,1
106.30099773200001,2
107.09,3
107.88,4
108.64600907,1
109.43600907,2
110.212993197,3
110.99099773200001,4
111.758004535,1
112.534988662,2
113.31299319700001,3
114.08,4
114.84600907,1
115.659002267,2
116.38399092899999,3
117.091995464,4
117.87600907,1
118.575011337,2
119.348004535,3
120.123990929,4
120.85900226700001,1
121.64600907,2
122.42199546399999,3
123.144988662,4
123.93700680200001,1
124.720997732,2
125.44600907,3
126.234988662,4
126.942993197,1
127.69099773200001,2
128.482993197,3
129.212993197,4
129.939002267,1
130.65501133700002,2
131.371995464,3
132.11700680200002,4
132.81498866200002,1
133.54,2
134.26099773200002,3
135.033990929,4
135.650997732,1
136.487006802,2
137.23,3
137.972993197,4
138.67,1
139.400997732,2
140.131995464,3
140.87501133700002,4
141.59498866200002,1
142.302993197,2
143.07,3
143.79,4
144.520997732,1
145.240997732,2
145.995011337,1
146.70399092899999,2
147.43501133700002,3
148.19,4
148.91,1
149.652993197,2
150.349002267,3
151.08099773200001,4
151.8,1
152.531995464,2
153.26299319700001,3
153.96,4
154.71501133700002,1
155.410997732,2
156.153990929,1
156.88600907,2
157.61700680200002,3
158.348004535,4
159.068004535,1
159.810997732,2
160.508004535,1
161.250997732,2
161.981995464,3
162.701995464,4
163.421995464,1
164.141995464,2
164.89700680200002,3
165.61600907,4
166.312993197,1
167.05600907,2
167.752993197,3
168.483990929,4
169.20399092899999,1
169.911995464,2
170.631995464,3
171.37501133700002,4
172.118004535,1
172.838004535,2
173.58099773200001,3
174.32399092900002,4
175.02,1
175.775011337,2
176.50600907,3
177.25,4
177.958004535,1
178.70099773200002,2
179.431995464,3
180.175011337,4
180.918004535,1
181.660997732,2
182.403990929,3
183.112993197,4
183.83199546400002,1
184.56399092900003,2
185.271995464,3
185.991995464,4
186.7,1
187.44299319700002,2
188.173990929,3
188.893990929,4
189.62600907,1
190.34600907,2
191.089002267,3
191.797006802,4
192.528004535,1
193.270997732,2
193.979002267,3
194.73399092900002,4
195.46600907,1
196.20900226700002,2
196.928004535,3
197.69498866200001,4
198.438004535,1
199.169002267,2
199.91199546400003,3
200.643990929,4
201.42099773200002,1
202.14099773200002,2
202.89600907,3
203.60399092900002,4
204.359002267,1
205.09,2
205.832993197,3
206.57600907,4
207.29600907,1
208.050997732,2
208.770997732,3
209.51399092900002,4
210.21,1
210.977006802,2
211.708004535,3
212.439002267,4
213.19399092900002,1
213.91399092900002,2
214.63399092900002,3
215.35299319700002,3
216.108004535,1
216.873990929,2
217.61700680200002,3
218.36,4
219.05700680200002,1
219.811995464,2
220.530997732,3
221.275011337,4
221.993990929,1
222.713990929,2
223.457006802,3
224.153990929,4
224.931995464,1
225.650997732,2
226.395011337,3
227.090997732,4
227.833990929,1
228.589002267,2
229.28498866200002,3
230.028004535,4
230.737006802,1
231.45600907,2
232.188004535,3
232.89600907,4
233.628004535,1
234.33600907,2
235.067006802,3
235.787006802,4
236.53,1
237.25,2
237.97,3
238.70099773200002,4
239.432993197,1
240.17600907,2
240.88399092900002,3
241.58,4
242.311995464,1
243.02,2
243.728004535,3
244.43600907,4
245.13299319700002,1
245.85299319700002,2
246.54900226700002,3
247.24600907,4
247.98900226700002,1
248.688004535,2
249.395011337,3
250.069002267,4
250.800997732,1
251.522993197,2
252.238004535,3
252.901995464,4
253.59600907,1
254.29199546400002,2
254.968004535,4
255.667006802,1
256.360997732,2
257.048004535,3
257.780997732,4
258.533990929,1
259.274988662,2
