time,beats
1.48600907,1
2.153990929,2
2.81,3
3.477006802,4
4.1390022669999995,1
4.807006802,2
5.473990929,3
6.13600907,4
6.802993197,1
7.477006802000001,2
8.15,3
8.818004535,4
9.484988662000001,1
10.152993197,2
10.814988662000001,3
11.47600907,4
12.138004535,1
12.8,2
13.45600907,3
14.118004535,4
14.785011337,1
15.447006802,2
16.109002267,3
16.770997732,4
17.431995464,1
18.1,2
18.768004535,3
19.429002267,4
20.097006802,1
20.763990929000002,2
21.438004535,3
22.117006802,4
22.79600907,1
23.480997732,2
24.16,3
24.828004535,4
25.49600907,1
26.169002267,2
26.841995464,3
27.51600907,4
28.182993197,1
28.850997732,2
29.523990929,3
30.191995464,4
30.859002266999997,1
31.527006802,2
32.189002267,3
32.85600907,4
33.53,1
34.202993197,2
34.87600907,3
35.55600907,4
36.240997732,1
36.92,2
37.592993197,3
38.260997732,4
38.933990929000004,1
39.612993197,2
40.280997731999996,3
40.948004535,4
41.621995464,1
42.295011337,2
42.962993196999996,3
43.63,4
44.309002267,1
44.982993197,2
45.65600907,3
46.335011337,4
47.009002267,1
47.681995463999996,2
48.35600907,3
49.029002266999996,4
49.708004535,1
50.387006801999995,2
51.06600907,3
51.750997731999995,4
52.430997732,1
53.11,2
53.789002267,3
54.461995464,4
55.141995464,1
55.820997731999995,2
56.5,3
57.179002267,4
57.858004535,1
58.538004535,2
59.204988662,3
59.872993197,4
60.551995463999994,1
61.237006801999996,2
61.921995464,3
62.607006802,4
63.291995463999996,1
63.977006802,2
64.65600907,3
65.32900226699999,4
66.002993197,1
66.681995464,2
67.360997732,3
68.033990929,4
68.708004535,1
69.387006802,2
70.06600907,3
70.74,4
71.419002267,1
72.10399092899999,2
72.789002267,3
73.468004535,4
74.140997732,1
74.82,2
75.51099773199999,3
76.20199546399999,4
76.887006802,1
77.571995464,2
78.25700680199999,3
78.941995464,4
79.627006802,1
80.31199546399999,2
80.997006802,3
81.67600907,4
82.355011337,1
83.04,2
83.724988662,3
84.41,4
85.09498866199999,1
85.78,2
86.465011337,3
87.15,4
87.840997732,1
88.53199546399999,2
89.21700680200001,3
89.901995464,4
90.587006802,1
91.26600907,2
91.939002267,3
92.61299319700001,4
93.298004535,1
93.989002267,2
94.673990929,3
95.35900226700001,4
96.043990929,1
96.72900226700001,2
97.413990929,3
98.098004535,4
98.78299319700001,1
99.473990929,2
100.16501133700001,3
100.85,4
101.534988662,1
102.22600907,2
102.917006802,3
103.601995464,4
104.291995464,1
104.98299319700001,2
105.673990929,3
106.364988662,4
107.05,1
107.734988662,2
108.42600907,3
109.128004535,4
109.83,1
110.527006802,2
111.218004535,3
111.897006802,4
112.57,1
113.25,2
113.94,3
114.625011337,4
115.31,1
115.989002267,2
116.66099773200001,3
117.364988662,4
118.034988662,5
118.715011337,1
119.398004535,2
120.04,3
120.741995464,4
121.398004535,1
122.072993197,2
122.76299319700001,3
123.417006802,4
