time,beats
0.327006802,1
1.149002267,2
1.918004535,3
2.693990929,4
3.477006802,1
4.260997732,2
5.0319954639999995,3
5.804988662,4
6.580997732,1
7.360997732,2
8.127006802,3
8.892993197000001,4
9.66,1
10.449002267000001,2
11.251995464,1
12.062993197,2
12.850997732,3
13.641995464,4
14.430997732,1
15.220997732,2
15.981995464,3
16.741995464000002,4
17.498004535,1
18.273990929,2
19.049002267,3
19.852993197,4
20.663990929,1
21.478004535,2
22.250997732,3
23.022993196999998,4
23.79,1
24.578004535,2
25.350997732,3
26.121995464,4
26.86,1
27.62,2
28.391995464,1
29.187006802,2
29.948004535,3
30.72,4
31.487006802,1
32.27600907,2
33.04,3
33.82,4
34.581995464,1
35.363990929,2
36.123990929,3
36.908004535,4
37.677006802,1
38.463990929,2
39.218004535,3
39.99600907,4
40.763990929,1
41.551995464,2
42.301995464,3
43.072993196999995,4
43.829002267,1
44.617006802,2
45.379002267,3
46.160997732,4
46.91399092899999,1
47.693990928999995,2
48.452993197,3
49.25,4
50.024988662,1
50.828004535,2
51.598004535,3
52.39600907,4
53.168004535,1
53.962993196999996,2
54.711995464,3
55.483990928999994,4
56.23,1
57.017006802,2
57.777006801999995,1
58.571995464,2
59.332993197,3
60.128004535,4
60.893990929,1
61.695011337,2
62.457006801999995,3
63.250997731999995,4
64.01099773199999,1
64.807006802,2
65.56199546399999,3
66.350997732,4
67.101995464,1
67.894988662,2
68.65600907,3
69.461995464,4
70.237006802,1
71.064988662,2
71.863990929,3
72.70199546399999,4
73.481995464,1
74.291995464,2
75.059002267,3
75.87099773199999,4
76.642993197,1
77.45,2
78.20199546399999,3
79.00600907,4
79.788004535,1
80.62,2
81.39199546399999,3
82.21,4
82.99399092899999,1
83.82399092899999,2
84.59,3
85.390997732,4
86.14299319700001,1
86.947006802,2
87.71,1
88.52600907,2
89.29099773200001,3
90.10501133700001,4
90.86900226700001,1
91.68399092899999,2
92.447006802,3
93.26299319700001,4
94.027006802,1
94.841995464,2
95.598004535,3
96.409002267,4
97.17199546399999,1
97.988004535,2
98.742993197,3
99.56700680200001,4
100.36,1
101.21600907,2
101.99900226700001,3
102.83,4
103.60501133700001,1
104.442993197,2
105.221995464,3
106.04600907,4
106.789002267,1
107.59,2
108.34700680200001,3
109.18,4
109.958004535,1
110.80600907,2
111.59700680200001,3
112.453990929,4
113.24399092899999,1
114.090997732,2
114.86600907,3
115.692993197,4
116.443990929,1
117.260997732,2
118.02,1
118.85099773200001,2
119.614988662,3
120.441995464,4
121.198004535,1
122.02099773200001,2
122.77501133700001,3
123.6,4
124.35399092899999,1
125.179002267,2
125.932993197,3
126.758004535,4
127.507006802,1
128.324988662,2
129.068004535,3
129.880997732,4
130.62,1
131.437006802,2
132.187006802,1
133.014988662,2
133.768004535,3
134.593990929,4
135.34600907,1
136.172993197,2
136.92399092899998,3
137.751995464,4
138.503990929,1
139.33099773200001,2
140.071995464,3
140.887006802,4
141.621995464,1
142.44299319700002,2
143.19,1
144.02199546399999,2
144.770997732,3
145.600997732,4
146.34600907,1
147.168004535,2
147.901995464,3
148.723990929,4
149.477006802,1
150.32600907,2
151.09498866200002,3
154.708004535,1
155.507006802,2
156.280997732,3
157.028004535,4
157.813990929,1
158.54600907,2
159.32,3
160.060997732,4
160.854988662,1
161.590997732,2
162.333990929,3
163.13,4
163.87,1
164.62600907,2
165.448004535,3
166.19,4
166.969002267,1
167.738004535,2
168.487006802,3
169.23900226700002,4
170.01900226700002,1
170.78498866200002,2
171.57299319700002,3
172.342993197,4
173.11,1
174.009002267,2
