time,beats
0.04600907,1
0.8939909290000001,2
1.7409977319999999,1
2.577006802,2
3.39,3
4.2139909289999995,4
5.0039909289999995,1
5.828004535,2
6.651995464,3
7.4649886620000006,4
8.255011337000001,1
9.079002267,2
9.857006802,3
10.739002267,4
11.54,1
12.37600907,2
13.177006802000001,3
14.012993197,4
14.838004535,1
15.697006802,2
16.509002267,3
17.321995464,4
18.135011337,1
18.959002267,2
19.782993197,3
20.59600907,4
21.42,1
22.268004535,2
23.080997731999997,3
23.892993197,4
24.693990929,1
25.495011336999998,2
26.285011336999997,3
27.08600907,4
27.91,1
28.734988662,2
29.559002266999997,3
30.382993196999998,4
31.19600907,1
32.031995464,2
32.85600907,3
33.691995464,4
34.51600907,1
35.351995464,2
36.164988662,3
37.012993197,4
37.79,1
38.58,2
39.358004535,3
40.100997731999996,4
40.901995464,1
41.690997732,2
42.503990929000004,3
43.34,4
44.16399092899999,1
44.953990929,2
45.778004535,3
46.590997732,4
47.391995464,1
48.192993197,2
49.00600907,3
49.807006802,4
50.619002267,1
51.431995463999996,2
52.232993197,3
53.04600907,4
53.847006801999996,1
54.637006801999995,2
55.449002267,3
56.261995463999995,4
57.075011337,1
57.910997732,2
58.722993197,3
59.548004535,4
60.36,1
61.185011337,2
61.98600907,3
62.774988662,4
63.57600907,1
64.389002267,2
65.178004535,3
65.990997732,4
66.803990929,1
67.592993197,2
68.382993197,3
69.18399092899999,4
69.972993197,1
70.762993197,2
71.529002267,3
72.307006802,4
73.108004535,1
73.920997732,2
74.699002267,3
75.5,4
76.289002267,1
77.07900226699999,2
77.890997732,3
78.680997732,4
79.481995464,1
80.282993197,2
81.083990929,3
81.873990929,4
82.674988662,1
83.46399092899999,2
84.253990929,3
85.042993197,4
85.809002267,1
86.587006802,2
87.37700680200001,3
88.16600907,4
88.96700680200001,1
89.768004535,2
90.569002267,3
91.35900226700001,4
92.148004535,1
92.94900226700001,2
93.750997732,3
94.528004535,4
95.33,1
96.13099773200001,2
96.931995464,3
97.720997732,4
98.521995464,1
99.322993197,2
100.123990929,3
100.93700680200001,4
101.738004535,1
102.55099773200001,2
103.363990929,3
104.17600907,4
104.977006802,1
105.778004535,2
106.58,3
107.403990929,4
108.21700680200001,1
108.99399092899999,2
109.79600907,3
110.608004535,4
111.398004535,1
112.18700680200001,2
112.977006802,3
113.76600907,4
114.55600907,1
115.333990929,2
116.12299319700001,3
116.911995464,4
117.70199546399999,1
118.48,2
119.258004535,3
120.04700680200001,4
120.837006802,1
121.62600907,2
122.403990929,3
123.17,4
123.948004535,1
124.738004535,2
125.527006802,1
126.34,2
127.151995464,3
127.965011337,4
128.778004535,1
129.57900226700002,2
130.368004535,3
131.180997732,4
131.993990929,1
132.794988662,2
133.608004535,3
134.409002267,4
135.220997732,1
136.01099773200002,2
136.823990929,3
137.612993197,4
138.413990929,1
139.20399092899999,2
140.00498866200002,3
140.793990929,4
141.618004535,1
142.42,2
143.20900226700002,3
144.01,4
144.8,1
145.600997732,2
146.401995464,3
147.190997732,4
147.98099773200002,1
148.77,2
149.570997732,3
150.349002267,4
151.139002267,1
151.928004535,2
152.70600907,3
153.495011337,4
154.261995464,1
155.050997732,2
155.840997732,3
156.619002267,4
157.39600907,1
158.18600907,2
158.97498866200002,3
159.74199546399998,4
160.530997732,1
161.320997732,2
162.11,3
162.910997732,4
163.71199546399998,1
164.501995464,2
165.290997732,3
166.08099773200001,4
166.87,1
167.682993197,2
168.460997732,3
169.25,4
170.062993197,1
170.82900226700002,2
171.583990929,3
172.327006802,4
173.07,1
173.812993197,2
174.55600907,3
175.27600907,4
176.007006802,1
176.727006802,2
177.447006802,3
178.178004535,4
178.91,1
179.64099773200002,2
180.372993197,3
181.08099773200001,4
181.811995464,1
182.531995464,2
183.24,3
183.948004535,4
184.668004535,1
185.388004535,2
186.108004535,3
186.828004535,4
187.548004535,1
188.279002267,2
188.987006802,3
189.707006802,4
190.427006802,1
191.14700680200002,2
191.86600907,3
192.58600907,4
193.29399092900002,1
194.01399092900002,2
194.73399092900002,3
195.453990929,4
196.16199546400003,1
196.893990929,2
197.612993197,3
198.332993197,4
199.040997732,1
199.76099773200002,2
200.469002267,3
201.189002267,4
201.909002267,1
202.629002267,2
203.349002267,3
204.05700680200002,4
204.764988662,1
205.472993197,2
206.17,3
206.878004535,4
207.598004535,1
208.30600907,2
209.02600907,3
209.722993197,4
210.419002267,1
211.127006802,2
211.82399092900002,3
212.531995464,4
213.251995464,1
213.982993197,2
214.75,3
215.539002267,4
216.32900226700002,1
217.118004535,2
217.919002267,3
218.70900226700002,4
219.520997732,1
220.333990929,2
221.134988662,3
221.925011337,4
222.737006802,1
223.561995464,2
224.38600907,3
225.221995464,4
226.04600907,1
226.88199546400003,2
227.73,3
228.56600907,4
229.448004535,1
230.33,2
231.23600907,3
