time,beats
0.897959183,1
1.249160997,2
1.591882086,3
1.926621315,4
2.294036281,1
2.636757369,2
2.955283446,3
3.29526077,4
3.645215419,1
3.959002267,2
4.294897959,3
4.644897959,4
4.993877551000001,1
5.3183673460000005,2
5.644897959,3
5.975510204,4
6.303990928999999,1
6.687006802000001,2
7.03600907,3
7.383990928999999,4
7.731995464,1
8.080997732,2
8.429002267000001,3
8.777006802,4
9.125011337,1
9.473990929,2
9.821995464,3
10.181995464,4
10.541995464,1
10.89,2
11.238004535,3
11.587006802000001,4
11.947006802,1
12.294988662,2
12.642993197000001,3
13.002993197,4
13.362993197,1
13.710997732000001,2
14.070997732,3
14.42,4
14.768004535,1
15.11600907,2
15.463990929000001,3
15.812993197,4
16.172993197,1
16.520997732,2
16.869002267,3
17.218004535,4
17.56600907,1
17.913990929,2
18.261995464,3
18.621995464,4
18.981995464,1
19.341995464,2
19.69,3
20.039002267,4
20.399002267,1
20.759002267,2
21.107006802,3
21.454988662,4
21.815011336999998,1
22.162993197,2
22.522993196999998,3
22.871995464,4
23.231995464,1
23.590997731999998,2
23.94,3
24.288004535,4
24.63600907,1
24.984988662,2
25.332993196999997,3
25.692993197,4
26.040997731999997,1
26.389002267,2
26.749002266999998,3
27.098004535,4
27.458004535,1
27.80600907,2
28.153990929000003,3
28.513990929000002,4
28.873990929,1
29.221995464000003,2
29.570997732,3
29.93,4
30.29,1
30.65,2
31.01,3
31.359002266999997,4
31.718004535,1
32.067006802,2
32.414988662,3
32.762993197,4
33.122993197,1
33.471995464,2
33.82,3
34.168004535,4
34.51600907,1
34.852993196999996,2
35.19,3
35.538004535,4
35.875011337,1
36.210997731999996,2
36.56,3
36.908004535,4
37.268004535,1
37.61600907,2
37.97600907,3
38.325011337,4
38.672993197,1
39.020997732,2
39.380997732,3
39.729002267,4
40.078004535,1
40.42600907,2
40.773990929,3
41.122993197,4
41.470997732,1
41.819002266999995,2
42.179002267,3
42.527006801999995,4
42.887006801999995,1
43.247006802,2
43.607006802,3
43.954988662,4
44.303990928999994,1
44.651995463999995,2
45.0,3
45.349002266999996,4
45.697006802,1
46.057006802,2
46.405011337,3
46.752993196999995,4
47.101995464,1
47.45,2
47.798004535,3
48.147006802,4
48.494988662,1
48.854988662,2
49.202993197,3
49.562993197,4
49.910997732,1
50.270997732,2
50.619002267,3
50.979002267,4
51.339002267,1
51.688004535,2
52.03600907,3
52.39600907,4
52.743990929,1
53.09199546399999,2
53.451995464,3
53.800997732,4
54.160997732,1
54.52,2
54.869002267,3
55.229002267,4
55.6,1
55.948004535,2
56.297006802,3
56.645011337,4
56.992993197,1
57.34199546399999,2
57.678004535,3
58.015011337,4
58.362993197,1
58.711995464,2
59.048004535,3
59.397006802,4
59.757006802,1
60.104988662,2
60.452993197,3
60.800997732,4
61.160997732,1
61.520997732,2
61.880997732,3
62.229002267,4
62.589002267,1
62.938004535,2
63.298004535,3
63.657006802,4
64.017006802,1
64.377006802,2
64.737006802,3
65.109002267,4
65.457006802,1
65.805011337,2
66.153990929,3
66.50199546399999,4
66.85,1
67.199002267,2
67.547006802,3
67.907006802,4
68.254988662,1
68.602993197,2
68.94,3
69.277006802,4
69.612993197,1
69.961995464,2
70.31,3
70.658004535,4
71.00700680199999,1
71.355011337,2
71.71501133699999,3
72.062993197,4
72.422993197,1
72.770997732,2
73.12,3
73.468004535,4
73.81600907,1
74.17600907,2
74.52399092899999,3
74.872993197,4
75.232993197,1
75.580997732,2
75.940997732,3
76.289002267,4
76.637006802,1
76.98600907,2
77.333990929,3
77.681995464,4
78.030997732,1
78.379002267,2
78.739002267,3
79.087006802,4
79.43501133699999,1
79.783990929,2
80.143990929,3
80.491995464,4
80.84,1
81.18900226699999,2
81.56,3
81.908004535,4
82.25700680199999,1
82.605011337,2
82.952993197,3
83.301995464,4
83.65,1
83.987006802,2
84.334988662,3
84.682993197,4
85.030997732,1
85.38,2
85.728004535,3
86.07600907,4
86.412993197,1
86.760997732,2
87.11,3
87.47,4
87.829002267,1
88.189002267,2
88.538004535,3
88.898004535,4
89.257006802,1
89.60600907,2
89.96600907,3
90.32600907,4
90.68600907,1
91.033990929,2
91.393990929,3
91.741995464,4
92.101995464,1
92.461995464,2
92.821995464,3
93.181995464,4
93.53,1
93.89,2
94.238004535,3
94.598004535,4
94.958004535,1
95.30600907,2
95.66600907,3
96.02600907,4
96.373990929,1
96.72299319700001,2
97.07099773200001,3
97.41900226700001,4
97.77900226700001,1
98.128004535,2
98.47600907,3
98.83600907,4
99.19600907,1
99.543990929,2
99.89199546399999,3
100.25199546399999,4
100.611995464,1
100.96,2
101.30900226700001,3
101.65700680200001,4
102.004988662,1
102.35399092899999,2
102.70199546399999,3
103.06199546399999,4
103.41,1
103.77,2
104.118004535,3
104.46700680200001,4
104.82600907,1
105.174988662,2
105.522993197,3
105.870997732,4
106.230997732,1
106.568004535,2
106.91600907,3
107.265011337,4
107.61299319700001,1
107.97299319700001,2
108.30900226700001,3
108.64600907,4
109.00600907,1
109.36600907,2
109.71399092899999,3
110.07399092899999,4
110.42199546399999,1
110.78199546399999,2
111.14199546399999,3
111.50199546399999,4
111.85,1
112.21,2
112.55900226700001,3
112.90700680200001,4
113.254988662,1
113.60399092899999,2
113.962993197,3
114.322993197,4
114.682993197,1
115.03199546399999,2
115.39199546399999,3
115.750997732,4
116.110997732,1
116.470997732,2
116.82,3
117.168004535,4
117.51600907,1
117.87600907,2
118.223990929,3
118.572993197,4
118.932993197,1
119.280997732,2
119.629002267,3
119.977006802,4
120.32600907,1
120.673990929,2
121.033990929,3
121.381995464,4
121.741995464,1
122.09,2
122.45,3
122.799002267,4
123.159002267,1
123.519002267,2
123.867006802,3
124.215011337,4
124.56299319700001,1
124.9,2
125.248004535,3
125.584988662,4
125.92199546399999,1
126.27,2
126.618004535,3
126.96700680200001,4
127.32700680200001,1
127.68700680200001,2
128.04600907,3
128.40600907,4
128.75498866200002,1
129.115011337,2
129.462993197,3
129.82299319700002,4
130.17099773200002,1
130.530997732,2
130.89099773200002,3
131.250997732,4
131.61099773200002,1
131.970997732,2
132.33,3
132.69,4
133.05,1
133.39900226700001,2
133.759002267,3
134.118004535,4
134.478004535,1
134.838004535,2
135.198004535,3
135.54600907,4
135.895011337,1
136.242993197,2
136.590997732,3
136.94,4
137.264988662,1
137.600997732,2
137.938004535,3
138.275011337,4
138.61099773200002,1
138.96,2
139.308004535,3
139.668004535,4
