time,beats
0.452993197,1
0.859002267,2
1.230997732,3
1.601995464,4
1.973990929,1
2.368004535,2
2.74,3
3.122993197,4
3.4950113369999998,1
3.878004535,2
4.260997732,3
4.631995464,4
5.0149886619999995,1
5.399002267,2
5.7819954639999995,3
6.152993197000001,4
6.53600907,1
6.92,2
7.302993197,3
7.6739909289999995,4
8.04600907,1
8.417006802000001,2
8.8,3
9.171995464,4
9.531995464,1
9.902993197,2
10.28600907,3
10.658004535,4
11.018004535,1
11.389002267,2
11.760997732,3
12.143990929000001,4
12.51600907,1
12.887006802,2
13.259002267,3
13.63,4
13.99,1
14.361995464000001,2
14.744988662,3
15.128004535,4
15.488004535,1
15.859002267000001,2
16.241995464000002,3
16.613990929,4
16.984988662,1
17.369002267,2
17.728004535,3
18.1,4
18.46,1
18.830997732,2
19.213990929,3
19.58600907,4
19.958004535,1
20.317006802,2
20.689002267,3
21.06,4
21.42,1
21.803990929,2
22.175011336999997,3
22.547006802,4
22.918004535,1
23.29,2
23.65,3
23.998004535,4
24.333990929000002,1
24.682993197,2
25.053990929,3
25.413990929,4
25.78600907,1
26.14600907,2
26.50600907,3
26.853990929000002,4
27.213990929,1
27.585011336999997,2
27.933990929,3
28.293990929,4
28.641995464,1
29.001995464,2
29.361995464,3
29.721995464000003,4
30.080997731999997,1
30.440997732,2
30.800997732,3
31.160997732,4
31.509002267,1
31.858004535,2
32.20600907,3
32.56600907,4
32.92600907,1
33.28600907,2
33.64600907,3
33.993990929,4
34.330997732,1
34.690997732,2
35.050997732,3
35.41,4
35.77,1
36.13,2
36.49,3
36.861995464,4
37.244988662,1
37.628004535,2
38.022993197,3
38.417006801999996,4
38.811995464,1
39.207006801999995,2
39.578004535,3
39.95,4
40.320997731999995,1
40.704988662,2
41.088004535,3
41.481995464,4
41.853990929,1
42.225011337,2
42.585011337,3
42.945011337,4
43.317006802,1
43.7,2
44.070997731999995,3
44.430997732,4
44.790997732,1
45.162993197,2
45.558004535,3
45.929002267,4
46.300997732,1
46.671995464,2
47.043990928999996,3
47.427006802,4
47.798004535,1
48.158004535,2
48.540997732,3
48.900997732,4
49.272993197,1
49.643990929,2
50.027006801999995,3
50.399002267,4
50.759002267,1
51.119002267,2
51.49,3
51.85,4
52.21,1
52.581995463999995,2
52.965011337,3
53.33600907,4
53.708004535,1
54.068004535,2
54.450997732,3
54.821995464,4
55.181995463999996,1
55.553990928999994,2
55.924988662,3
56.297006802,4
56.668004535,1
57.04,2
57.410997732,3
57.782993196999996,4
58.142993196999996,1
58.513990928999995,2
58.88600907,3
59.257006802,4
59.617006802,1
59.989002267,2
60.36,3
60.73199546399999,4
61.102993196999996,1
61.48600907,2
61.835011337,3
62.195011337,4
62.554988662,1
62.902993197,2
63.250997731999995,3
63.610997732,4
63.970997732,1
64.319002267,2
64.679002267,3
65.039002267,4
65.399002267,1
65.770997732,2
66.119002267,3
66.479002267,4
66.839002267,1
67.199002267,2
67.547006802,3
67.894988662,4
68.254988662,1
68.614988662,2
68.974988662,3
69.322993197,4
69.66,1
70.008004535,2
70.35600907,3
70.70498866199999,4
71.05299319699999,1
71.400997732,2
71.76099773199999,3
72.12099773199999,4
72.458004535,1
72.818004535,2
73.18900226699999,3
73.54900226699999,4
73.90900226699999,1
74.269002267,2
74.640997732,3
75.0,4
75.38399092899999,1
75.778004535,2
76.160997732,3
76.54501133699999,4
76.928004535,1
77.321995464,2
77.693990929,3
78.064988662,4
78.437006802,1
78.809002267,2
79.168004535,3
79.54,4
79.9,1
80.270997732,2
80.653990929,3
81.02600907,4
81.398004535,1
81.769002267,2
82.140997732,3
82.5,4
82.871995464,1
83.24399092899999,2
83.627006802,3
83.998004535,4
84.380997732,1
84.740997732,2
85.112993197,3
85.49600907,4
85.86700680199999,1
86.227006802,2
86.599002267,3
86.959002267,4
87.319002267,1
87.69,2
88.06199546399999,3
88.432993197,4
88.80501133700001,1
89.19900226700001,2
89.55900226700001,3
89.93099773200001,4
90.29099773200001,1
90.661995464,2
91.021995464,3
91.393990929,4
91.753990929,1
92.137006802,2
92.497006802,3
92.857006802,4
93.228004535,1
93.6,2
93.96,3
94.319002267,4
94.668004535,1
95.039002267,2
95.42199546399999,3
95.78199546399999,4
96.14199546399999,1
96.50199546399999,2
96.873990929,3
97.24501133700001,4
97.617006802,1
97.988004535,2
98.36,3
98.72,4
99.08,1
99.439002267,2
99.810997732,3
100.170997732,4
100.530997732,1
100.879002267,2
101.239002267,3
101.599002267,4
101.959002267,1
102.307006802,2
102.655011337,3
103.003990929,4
103.363990929,1
103.734988662,2
104.08299319700001,3
104.442993197,4
104.802993197,1
105.162993197,2
105.522993197,3
105.870997732,4
106.22,1
106.58,2
106.950997732,3
107.310997732,4
107.659002267,1
107.99600907,2
108.343990929,3
108.703990929,4
109.051995464,1
109.40099773200001,2
109.74900226700001,3
110.09700680200001,4
110.44600907,1
110.80600907,2
111.16600907,3
111.513990929,4
111.88501133700001,1
112.24501133700001,2
112.617006802,3
112.988004535,4
113.36,1
114.423990929,2
