time,beats
3.6919954639999997,1
4.190997732,2
4.7139909289999995,3
5.223990929,4
5.7470068020000005,1
6.258004535,2
6.78,3
7.302993197,4
7.813990929,1
8.312993197,2
8.811995463999999,3
9.310997732,4
9.81,1
10.298004535,2
10.773990929000002,3
11.261995464000002,4
11.749002267,1
12.249002267,2
12.748004535,3
13.234988662000001,4
13.722993197000001,1
14.210997732000001,2
14.71,3
15.209002267,4
15.697006802,1
16.19600907,2
16.707006802000002,1
17.193990929,2
17.681995464,3
18.17,4
18.64600907,1
19.121995464,2
19.620997732,3
20.12,4
20.619002267,1
21.107006802,2
21.582993196999997,3
22.059002266999997,4
22.558004535,1
23.057006801999997,2
23.557006801999997,3
24.067006801999998,4
24.554988662,1
25.053990929,2
25.553990929,3
26.063990929000003,1
26.551995464,2
27.050997732,1
27.55,2
28.060997731999997,3
28.549002267,4
29.024988662,1
29.523990929,2
30.011995464,1
30.510997731999996,2
30.999002266999998,3
31.48600907,4
31.973990929,1
32.45,2
32.92600907,3
33.401995464,4
33.89,1
34.377006802,2
34.87600907,3
35.37600907,4
35.875011337,1
36.373990929,2
36.872993197,3
37.371995464,4
37.86,1
38.359002267,2
38.859002267,1
39.358004535,2
39.844988662,3
40.344988662,4
40.843990929,1
41.330997732,2
41.830997732,3
42.318004535,4
42.80600907,1
43.293990928999996,2
43.792993197,3
44.303990928999994,4
44.802993197,1
45.301995463999994,2
45.800997732,3
46.300997732,4
46.788004535,1
47.287006802,2
47.787006802,3
48.298004535,4
48.797006802,1
49.29600907,2
49.783990929,3
50.282993196999996,4
50.781995464,1
51.280997731999996,2
51.769002267,3
52.244988662,4
52.743990929,1
53.242993197,2
53.742993197,3
54.23,4
54.718004535,1
55.193990928999995,2
55.692993197,3
56.203990929,4
56.690997732,1
57.190997732,2
57.678004535,3
58.178004535,4
58.677006802,1
59.17600907,2
59.698004535,1
60.18600907,2
60.685011337,3
61.185011337,4
61.660997732,1
62.148004535,2
62.647006802,3
63.134988662,4
63.610997732,1
64.099002267,2
64.58600907,3
65.06199546399999,4
65.56199546399999,1
66.060997732,2
66.56,3
67.059002267,4
67.558004535,1
68.058004535,2
68.557006802,3
69.04501133699999,1
69.520997732,2
70.02,1
70.519002267,2
71.03,3
71.529002267,4
72.017006802,1
72.51600907,2
73.015011337,1
73.502993197,2
73.99,3
74.49,4
74.97700680199999,1
75.46501133699999,2
75.95199546399999,3
76.428004535,4
76.91600907,1
77.403990929,2
77.902993197,3
78.390997732,4
78.878004535,1
79.377006802,2
79.877006802,3
80.363990929,4
80.862993197,1
81.362993197,2
81.873990929,1
82.372993197,2
82.86,3
83.36,4
83.859002267,1
84.34600907,2
84.833990929,3
85.332993197,4
85.820997732,1
86.30900226700001,2
86.79600907,3
87.295011337,4
87.78299319700001,1
88.27099773200001,2
88.758004535,3
89.258004535,4
89.733990929,1
90.21,2
90.697006802,3
91.19600907,4
91.69600907,1
92.182993197,2
92.670997732,3
93.17,4
93.658004535,1
94.144988662,2
94.632993197,3
95.131995464,4
95.63099773200001,1
96.14199546399999,2
96.63,3
97.10600907,4
97.581995464,1
98.069002267,2
98.557006802,3
99.05600907,4
99.543990929,1
100.03199546399999,2
100.530997732,3
101.018004535,4
101.50600907,1
102.004988662,2
102.51600907,1
103.003990929,2
103.50299319700001,3
104.00199546399999,4
104.478004535,1
104.953990929,2
105.441995464,3
105.94099773200001,4
106.429002267,1
106.91600907,2
107.38099773200001,3
107.857006802,4
108.343990929,1
108.831995464,2
109.33099773200001,3
109.841995464,4
110.33,1
110.829002267,2
111.328004535,3
111.82700680200001,1
112.314988662,2
112.802993197,1
113.301995464,2
113.80099773200001,3
114.3,4
114.788004535,1
115.27501133700001,2
115.76299319700001,1
116.250997732,2
116.738004535,3
117.22600907,4
117.71399092899999,1
118.200997732,2
118.689002267,3
119.16501133700001,4
119.651995464,1
120.128004535,2
120.61600907,3
121.10399092899999,4
121.602993197,1
122.090997732,2
122.578004535,3
123.053990929,4
123.53,1
124.018004535,2
124.504988662,3
124.992993197,4
125.46900226700001,1
125.94498866200001,2
126.432993197,3
126.92,4
127.39600907,1
127.88399092899999,2
128.36,3
128.83600907,4
129.311995464,1
129.8,2
130.287006802,3
130.76299319700001,4
131.23900226700002,1
131.727006802,2
132.213990929,3
132.69,4
133.16600907,1
133.641995464,2
134.13,3
134.629002267,4
135.129002267,1
135.61600907,2
136.103990929,3
136.60299319700002,4
137.101995464,1
137.600997732,2
138.100997732,3
138.6,4
139.099002267,1
139.598004535,2
140.098004535,3
140.597006802,4
141.09600907,1
141.607006802,2
142.093990929,3
142.593990929,4
143.08099773200001,1
143.569002267,2
144.05700680200002,3
144.532993197,4
145.02,1
145.51900226700002,2
146.007006802,3
146.50600907,4
146.993990929,1
147.50498866200002,2
148.003990929,3
148.502993197,4
149.02600907,1
149.56,2
150.093990929,3
150.61600907,4
151.127006802,1
151.65,2
152.218004535,3
152.810997732,4
