time,beats
4.0039909289999995,1
4.834988662,2
5.695011337,3
6.540997732,4
7.405011337,1
8.32600907,2
9.27600907,3
10.141995463999999,4
11.038004535,1
11.883990929000001,2
12.802993197000001,3
13.769002267000001,4
14.790997732000001,1
15.76600907,2
16.695011337,3
17.693990929,4
18.55,1
19.481995464,2
20.380997732,3
21.299002267,4
22.313990929000003,1
23.29,2
24.23,3
25.078004535,4
25.970997731999997,1
26.911995464,2
27.817006801999998,3
28.734988662,4
29.651995464000002,1
30.591995464,2
31.567006801999998,3
32.497006802,4
33.38,1
34.308004535,2
35.233990929,3
36.179002267,4
37.097006801999996,1
37.991995464,2
38.933990929000004,3
39.86,4
40.867006802,1
41.784988661999996,2
42.695011337,3
43.601995464,4
44.60600907,1
45.59199546399999,2
46.55600907,3
47.530997731999996,4
48.424988662,1
49.377006802,2
50.282993196999996,3
51.177006802,4
52.081995463999995,1
52.97600907,2
53.881995464,3
54.77600907,4
55.67,1
56.563990929,2
57.458004535,3
58.351995464,4
59.269002267,1
60.128004535,2
60.999002267,3
61.892993196999996,4
62.762993197,1
63.622993197,2
64.528004535,3
65.457006802,4
66.38600907,1
67.290997732,2
68.233990929,3
69.05600907,4
69.981995464,1
70.833990929,2
71.754988662,3
72.627006802,4
73.532993197,1
74.453990929,2
75.313990929,3
76.231995464,4
77.137006802,1
78.064988662,2
78.923990929,3
79.830997732,4
80.70204081600001,1
81.513990929,2
82.514285714,3
83.40600907,4
84.334988662,1
85.275011337,2
86.21600907,3
87.120997732,4
88.06199546399999,1
88.99,2
89.88399092899999,3
90.79,4
91.69600907,1
92.623990929,2
93.552993197,3
94.49399092899999,4
95.346938775,1
96.30501133700001,2
97.21,3
98.09299319700001,4
98.998004535,1
99.903990929,2
100.82099773200001,3
101.75,4
102.64489795899999,1
103.49399092899999,2
104.42299319700001,3
105.375011337,4
106.314988662,1
107.209002267,2
108.102993197,3
109.02,4
109.92600907,1
110.808004535,2
111.69,3
112.583990929,4
113.454988662,1
114.32600907,2
115.185011337,3
116.05600907,4
116.92700680200001,1
117.79700680200001,2
118.668004535,3
119.503990929,4
120.36299319700001,1
121.19900226700001,2
122.113990929,3
123.10099773200001,4
124.00600907,1
124.97,2
125.863990929,3
126.733990929,4
127.64,1
128.55700680200002,2
129.45099773200002,3
130.368004535,4
131.261995464,1
132.15600907,2
133.02700680200002,3
133.92099773200002,4
134.81498866200002,1
135.70900226700002,2
136.615011337,3
137.51,4
138.41299319700002,1
139.291995464,2
140.22,3
141.068004535,4
142.02600907,1
142.857006802,2
143.74,3
144.645011337,4
145.508004535,1
146.482993197,2
147.43501133700002,3
148.39900226700001,4
149.305011337,1
150.14099773200002,2
151.013990929,3
151.927006802,4
152.84600907,1
153.76299319700001,2
154.723990929,3
155.608163265,4
156.478004535,1
157.309002267,2
158.267006802,3
159.208004535,4
160.141995464,1
161.06,2
162.03600907,3
162.88,4
163.78600907,1
164.69600907,2
165.64600907,3
166.601995464,4
167.47755102,1
168.43,2
169.421995464,3
170.305011337,4
171.24700680200002,1
172.235011337,2
173.25600907,3
174.13399092900002,4
175.113990929,1
176.14700680200002,2
177.083990929,3
178.068004535,4
179.123990929,1
180.11099773200002,2
181.17600907,3
182.363990929,4
183.92199546400002,1
