time,beats
0.43,1
0.793673469,2
1.157324263,3
1.5209977319999999,1
1.8729931969999998,2
2.2250113369999998,3
2.577006802,1
2.91,2
3.2429931969999997,3
3.57600907,1
3.951337868,2
4.326666666,3
4.7019954639999995,1
5.04632653,2
5.3906575960000005,3
5.735011337,1
6.083333333,2
6.431678004,3
6.78,1
7.126666666,2
7.473333332999999,3
7.82,1
8.1623356,2
8.504671201,3
8.847006802000001,1
9.190657596,2
9.534331065,3
9.878004535,1
10.227006802,2
10.57600907,3
10.925011337,1
11.267006802000001,2
11.609002267000001,3
11.950997732000001,1
12.2823356,2
12.613673469,3
12.945011337,1
13.289342403,2
13.633673469000001,3
13.978004535,1
14.322675735999999,2
14.667324263,3
15.011995464000002,1
15.3523356,2
15.692675735999998,3
16.032993197,1
16.369659863,2
16.70632653,3
17.042993197,1
17.383673469,2
17.724331065,3
18.065011337,1
18.405668934,2
18.74632653,3
19.087006802,1
19.427324263,2
19.767664399,3
20.108004535,1
20.448662131,2
20.789342403,3
21.13,1
21.470657596,2
21.811337868000003,3
22.151995464000002,1
22.475011336999998,2
22.798004535,3
23.120997732,1
23.454671201,2
23.788321995,3
24.121995464,1
24.45600907,2
24.79,3
25.123990929,1
25.464671200999998,2
25.805328798,3
26.14600907,1
26.482675735999997,2
26.819342403,3
27.15600907,1
27.500340136,2
27.844671201,3
28.189002267,1
28.51600907,2
28.842993197,3
29.17,1
29.493333333000002,2
29.816666666,3
30.14,1
30.474671201,2
30.809342403000002,3
31.143990929,1
31.482675735999997,2
31.821337868,3
32.16,1
32.506666666,2
32.853333333,3
33.2,1
33.549659863,2
33.899342403,3
34.249002267,1
34.574331065,2
34.899659863000004,3
35.225011337,1
35.55,2
35.875011337,3
36.2,1
36.524988662,2
36.85,3
37.174988662,1
37.4923356,2
37.809659863,3
38.127006802,1
38.440657596,2
38.754331065,3
39.068004535,1
39.531995464,2
39.99600907,3
40.460997731999996,4
40.924988662,1
41.39,2
41.853990929,3
42.318004535,4
42.782993196999996,1
43.247006802,2
43.711995464,3
44.17600907,4
44.64,1
45.104988662,2
45.569002266999995,3
46.033990929,4
46.498004535,1
46.961995464,2
47.427006802,3
47.890997731999995,4
48.34399092899999,1
48.808004535,2
49.272993197,3
49.72600907,4
50.178004535,1
50.630997732,2
51.083990928999995,3
51.537006802,4
51.989002267,1
52.441995463999994,2
52.895011337,3
53.348004535,4
53.811995464,1
54.277006801999995,2
54.740997732,3
55.191995463999994,4
55.640997731999995,1
56.127006802,2
56.6,3
57.081995463999995,4
57.59199546399999,1
57.957324263000004,2
58.322675736,3
58.688004535,1
59.020997732,2
59.353990929,3
59.687006802,1
60.019659863,2
60.3523356,3
60.685011337,1
61.018004535,2
61.350997731999996,3
61.683990929,1
62.009002267,2
62.333990928999995,3
62.659002267,1
62.983990928999994,2
63.309002267,3
63.633990929,1
63.959342403,2
64.28467120100001,3
64.61,1
64.93501133699999,2
65.26,3
65.584988662,1
65.913990929,2
66.242993197,3
66.571995464,1
66.900657596,2
67.229342403,3
67.558004535,1
67.887006802,2
68.21600907,3
68.54501133699999,1
68.86632653,2
69.187664399,3
69.509002267,1
69.833990929,2
70.15900226699999,3
70.483990929,1
70.809002267,2
71.13399092899999,3
71.459002267,1
71.784331065,2
72.109659863,3
72.43501133699999,1
72.76,2
73.084988662,3
73.41,1
73.73498866199999,2
74.06,3
74.385011337,1
74.71,2
75.034988662,3
75.36,1
75.685328798,2
76.010657596,3
76.33600907,1
76.660997732,2
76.98600907,3
77.310997732,1
77.61700680199999,2
77.922993197,3
78.229002267,1
78.544671201,2
78.860340136,3
79.17600907,1
79.494331065,2
79.812675736,3
80.130997732,1
80.45632653,2
80.781678004,3
81.107006802,1
81.450997732,2
81.79501133699999,3
82.139002267,1
82.487324263,2
82.835668934,3
83.18399092899999,1
83.525011337,2
83.86600907,3
84.207006802,1
84.53600907,2
84.864988662,3
85.193990929,1
85.519002267,2
85.843990929,3
86.16900226700001,1
86.49399092899999,2
86.819002267,3
87.143990929,1
87.46167800399999,2
87.77934240299999,3
88.09700680200001,1
88.414331065,2
88.731678004,3
89.049002267,1
89.51299319700001,2
89.989002267,3
90.45299319700001,4
90.918004535,1
91.381995464,2
91.84700680200001,3
92.299002267,4
92.763990929,1
93.228004535,2
93.692993197,3
94.15700680200001,4
94.620997732,1
95.08600907,2
95.55,3
96.015011337,4
96.47900226700001,1
96.942993197,2
97.408004535,3
97.871995464,4
98.325011337,1
98.789002267,2
99.241995464,3
99.69498866200001,4
100.159002267,1
100.611995464,2
101.064988662,3
101.518004535,4
101.97,1
102.42299319700001,2
102.87600907,3
103.329002267,4
103.78199546399999,1
104.24600907,2
104.71,3
105.18600907,4
105.673990929,1
106.161995464,2
106.66099773200001,3
107.101995464,4
107.55099773200001,1
107.92,2
108.289002267,3
108.658004535,1
108.990657596,2
109.323333333,3
109.65600907,1
109.989002267,2
110.321995464,3
110.655011337,1
110.987664399,2
111.320340136,3
111.652993197,1
111.981995464,2
112.310997732,3
112.64,1
112.965011337,2
113.29,3
113.614988662,1
113.943990929,2
114.272993197,3
114.601995464,1
114.92700680200001,2
115.25199546399999,3
115.57700680200001,1
115.9023356,2
116.22766439899999,3
116.552993197,1
116.881678004,2
117.210340136,3
117.539002267,1
117.864331065,2
118.18965986299999,3
118.515011337,1
118.84,2
119.16501133700001,3
119.49,1
119.814988662,2
120.14,3
120.465011337,1
120.79,2
121.114988662,3
121.44,1
121.765328798,2
122.090657596,3
122.41600907,1
122.74099773200001,2
123.06600907,3
123.390997732,1
123.71600907,2
124.04099773200001,3
124.36600907,1
124.687324263,2
125.00866213100001,3
125.33,1
125.637664399,2
125.94532879799999,3
126.25299319700001,1
126.595328798,2
126.937664399,3
127.28,1
127.60501133700001,2
127.93,3
128.25498866200002,1
128.55632653,2
128.857664399,3
129.159002267,1
