time,beats
0.418004535,1
0.800997732,2
1.172993197,3
1.55600907,4
1.91600907,5
2.287006802,6
2.659002267,1
3.007006802,2
3.3670068019999997,3
3.738004535,4
4.11,5
4.47,6
4.840997732,1
5.200997732,2
5.572993197000001,3
5.95600907,4
6.3270068020000005,5
6.699002267000001,6
7.07,1
7.453990929,2
7.837006802,3
8.22,4
8.590997732,5
8.973990929,6
9.358004535,1
9.751995464,2
10.111995464,3
10.49,4
13.769002267000001,4
14.314988662000001,1
14.860997732000001,2
15.418004535,3
15.963990929000001,4
16.475011337,1
16.997006802,2
17.519002267,3
18.03,4
18.552993197,1
19.098004535,2
19.631995464000003,3
20.155011337,4
20.700997732,1
21.222993197,2
21.733990929,3
22.245011336999998,4
22.743990929000002,1
23.278004535,2
23.811995464000002,3
24.333990929000002,4
24.869002267,1
25.379002266999997,2
25.879002266999997,3
26.389002267,4
26.923990929000002,1
27.458004535,2
27.991995464000002,3
28.52600907,4
29.06,1
29.593990929,2
30.11600907,1
30.65,2
31.183990929,3
31.695011336999997,4
32.229002267,1
32.762993197,2
33.309002267,3
33.842993197,4
34.36600907,1
34.888004535,2
35.399002267,3
35.898004535,4
36.397006802,1
36.897006802,2
37.407006802,3
37.93,4
38.440997732,1
38.950997732,2
39.473990929,3
39.984988662,4
40.49600907,1
41.018004535,2
41.529002266999996,3
42.04,4
42.550997732,1
43.085011337,2
43.607006802,3
44.13,4
44.629002267,1
45.14,2
45.66199546399999,3
46.172993197,4
46.683990929,1
47.195011337,2
47.704988662,3
48.192993197,4
48.715011337,1
49.22600907,2
49.749002267,3
50.26,4
50.77,1
51.280997731999996,2
51.791995463999996,1
52.302993197,2
52.813990929,3
53.325011337,4
53.835011337,1
54.335011337,2
54.84600907,3
55.332993197,4
55.820997731999995,1
56.308004535,2
56.79600907,3
57.295011337,4
57.782993196999996,1
58.281995464,2
58.792993197,3
59.269002267,4
59.757006802,1
60.243990929,2
60.72,3
61.208004535,4
61.695011337,1
62.20600907,2
62.729002267,3
63.228004535,4
63.739002267,1
64.25,2
64.76,3
65.270997732,4
65.759002267,1
66.280997732,2
66.803990929,3
67.32600907,4
67.849002267,1
68.348004535,2
68.847006802,3
69.34600907,4
69.857006802,1
70.368004535,2
70.901995464,3
71.424988662,4
71.923990929,1
72.43501133699999,2
72.944988662,3
73.444988662,4
73.931995464,1
74.45498866199999,2
74.97700680199999,3
75.488004535,4
75.999002267,1
76.520997732,2
77.03199546399999,3
77.542993197,4
78.041995464,1
78.55299319699999,2
79.07600907,3
79.58600907,4
80.097006802,1
80.62,2
81.130997732,1
81.63,2
82.151995464,3
82.66299319699999,4
83.18501133699999,1
83.69600907,2
84.219002267,3
84.73,4
85.24,1
85.750997732,2
86.250997732,3
86.738004535,4
87.23700680200001,1
87.748004535,2
88.25900226700001,3
88.77,4
89.269002267,1
89.78,2
90.29099773200001,3
90.801995464,4
91.31199546399999,1
91.822993197,2
92.34600907,3
92.857006802,4
93.367006802,1
93.878004535,2
94.38900226700001,3
94.888004535,4
95.37600907,1
95.898004535,2
96.420997732,3
96.931995464,4
97.442993197,1
97.965011337,2
98.47600907,3
98.974988662,4
99.498004535,1
100.02,2
100.530997732,3
101.03,4
101.54099773200001,1
102.051995464,2
102.57399092899999,1
103.084988662,2
103.583990929,3
104.08299319700001,4
104.58299319700001,1
105.081995464,2
105.59299319700001,3
106.091995464,4
106.58,1
107.06700680200001,2
107.56600907,3
108.06600907,4
108.564988662,1
109.07600907,2
109.575011337,3
110.07399092899999,4
110.56199546399999,1
111.049002267,2
111.549002267,3
112.048004535,4
112.54700680200001,1
113.058004535,2
113.591995464,3
114.05600907,4
114.601995464,1
115.10687074799999,2
115.602131519,3
116.167619047,4
116.727006802,1
117.179002267,2
117.59700680200001,3
118.027006802,4
118.44498866200001,5
118.86299319700001,6
119.291995464,1
119.721995464,2
120.14,3
120.558004535,4
120.97600907,5
121.393990929,6
121.81199546399999,1
122.20700680200001,2
122.625011337,3
123.053990929,4
123.471995464,5
123.878004535,6
124.29600907,1
124.70299319700001,2
125.10900226700001,3
125.527006802,4
125.94498866200001,5
126.35099773200001,6
126.758004535,1
127.163990929,2
127.581995464,3
128.0,4
128.40600907,5
128.823990929,6
129.24199546399998,1
129.64900226700001,2
