time,beats
0.43,2
0.9170068020000001,3
1.381995464,1
1.869002267,2
2.345011337,3
2.81,4
3.28600907,1
3.75,2
4.22600907,3
4.7019954639999995,4
5.16600907,1
5.641995464,2
6.13,3
6.60600907,4
7.081995463999999,1
7.558004535,2
8.033990929,3
8.498004535,4
8.962993197000001,1
9.439002267000001,2
9.914988662,3
10.390997732,4
10.867006802,1
11.342993197,2
11.807006802,3
12.282993197,4
12.759002267,1
13.234988662000001,2
13.722993197000001,3
14.199002267000001,4
14.675011337,1
15.150997732,2
15.639002267,3
16.114988662000002,4
16.579002267,1
17.054988662,2
17.542993197,3
18.019002267,4
18.495011337,1
18.970997732,2
19.447006802,3
19.922993197,4
20.387006802000002,1
20.862993197,2
21.339002267,3
21.803990929,4
22.28,1
22.75600907,2
23.231995464,3
23.69600907,4
24.171995464000002,1
24.66,2
25.13600907,3
25.622993197,4
26.099002267,1
26.574988662,2
27.062993196999997,3
27.539002266999997,4
28.002993197,1
28.479002267,2
28.967006801999997,3
29.442993197,4
29.930997731999998,1
30.394988662,2
30.870997732,3
31.335011336999997,4
31.8,1
32.287006802,2
32.762993197,3
33.228004535,4
33.703990929,1
34.18,2
34.667006801999996,3
35.131995464,4
35.619002267,1
36.107006802,2
36.582993197,3
37.059002267,4
37.534988661999996,1
38.022993197,2
38.51,3
38.98600907,4
39.461995464,1
39.961995464,2
40.438004535,1
40.924988662,2
41.412993197,3
41.9,4
42.388004535,1
42.863990929,2
43.351995464,3
43.81600907,4
44.269002267,1
44.744988662,2
45.220997732,3
45.708004535,4
46.19600907,1
46.671995464,2
47.148004535,3
47.623990928999994,4
48.1,1
48.57600907,2
49.063990929,3
49.550997732,4
50.039002267,1
50.515011337,2
50.990997732,3
51.479002267,4
51.96600907,1
52.441995463999994,2
52.918004535,3
53.40600907,4
53.893990929,1
54.380997732,2
54.857006802,3
55.332993197,4
55.809002267,1
56.284988661999996,2
56.760997732,3
57.237006801999996,4
57.725011337,1
58.200997732,2
58.688004535,3
59.16399092899999,4
59.64,1
60.11600907,2
60.603990929,3
61.09199546399999,4
61.568004535,1
62.054988662,2
62.530997731999996,3
63.019002267,4
63.518004535,1
64.00600907,2
64.492993197,3
64.98099773199999,4
65.457006802,1
65.932993197,2
66.420997732,3
66.89700680199999,4
67.372993197,1
67.849002267,2
68.33600907,3
68.82399092899999,4
69.3,1
69.788004535,2
70.263990929,3
70.750997732,4
71.239002267,1
71.71501133699999,2
72.20199546399999,3
72.678004535,4
73.153990929,1
73.64199546399999,2
74.13,3
74.61700680199999,4
75.105011337,1
75.592993197,2
76.069002267,3
76.54501133699999,4
77.03199546399999,1
77.508004535,2
77.99600907,3
78.471995464,4
78.959002267,1
79.447006802,2
79.93501133699999,3
80.410997732,4
80.898004535,1
81.38600907,2
81.873990929,1
82.35,2
82.837006802,3
83.33600907,4
83.82399092899999,1
84.3,2
84.788004535,3
85.263990929,4
85.74,1
86.21600907,2
86.691995464,3
87.179002267,4
87.667006802,1
88.155011337,2
88.64199546399999,3
89.13,4
89.60600907,1
90.081995464,2
90.569002267,3
91.057006802,4
91.545011337,1
92.03199546399999,2
92.52,3
93.008004535,4
93.483990929,1
93.96,2
94.447006802,3
94.935011337,4
95.43399092899999,1
95.92199546399999,2
96.398004535,3
96.873990929,4
97.35,1
97.82600907,2
98.31299319700001,3
98.80099773200001,4
99.3,1
99.788004535,2
100.27501133700001,3
100.750997732,4
101.239002267,1
101.727006802,2
102.21399092899999,3
102.712993197,4
103.200997732,1
103.7,2
104.2,3
104.68700680200001,4
105.174988662,1
105.661995464,2
106.15,3
106.638004535,4
107.125011337,1
107.61299319700001,2
108.111995464,3
108.588004535,4
109.063990929,1
109.551995464,2
110.039002267,3
110.527006802,4
111.015011337,1
111.50199546399999,2
112.000997732,3
112.477006802,4
112.965011337,1
113.45299319700001,2
113.95199546399999,3
114.428004535,4
114.91600907,1
115.402993197,2
115.901995464,3
116.378004535,4
116.85399092899999,1
117.35399092899999,2
117.840997732,1
118.34,2
118.828004535,3
119.32700680200001,4
119.814988662,1
120.29099773200001,2
120.76700680200001,3
121.254988662,4
121.741995464,1
122.23,2
122.70600907,3
123.192993197,4
123.68099773200001,1
124.16900226700001,2
124.644988662,3
125.120997732,4
125.59700680200001,1
126.09600907,2
126.583990929,3
127.08299319700001,4
127.581995464,1
128.08099773200001,2
128.58,3
129.068004535,4
129.567006802,1
130.055011337,2
130.553990929,3
131.041995464,4
131.540997732,1
132.029002267,2
132.51600907,3
132.99199546399998,4
133.48,1
133.968004535,2
134.455011337,3
134.94299319700002,4
135.441995464,1
135.93,2
136.417006802,3
136.90501133700002,4
137.391995464,1
137.84897959100002,New Point
