time,beats
0.49900226700000005,1
1.405011337,2
2.31,1
3.2039909289999997,2
4.087006801999999,1
4.9919954639999995,2
5.875011337,1
6.791995464,2
7.697006802000001,1
8.544988662,2
9.391995463999999,1
10.251995464,2
11.121995464000001,1
12.028004535,2
12.91,1
13.803990929000001,2
14.720997732,1
15.627006802,2
16.498004535,1
17.402993197,2
18.28600907,1
19.213990929,2
20.108004535,1
20.943990929,2
21.815011336999998,1
22.709002267,2
23.62600907,1
24.531995464,2
25.437006802,1
26.355011336999997,2
27.225011336999998,1
28.119002267,2
29.001995464,1
29.89600907,2
30.79,1
31.637006802,2
32.52,1
33.413990929,2
34.29600907,1
35.178004535,2
36.071995464000004,1
36.954988662,2
37.871995464,1
38.777006801999995,2
39.670997732,1
40.553990929,2
41.459002266999995,1
42.365011337,2
43.259002267,1
44.16399092899999,2
45.058004535,1
45.963990929,2
46.858004535,1
47.717006802,2
48.622993197,1
49.54,2
50.457006801999995,1
51.31600907,2
52.21,1
53.103990929,2
53.98600907,1
54.857006802,2
55.750997731999995,1
56.657006802,2
57.550997732,1
58.445011337,2
59.327006802,1
60.209002266999995,2
61.102993196999996,1
62.009002267,2
62.88,1
63.797006802,2
64.679002267,1
65.584988662,2
66.431995464,1
67.32600907,2
68.231995464,1
69.12600907,2
70.02,1
70.913990929,2
71.79600907,1
72.678004535,2
73.560997732,1
74.431995464,2
75.301995464,1
76.19600907,2
77.055011337,1
77.949002267,2
78.831995464,1
79.76099773199999,2
80.678004535,1
81.582993197,2
82.47700680199999,1
83.40600907,2
84.31199546399999,1
85.193990929,2
86.07600907,1
86.97,2
87.863990929,1
88.758004535,2
89.640997732,1
90.54600907,2
91.45199546399999,1
92.299002267,2
93.181995464,1
94.051995464,2
94.935011337,1
95.829002267,2
96.69900226700001,1
97.59299319700001,2
98.47600907,1
99.38099773200001,2
100.299002267,1
101.192993197,2
102.087006802,1
102.98,2
103.86299319700001,1
104.74501133700001,2
105.65099773200001,1
106.521995464,2
107.42700680200001,1
108.32099773200001,2
109.20299319700001,1
110.09700680200001,2
110.98,1
111.873990929,2
112.77900226700001,1
113.661995464,2
114.56700680200001,1
115.46099773200001,2
116.35501133700001,1
117.22600907,2
118.12,1
119.013990929,2
119.908004535,1
120.801995464,2
121.67299319700001,1
122.60099773200001,2
123.507006802,1
124.38900226700001,2
125.28299319700001,1
126.17700680200001,2
127.06,1
127.965011337,2
128.859002267,1
129.752993197,2
130.64700680200002,1
131.529002267,2
132.4,1
133.32900226700002,2
134.222993197,1
135.129002267,2
136.01099773200002,1
136.91600907,2
137.81,1
138.70399092899999,2
139.61,1
140.503990929,2
141.398004535,1
142.302993197,2
143.18600907,1
144.08,2
145.009002267,1
145.89099773200002,2
146.761995464,1
147.65600907,2
148.55,1
149.455011337,2
150.36099773200002,1
151.278004535,2
152.171995464,1
153.06600907,2
153.970997732,1
154.841995464,2
155.72498866200002,1
156.607006802,2
157.48900226700002,1
158.371995464,2
159.24199546399998,1
160.12501133700002,2
160.99600907,1
161.89,2
162.77199546399999,1
163.642993197,2
164.51299319700001,1
165.371995464,2
166.242993197,1
167.16,2
168.100997732,1
