time,beats
0.382993197,1
0.8939909290000001,2
1.41600907,3
1.9390022669999998,1
2.472993197,2
3.03,3
3.57600907,1
4.11,2
4.643990929,3
5.19,1
5.7590022670000005,2
6.339002267000001,3
6.89600907,1
7.441995464,2
7.988004535,3
8.532993197,1
9.079002267,2
9.600997732,3
10.123990929,1
10.680997732,2
11.238004535,3
11.783990929000002,1
12.352993197,2
12.921995464,3
13.468004535,1
14.03600907,2
14.605011337,3
15.150997732,1
15.708004535,2
16.253990929,3
16.810997732,1
17.344988662000002,2
17.902993197,3
18.448004535,1
19.029002267,2
19.598004535,3
20.178004535,1
20.759002267,2
21.339002267,3
21.908004535,1
22.464988662,2
23.033990929,3
23.614988662,1
24.207006802,2
24.787006801999997,3
25.368004535,1
25.937006802,2
26.481995464,3
27.028004535,1
27.539002266999997,2
28.09600907,3
28.619002267,1
29.163990929,2
29.71,3
30.25600907,1
30.823990929,2
31.429002266999998,3
32.02,1
32.600997731999996,2
33.180997732,3
33.75,1
34.341995464,2
34.9,3
35.457006801999995,1
36.02600907,2
36.582993197,3
37.129002267,1
37.673990929,2
38.231995464,3
38.777006801999995,1
39.310997732,2
39.869002267,3
40.413990929,1
40.96,2
41.470997732,3
42.04,1
42.609002267,2
43.178004535,3
43.74600907,1
44.314988662,2
44.883990929,3
45.465011337,1
46.033990929,2
46.62600907,3
47.182993196999995,1
47.74,2
48.320997731999995,3
48.89,1
49.47,2
50.061995464,3
50.642993196999996,1
51.24600907,2
51.85,3
52.453990929,1
53.04600907,2
53.62600907,3
54.183990929,1
54.763990928999995,2
55.344988662,3
55.924988662,1
56.493990929,2
57.075011337,3
57.643990929,1
58.247006802,2
58.804988662,3
59.372993197,1
59.941995463999994,2
60.522993197,3
61.09199546399999,1
61.649002267,2
62.20600907,3
62.774988662,1
63.34399092899999,2
63.924988662,3
64.492993197,1
65.07399092899999,2
65.642993197,3
66.222993197,1
66.827006802,2
67.419002267,3
67.988004535,1
68.569002267,2
69.137006802,3
69.718004535,1
70.275011337,2
70.843990929,3
71.400997732,1
71.947006802,2
72.503990929,3
73.06199546399999,1
73.607006802,2
74.165011337,3
74.721995464,1
75.279002267,2
75.86,3
76.417006802,1
76.98600907,2
77.56600907,3
78.14700680199999,1
78.71600907,2
79.284988662,3
79.877006802,1
80.42199546399999,2
80.98,3
81.537006802,1
82.11700680199999,2
82.698004535,3
83.254988662,1
83.82399092899999,2
84.380997732,3
84.95,1
85.49600907,2
86.07600907,3
86.644988662,1
87.20299319700001,2
87.78299319700001,3
88.363990929,1
88.931995464,2
89.51299319700001,3
90.09299319700001,1
90.68600907,2
91.253990929,3
91.834988662,1
92.41501133700001,2
92.99600907,3
93.57600907,1
94.144988662,2
94.70299319700001,3
95.27099773200001,1
95.81700680200001,2
96.36299319700001,3
96.92199546399999,1
97.49,2
98.078004535,3
98.629002267,1
99.183673469,2
99.70648526,3
100.283673469,1
100.850068027,2
101.424761904,3
101.959002267,1
102.56299319700001,2
103.16600907,3
103.78199546399999,1
104.397006802,2
105.011995464,3
105.58099773200001,1
106.161995464,2
106.753990929,3
107.333990929,1
107.938004535,2
108.53,3
109.121995464,1
109.74900226700001,2
110.363990929,3
110.98,1
111.549002267,2
112.140997732,3
112.74399092899999,1
113.325011337,2
113.929002267,3
114.52099773200001,1
115.148004535,2
115.74,3
116.367006802,1
116.959002267,2
117.539002267,3
118.108004535,1
118.63099773200001,2
119.16501133700001,3
119.74501133700001,1
120.302993197,2
120.86,3
121.417006802,1
121.98600907,2
122.56700680200001,3
123.159002267,1
123.739002267,2
124.32,3
124.92299319700001,1
125.503990929,2
126.083990929,3
126.652993197,1
127.221995464,2
127.802993197,3
128.395011337,1
128.987006802,2
129.590997732,3
130.159002267,1
130.728004535,2
131.309002267,3
131.889002267,1
132.47,2
133.085011337,3
133.677006802,1
134.26900226700002,2
134.872993197,3
135.477006802,1
136.091995464,2
136.672993197,3
137.264988662,1
137.84498866200002,2
138.413990929,3
138.982993197,1
139.54,2
140.120997732,3
140.70099773200002,1
141.27,2
141.839002267,3
142.430997732,1
143.011995464,2
143.615011337,3
144.23099773200002,1
144.82299319700002,2
145.402993197,3
145.995011337,1
146.588004535,2
147.190997732,3
147.77199546399999,1
148.36399092899998,2
148.943990929,3
149.548004535,1
150.16299319700002,2
150.79,3
151.42900226700002,1
