time,beats
0.301995464,1
0.789002267,2
1.277006802,3
1.788004535,1
2.31,2
2.7749886619999997,3
3.2739909289999996,1
3.772993197,2
4.271995464,3
4.76,1
5.259002267,2
5.735011337,3
6.222993197,1
6.67600907,2
7.21,3
7.697006802000001,1
8.185011337,2
8.638004535,3
9.113990929,1
9.59,2
10.030997732000001,3
10.494988662,1
10.96,2
11.423990929,3
11.877006802,1
12.340997732,2
12.80600907,3
13.27,1
13.769002267000001,2
14.269002267000001,3
14.71,1
15.173990929,2
15.65,3
16.114988662000002,1
16.579002267,2
17.031995464,3
17.484988662,1
17.949002267,2
18.401995464000002,3
18.878004535,1
19.341995464,2
19.795011337000002,3
20.23600907,1
20.689002267,2
21.13,3
21.594988662,1
22.070997732,2
22.522993196999998,3
22.999002266999998,1
23.499002266999998,2
23.975011336999998,3
24.450997731999998,1
24.927006801999998,2
25.379002266999997,3
25.831995464000002,1
26.272993196999998,2
26.714988662,3
27.15600907,1
27.609002266999997,2
28.060997731999997,3
28.501995464,1
28.931995464,2
29.372993197,3
29.813990929000003,1
30.25600907,2
30.684988662,3
31.12600907,1
31.579002266999996,2
32.02,3
32.472993197,1
32.902993197,2
33.343990929,3
33.797006802,1
34.238004535,2
34.679002267,3
35.12,1
35.560997732,2
36.002993196999995,3
36.431995464,1
36.872993197,2
37.302993197,3
37.75600907,1
38.185011337,2
38.615011337,3
39.032993196999996,1
39.461995464,2
39.891995464000004,3
40.320997731999995,1
40.762993197,2
41.180997732,3
41.587006802,1
41.992993197,2
42.422993197,3
42.851995464,1
43.27,2
43.688004535,3
44.10600907,1
44.53600907,2
44.940997732,3
45.360997732,1
45.769002267,2
46.17,3
46.547006802,1
46.953990929,2
47.358004535,3
47.76600907,1
48.500680272,2
49.18,3
49.87600907,4
50.572993196999995,1
51.222993197,2
51.884988662,3
52.534988661999996,4
53.173990929,1
53.823990929,2
54.473990928999996,3
55.123990928999994,4
55.77399092899999,1
56.412993197,2
57.050997732,3
57.69,4
58.317006802,1
58.954988662,2
59.581995463999995,3
60.209002266999995,4
60.859002267,1
61.48600907,2
62.112993197,3
62.74,4
63.379002267,1
64.017006802,2
64.643990929,3
65.282993197,4
65.920997732,1
66.56,2
67.199002267,3
67.837006802,4
68.557006802,1
68.974988662,2
69.41600907,3
69.88,1
70.34498866199999,2
70.798004535,3
71.261995464,1
71.738004535,2
72.20199546399999,3
72.667006802,1
73.12,2
73.571995464,3
74.025011337,1
74.44299319699999,2
74.860997732,3
75.279002267,1
75.731995464,2
76.172993197,3
76.62600907,1
77.055011337,2
77.48498866199999,3
77.890997732,1
78.343990929,2
78.797006802,3
79.22600907,1
79.65600907,2
80.08600907,3
80.538004535,1
80.98,2
81.420997732,3
81.873990929,1
82.32600907,2
82.75600907,3
83.18501133699999,1
83.660997732,2
84.102993197,3
84.543990929,1
84.98498866199999,2
85.438004535,3
85.879002267,1
86.331995464,2
86.772993197,3
87.21399092899999,1
87.643990929,2
88.084988662,3
88.50299319700001,1
88.931995464,2
89.361995464,3
89.791995464,1
90.220997732,2
90.63900226700001,3
91.069002267,1
91.51,2
91.950997732,3
92.39199546399999,1
92.821995464,2
93.250997732,3
93.68099773200001,1
94.099002267,2
94.51700680200001,3
94.92299319700001,1
95.352993197,2
95.77099773200001,3
96.189002267,1
96.607006802,2
97.02501133700001,3
97.43099773200001,1
97.849002267,2
98.278004535,3
98.69600907,1
99.102993197,2
99.50900226700001,3
99.91501133700001,1
100.31,2
100.71700680200001,3
101.110997732,1
101.50600907,2
101.911995464,3
102.319002267,1
102.73700680200001,2
103.14299319700001,3
103.549002267,1
103.943990929,2
104.35,3
104.757006802,1
105.174988662,2
105.57,3
105.94900226700001,1
106.39600907,2
106.80099773200001,3
107.178004535,1
107.601995464,2
107.961995464,3
108.37700680200001,1
109.13399092899999,2
109.789002267,3
110.424988662,4
111.09600907,1
111.74600907,2
112.39600907,3
113.04600907,4
113.697006802,1
114.334988662,2
114.961995464,3
115.611995464,4
116.27399092899999,1
116.90099773200001,2
117.55099773200001,3
118.178004535,4
118.828004535,1
119.46700680200001,2
120.10501133700001,3
120.74399092899999,4
121.381995464,1
122.00900226700001,2
122.63600907,3
123.26299319700001,4
123.901995464,1
124.52900226700001,2
125.15600907,3
125.78199546399999,4
126.420997732,1
127.06,2
127.71,3
128.36,4
129.02199546399999,1
129.500997732,2
130.03,3
130.468004535,1
130.901995464,2
131.34,3
131.76299319700001,1
132.21,2
132.637006802,3
133.060997732,1
133.49700680200002,2
133.93600907,3
134.35600907,1
134.808004535,2
135.29,3
135.745011337,1
136.18,2
136.638004535,3
137.12501133700002,1
137.555011337,2
138.008004535,3
138.42600907,1
138.86700680200002,2
139.297006802,3
139.72600907,1
140.14399092899998,2
140.573990929,3
141.02600907,1
141.468004535,2
141.89700680200002,3
142.327006802,1
142.75600907,2
143.18600907,3
143.627006802,1
144.05700680200002,2
144.498004535,3
144.95099773200002,1
145.402993197,2
145.832993197,3
146.273990929,1
146.691995464,2
147.121995464,3
147.58600907,1
148.007006802,2
148.447006802,3
148.880997732,1
149.32600907,2
149.752993197,3
150.183990929,1
150.629002267,2
151.043990929,3
151.46600907,1
152.07900226700002,2
152.693990929,3
153.320997732,4
153.982993197,1
154.61,2
155.237006802,3
155.86399092899998,4
156.490997732,1
157.118004535,2
157.732993197,3
158.36,4
158.987006802,1
159.601995464,2
160.229002267,3
160.85600907,4
161.471995464,1
162.074988662,2
162.67900226700002,3
163.282993197,4
163.898004535,1
164.51299319700001,2
165.14,3
165.75600907,4
166.370997732,1
166.98600907,2
167.59,3
168.193990929,4
168.797006802,1
169.39,2
170.00498866200002,3
170.631995464,4
171.259002267,1
171.88600907,2
172.478004535,3
173.11600907,4
173.742993197,1
174.37,2
174.98600907,3
175.600997732,4
176.205011337,1
176.808004535,2
177.41199546400003,3
178.01600907,4
178.630997732,1
179.24600907,2
179.86199546400002,3
180.48900226700002,4
181.091995464,1
181.708004535,2
182.32299319700002,3
182.927006802,4
183.553990929,1
184.180997732,2
184.79600907,3
185.410997732,4
186.02700680200002,1
186.64199546400002,2
187.24600907,3
187.849002267,4
188.46501133700002,1
189.08,2
189.69498866200001,3
190.310997732,4
190.92600907,1
