time,beats
1.12600907,1
1.880997732,2
2.6009977319999997,3
3.331995464,4
4.04,1
4.748004535,2
5.457006802,3
6.165011337,4
6.8849886620000005,1
7.6050113370000005,2
8.323990928999999,3
9.043990929,4
9.763990929,1
10.494988662,2
11.227006802,3
11.958004535,4
12.678004535,1
13.38600907,2
14.10600907,3
14.838004535,4
15.569002267,1
16.3,2
17.02,3
17.74,4
18.46,1
19.202993197,2
19.922993197,3
20.619002267,4
21.328004535,1
22.047006802,2
22.767006801999997,3
23.487006802,4
24.207006802,1
24.927006801999998,2
25.64600907,3
26.36600907,4
27.08600907,1
27.80600907,2
28.52600907,3
29.233990929,4
29.953990929,1
30.673990929000002,2
31.392993197,3
32.112993197,4
32.844988662,1
33.588004535,2
34.319002266999995,3
35.061995464,4
35.804988662,1
36.548004535,2
37.290997732,3
38.022993197,4
38.753990929000004,1
39.48600907,2
40.204988662,3
40.924988662,4
41.632993197,1
42.33,2
43.027006801999995,3
43.722993197,4
44.42,1
45.128004535,2
45.83600907,3
46.520997732,4
47.20600907,1
47.91399092899999,2
48.622993197,3
49.34199546399999,4
50.039002267,1
50.747006802,2
51.454988662,3
52.151995463999995,4
52.849002266999996,1
53.557006802,2
54.277006801999995,3
54.99600907,4
55.71600907,1
56.43600907,2
57.15600907,3
57.87600907,4
58.571995464,1
59.280997731999996,2
59.989002267,3
60.709002266999995,4
61.428004535,1
62.148004535,2
62.868004535,3
63.588004535,4
64.319002267,1
65.06199546399999,2
65.793990929,3
66.537006802,4
67.268004535,1
68.02299319699999,2
68.76600907,3
69.497006802,4
70.217006802,1
70.937006802,2
71.657006802,3
72.364988662,4
73.072993197,1
73.792993197,2
74.49,3
75.209002267,4
75.918004535,1
76.62600907,2
77.333990929,3
78.041995464,4
78.75,1
79.47,2
80.178004535,3
80.898004535,4
81.607006802,1
82.314988662,2
83.02299319699999,3
83.72,4
84.41600907,1
85.123990929,2
85.832993197,3
86.49,4
87.179002267,1
87.860997732,2
88.363990929,3
88.873990929,4
89.361995464,1
89.85,2
90.337006802,3
90.825011337,4
91.30099773200001,1
91.788004535,2
92.263990929,3
92.72900226700001,4
93.181995464,1
93.64600907,2
94.099002267,3
94.551995464,4
95.003990929,1
95.45700680200001,2
95.898004535,3
96.34,4
96.791995464,1
97.257006802,2
97.720997732,3
98.173990929,4
98.62700680200001,1
99.08,2
99.543990929,3
99.997006802,4
100.45,1
100.901995464,2
101.34299319700001,3
101.784988662,4
102.23700680200001,1
102.679002267,2
103.12,3
103.560997732,4
104.00199546399999,1
104.454988662,2
104.89600907,3
105.349002267,4
105.801995464,1
106.26600907,2
106.70700680200001,3
107.16,4
107.61299319700001,1
108.06600907,2
108.518004535,3
108.98299319700001,4
109.447006802,1
109.9,2
110.352993197,3
110.80600907,4
111.258004535,1
111.71099773200001,2
112.163990929,3
112.617006802,4
113.08099773200001,1
113.533990929,2
113.998004535,3
114.450997732,4
114.91600907,1
115.38,2
115.85600907,3
116.28600907,4
116.715011337,1
117.19691609899999,2
117.70199546399999,3
118.18376417200001,4
118.689002267,1
119.190929705,2
119.69900226700001,3
120.183582766,4
120.68600907,1
121.18784580399999,2
121.69600907,3
122.20371882,4
122.70600907,1
123.207981859,2
123.71600907,3
124.206439909,4
124.71399092899999,1
125.20780045299999,2
125.69,3
126.19174603100001,4
126.688004535,1
127.169886621,2
127.662993197,3
128.153832199,4
128.661995464,1
129.14648526,2
129.637006802,3
130.115918367,4
130.611995464,1
131.096961451,2
131.58700680200002,3
132.066394557,4
132.539002267,1
133.030022675,2
133.514988662,3
133.996553287,4
134.478004535,1
134.94857142799998,2
135.43,3
135.912199546,4
136.40600907,1
136.890340136,2
137.380997732,3
137.862675736,4
138.332993197,1
138.8030839,2
139.28498866200002,3
139.769614512,4
140.249002267,1
141.20099773200002,2
142.152993197,3
143.104988662,4
144.068004535,1
145.055011337,2
146.01900226700002,3
146.993990929,4
147.969002267,1
148.92099773200002,2
149.89600907,3
150.895011337,4
151.87,1
152.84498866200002,2
153.809002267,3
154.783990929,4
155.759002267,1
156.74600907,2
157.732993197,3
158.708004535,4
159.707006802,1
160.68199546399998,2
161.657006802,3
162.65600907,4
163.653990929,1
164.663990929,2
165.64,3
