time,beats
0.319002267,3
0.8709977320000001,4
1.68600907,1
2.369002267,2
3.007006802,3
3.63600907,4
4.279002267,1
4.909002267,2
5.542993197,3
6.17,4
6.789002267000001,1
7.4129931970000005,2
8.021995464,3
8.654988662000001,4
9.270997732,1
9.862993197,2
10.47,3
11.072993197,4
11.675011337,1
12.28600907,2
12.89600907,3
13.5,4
14.09600907,1
14.693990929000002,2
15.293990929000001,3
15.881995464000001,4
16.480997732,1
17.080997732,2
17.669002267,3
18.269002267,4
18.867006802,1
19.463990929,2
20.063990929000003,3
20.651995464000002,4
21.251995464,1
21.850997732,2
22.44,3
23.04,4
23.637006802,1
24.232993197,2
24.84,3
25.437006802,4
26.028004535,1
26.619002267,2
27.218004535,3
27.81600907,4
28.411995464,1
29.018004535,2
29.61600907,3
30.204988661999998,4
30.803990929,1
31.402993196999997,2
31.992993196999997,3
32.58600907,4
33.17600907,1
33.777006801999995,2
34.369002267,3
34.951995464,4
35.545011337,1
36.142993196999996,2
36.740997732,3
37.337006802,4
37.941995464,1
38.547006802,2
39.143990929,3
39.73600907,4
40.32600907,1
40.92600907,2
41.522993197,3
42.12,4
42.72,1
43.309002267,2
43.908004535,3
44.507006802,4
45.098004535,1
45.689002267,2
46.28600907,3
46.891995464,4
47.489002267,1
48.081995463999995,2
48.667006801999996,3
49.251995464,4
49.84399092899999,1
50.443990928999995,2
51.03600907,3
51.62,4
52.208004535,1
52.788004535,2
53.361995463999996,3
53.933990929,4
54.520997732,1
55.11600907,2
55.7,3
56.287006802,4
56.872993197,1
57.458004535,2
58.051995463999994,3
58.641995464,4
59.239002267,1
59.84600907,2
60.441995463999994,3
61.038004535,4
61.643990929,1
62.247006802,2
62.85,1
63.454988662,2
64.051995464,3
64.64700680199999,4
65.259002267,1
65.87,2
