time,beats
0.418004535,1
1.0329931970000001,2
1.66,1
2.299002267,2
2.937006802,1
3.5529931969999997,2
4.15600907,1
4.794988662,2
5.421995464,1
6.06,2
6.710997732,1
7.360997732,2
7.999002267000001,1
8.62600907,2
9.265011337,1
9.914988662,2
10.564988662000001,1
11.227006802,2
11.877006802,1
12.539002267,2
13.189002267000001,1
13.861995464000001,2
14.523990929000002,1
15.18600907,2
15.848004535,1
16.509002267,2
17.170997732,1
17.820997732000002,2
18.470997732,1
19.144988662,2
19.795011337000002,1
20.433990929,2
21.083990929000002,1
21.733990929,2
22.39600907,1
23.057006801999997,2
23.708004535,1
24.380997731999997,2
25.030997732,1
25.692993197,2
26.342993197,1
27.01600907,2
27.678004535,1
28.34,2
29.001995464,1
29.662993197,2
30.301995464,1
30.940997732,2
31.590997731999998,1
32.229002267,2
32.879002267,1
33.53,2
34.18,1
34.83,2
35.515011337,1
36.188004535,2
36.861995464,1
37.511995464,2
38.161995464,1
38.823990929000004,2
39.48600907,1
40.123990929,2
40.773990929,1
41.423990929,2
42.075011337,1
42.73600907,2
43.375011337,1
44.024988662,2
44.674988662,1
45.325011337,2
45.975011337,1
46.613990928999996,2
47.263990928999995,1
47.92600907,2
48.57600907,1
49.22600907,2
49.87600907,1
50.527006801999995,2
51.164988662,1
51.803990928999994,2
52.453990929,1
53.103990929,2
53.777006801999995,1
54.439002267,2
55.100997731999996,1
55.750997731999995,2
56.412993197,1
57.075011337,2
57.748004535,1
58.41,2
59.071995464,1
59.732993197,2
60.382993197,1
61.045011337,2
61.695011337,1
62.333990928999995,2
62.983990928999994,1
63.64600907,2
64.29600907,1
64.958004535,2
65.62,1
66.27,2
66.930997732,1
67.592993197,2
68.242993197,1
68.905011337,2
69.567006802,1
70.193990929,2
70.831995464,1
71.482993197,2
72.132993197,1
72.76,2
73.41,1
74.06,2
74.71,1
75.371995464,2
76.033990929,1
76.707006802,2
77.357006802,1
78.019002267,2
78.680997732,1
79.319002267,2
79.958004535,1
80.608004535,2
81.258004535,1
81.908004535,2
82.559002267,1
83.209002267,2
83.859002267,1
84.509002267,2
85.148004535,1
85.78600907,2
86.43600907,1
87.11,2
87.748004535,1
88.387006802,2
89.049002267,1
89.69900226700001,2
90.337006802,1
90.98700680200001,2
91.62600907,1
92.27600907,2
92.92600907,1
93.57600907,2
94.227006802,1
94.87700680200001,2
95.527006802,1
96.17700680200001,2
96.803990929,1
97.453990929,2
98.09299319700001,1
98.742993197,2
99.39299319700001,1
100.03199546399999,2
100.681995464,1
101.32,2
101.959002267,1
102.60900226700001,2
103.23600907,1
103.88600907,2
104.53600907,1
105.18600907,2
105.825011337,1
106.462993197,2
107.101995464,1
107.74099773200001,2
108.379002267,1
109.018004535,2
109.65600907,1
110.30600907,2
110.94498866200001,1
111.58299319700001,2
112.221995464,1
112.860997732,2
113.49900226700001,1
114.12600907,2
114.77600907,1
115.438004535,2
116.088004535,1
116.75,2
117.4,1
118.05,2
118.711995464,1
119.373990929,2
120.03600907,1
120.68600907,2
121.32399092899999,1
121.973990929,2
122.625011337,1
123.28600907,2
123.924988662,1
124.575011337,2
125.224988662,1
125.887006802,2
126.53700680200001,1
127.18700680200001,2
127.837006802,1
128.488004535,2
129.138004535,1
129.788004535,2
130.438004535,1
131.088004535,2
131.738004535,1
132.389002267,2
133.039002267,1
133.689002267,2
134.339002267,1
134.978004535,2
135.61600907,1
136.26600907,2
136.91600907,1
137.555011337,2
138.21700680200001,1
138.86700680200002,2
139.529002267,1
140.201995464,2
140.887006802,1
141.56,2
142.210997732,1
142.86099773200002,2
143.51099773200002,1
144.138004535,2
144.764988662,1
145.402993197,2
146.053990929,1
146.70399092899999,2
147.353990929,1
148.003990929,2
148.642993197,1
149.303990929,2
149.94299319700002,1
150.58099773200001,2
151.231995464,1
151.881995464,2
152.52,1
153.17,2
153.809002267,1
154.43600907,2
155.062993197,1
155.69,2
156.328004535,1
156.99,2
157.61700680200002,1
158.243990929,2
158.870997732,1
159.518004535,2
160.148004535,1
160.76,2
161.39099773200002,1
162.039002267,2
162.71700680200001,1
163.35,2
164.028004535,1
164.68600907,2
165.332993197,1
165.941995464,2
