time,beats
0.737006802,7
1.0970068020000001,8
1.473990929,9
1.84600907,10
2.229002267,11
2.5890022669999997,12
2.937006802,1
3.2739909289999996,2
3.633990929,3
4.004988662,4
4.341995464,5
4.7019954639999995,6
5.061995464,7
5.421995464,8
5.7819954639999995,9
6.13,10
6.478004535,11
6.8270068020000005,12
7.1749886620000005,1
7.535011337,2
7.882993197,3
8.22,4
8.557006802,5
8.892993197000001,6
9.241995464,7
9.59,8
9.938004535,9
10.28600907,10
10.622993197000001,11
10.970997732,12
11.32,1
11.65600907,2
12.005011337000001,3
12.352993197,4
12.69,5
13.038004535,6
13.38600907,7
13.734988662000001,8
14.082993197,9
14.442993197,10
14.790997732000001,11
15.128004535,12
15.47600907,1
15.823990929,2
16.172993197,3
16.520997732,4
16.858004535,5
17.20600907,6
17.553990929,7
17.902993197,8
18.250997732000002,9
18.599002267,10
18.93600907,11
19.283990929,12
19.631995464000003,1
19.980997732,2
20.317006802,3
20.66600907,4
21.013990929000002,5
21.361995464,6
21.699002266999997,7
22.047006802,8
22.39600907,9
22.743990929000002,10
23.091995464,11
23.440997732,12
23.789002266999997,1
24.137006802,2
24.497006801999998,3
24.857006801999997,4
25.204988661999998,5
25.541995464,6
25.89,7
26.25,8
26.61,9
26.958004535,10
27.295011337,11
27.642993197,12
27.98,1
28.317006801999998,2
28.641995464,3
28.967006801999997,4
29.28,5
29.605011336999997,6
29.941995464,7
30.267006801999997,8
30.591995464,9
30.917006802,10
31.241995464000002,11
31.568004535,12
31.892993197,1
32.218004535,2
32.542993197,3
32.868004535,4
33.192993197,5
33.518004535,6
33.842993197,7
34.190997732,8
34.550997732,9
34.9,10
35.259002267,11
35.619002267,12
35.990997732,1
36.350997731999996,2
36.710997731999996,3
37.059002267,4
37.39600907,5
37.743990929,6
38.091995464,7
38.440997732,8
38.777006801999995,9
39.12600907,10
39.473990929,11
39.821995464000004,12
40.170997732,1
40.519002267,2
40.867006802,3
41.215011337,4
41.551995464,5
41.889002266999995,6
42.237006801999996,7
42.585011337,8
42.933990929000004,9
43.293990928999996,10
43.63,11
43.967006802,12
44.303990928999994,1
44.651995463999995,2
45.0,3
45.36,4
45.697006802,5
46.045011337,6
46.405011337,7
46.752993196999995,8
47.101995464,9
47.45,10
47.787006802,11
48.134988662,12
48.471995463999995,1
48.808004535,2
49.157006802,3
49.505011337,4
49.84199546399999,5
50.178004535,6
50.527006801999995,7
50.875011337,8
51.222993197,9
51.570997731999995,10
51.908004535,11
52.244988662,12
52.604988662,1
52.965011337,2
53.312993197,3
53.660997732,4
53.998004535,5
54.358004535,6
54.718004535,7
55.06600907,8
55.41399092899999,9
55.762993197,10
56.099002266999996,11
56.43600907,12
56.783990929,1
57.143990929,2
57.492993197,3
57.851995464,4
58.200997732,5
58.538004535,6
58.88600907,7
59.24600907,8
59.59399092899999,9
59.953990929,10
60.290997732,11
60.627006802,12
60.97600907,1
61.300997732,2
61.62600907,3
61.950997732,4
62.27600907,5
62.600997731999996,6
62.938004535,7
63.262993197,8
63.599002266999996,9
63.924988662,10
64.25,11
64.57501133699999,12
64.888004535,1
65.212993197,2
65.527006802,3
65.84,4
66.153990929,5
66.467006802,6
66.780997732,7
67.10600907,8
67.419002267,9
67.732993197,10
68.04600907,11
68.36,12
68.69600907,1
69.032993197,2
69.380997732,3
69.718004535,4
70.055011337,5
70.390997732,6
70.74,7
71.088004535,8
71.424988662,9
71.77299319699999,10
72.12099773199999,11
72.458004535,12
72.79501133699999,1
73.142993197,2
73.490997732,3
73.828004535,4
74.17600907,5
74.512993197,6
74.860997732,7
75.209002267,8
75.558004535,9
75.90600907,10
76.242993197,11
76.59099773199999,12
76.928004535,1
77.27600907,2
77.612993197,3
77.960997732,4
78.298004535,5
78.64600907,6
78.99399092899999,7
79.342993197,8
79.690997732,9
80.039002267,10
80.387006802,11
80.723990929,12
81.060997732,1
81.40900226699999,2
81.75700680199999,3
82.10600907,4
82.453990929,5
82.801995464,6
83.139002267,7
83.47600907,8
83.82399092899999,9
84.17199546399999,10
84.509002267,11
84.84600907,12
85.193990929,1
85.541995464,2
85.890997732,3
86.227006802,4
86.563990929,5
86.90099773200001,6
87.24900226700001,7
87.58600907,8
87.92199546399999,9
88.25900226700001,10
88.607006802,11
88.95600907,12
89.303990929,1
89.651995464,2
90.000997732,3
90.337006802,4
90.673990929,5
91.021995464,6
91.370997732,7
91.70700680200001,8
92.05501133700001,9
92.403990929,10
92.74,11
93.07700680200001,12
93.413990929,1
93.761995464,2
94.099002267,3
94.447006802,4
94.783990929,5
95.10900226700001,6
95.44600907,7
95.78199546399999,8
96.11900226700001,9
96.45600907,10
96.791995464,11
97.129002267,12
97.46600907,1
97.79099773200001,2
98.128004535,3
98.47600907,4
98.82399092899999,5
99.17199546399999,6
99.50900226700001,7
99.857006802,8
100.21700680200001,9
100.56600907,10
100.92600907,11
101.29700680200001,12
101.65700680200001,1
102.01700680200001,2
102.388004535,3
102.748004535,4
103.09700680200001,5
103.45700680200001,6
103.81600907,7
104.17600907,8
104.53600907,9
104.89600907,10
105.25600907,11
105.60399092899999,12
105.95299319700001,1
106.289002267,2
106.638004535,3
106.98600907,4
107.322993197,5
107.659002267,6
108.019002267,7
108.368004535,8
108.71600907,9
109.07600907,10
109.411995464,11
109.760997732,12
110.120997732,1
110.480997732,2
110.84,3
111.2,4
111.53700680200001,5
111.88501133700001,6
112.233990929,7
112.581995464,8
112.93,9
113.29,10
113.638004535,11
113.98700680200001,12
114.334988662,1
114.69498866200001,2
115.042993197,3
115.39199546399999,4
115.728004535,5
116.07700680200001,6
116.424988662,7
116.761995464,8
117.11,9
117.47,10
117.818004535,11
118.178004535,12
118.538004535,1
118.88600907,2
119.24600907,3
119.593990929,4
119.942993197,5
120.29099773200001,6
120.63900226700001,7
120.99900226700001,8
121.35900226700001,9
121.71900226700001,10
122.05600907,11
122.403990929,12
122.763990929,1
123.123990929,2
123.471995464,3
123.831995464,4
124.203990929,5
124.551995464,6
124.9,7
125.248004535,8
125.59700680200001,9
125.94498866200001,10
126.292993197,11
126.64199546399999,12
126.978004535,1
127.314988662,2
127.64,3
127.965011337,4
128.29,5
128.627006802,6
128.963990929,7
129.289002267,8
129.62501133700002,9
129.96199546399998,10
130.287006802,11
130.611995464,12
130.949002267,1
131.273990929,2
131.599002267,3
131.92399092899998,4
132.249002267,5
132.573990929,6
132.89900226700001,7
133.223990929,8
133.55,9
133.862993197,10
134.188004535,11
134.51299319700001,12
134.85,1
135.198004535,2
135.54600907,3
135.88299319700002,4
136.23099773200002,5
136.58,6
136.928004535,7
137.27600907,8
137.62501133700002,9
137.972993197,10
138.31,11
138.64600907,12
138.995011337,1
139.33099773200001,2
139.68,3
140.028004535,4
140.37600907,5
140.712993197,6
141.060997732,7
141.41,8
141.758004535,9
142.10600907,10
142.45399092899999,11
142.790997732,12
143.139002267,1
143.488004535,2
143.823990929,3
144.172993197,4
144.520997732,5
144.869002267,6
145.218004535,7
145.56600907,8
145.902993197,9
146.23900226700002,10
146.57600907,11
146.92399092899998,12
147.272993197,1
147.609002267,2
147.958004535,3
148.30600907,4
148.642993197,5
148.979002267,6
149.328004535,7
149.663990929,8
150.000997732,9
150.349002267,10
150.68600907,11
151.01099773200002,12
151.348004535,1
151.683990929,2
152.032993197,3
152.380997732,4
152.729002267,5
153.06600907,6
153.413990929,7
153.76299319700001,8
154.11099773200002,9
154.45900226700002,10
154.80700680200002,11
155.15600907,12
155.49199546399998,1
155.82900226700002,2
156.16600907,3
156.513990929,4
156.861995464,5
157.210997732,6
157.559002267,7
157.89600907,8
158.231995464,9
158.58099773200001,10
158.92900226700002,11
159.27700680200002,12
159.61399092899998,1
159.95099773200002,2
160.287006802,3
160.623990929,4
160.960997732,5
161.297006802,6
161.633990929,7
161.95900226700002,8
162.29600907,9
162.63299319700002,10
162.969002267,11
163.30600907,12
163.653990929,1
164.013990929,2
164.38600907,3
164.757006802,4
165.129002267,5
165.5,6
165.871995464,7
166.242993197,8
166.60299319700002,9
166.962993197,10
167.335011337,11
167.693990929,12
168.04299319700002,1
168.402993197,2
168.750997732,3
169.11099773200002,4
169.45900226700002,5
169.819002267,6
170.17900226700002,7
170.52700680200002,8
170.887006802,9
171.24700680200002,10
171.59498866200002,11
171.955011337,12
172.303990929,1
172.651995464,2
173.0,3
173.36,4
173.697006802,5
174.044988662,6
174.392993197,7
174.752993197,8
175.10199546400003,9
175.45,10
175.787006802,11
176.122993197,12
176.471995464,1
176.83199546400002,2
177.18,3
177.54,4
177.888004535,5
178.22498866200002,6
178.57299319700002,7
178.932993197,8
179.280997732,9
179.63,10
179.978004535,11
180.31498866200002,12
180.66299319700002,1
181.01099773200002,2
181.370997732,3
181.73099773200002,4
