time,beats
0.325011337,4
1.277006802,1
2.240997732,2
3.2039909289999997,3
4.168004535,4
5.131995464,1
6.0949886620000004,2
7.011995464,3
7.9409977320000005,4
8.881995464,1
9.821995464,2
10.750997732,3
11.632993197000001,4
12.55,1
13.479002267,2
14.39600907,3
15.313990929000001,4
16.208004535,1
17.125011337,2
18.053990929,3
18.970997732,4
19.87600907,1
20.77,2
21.687006802,3
22.628004535,4
23.545011337,1
24.473990929,2
25.379002266999997,3
26.308004535,4
27.237006802,1
28.153990929000003,2
29.070997732,3
29.964988662,4
30.859002266999997,1
31.741995464000002,2
32.647006802,3
33.552993197,4
34.458004535,1
35.387006801999995,2
36.31600907,3
37.244988662,4
38.197006802,1
39.12600907,2
40.042993197,3
40.994988662,4
41.947006802,1
42.863990929,2
43.77,3
44.66399092899999,4
45.569002266999995,1
46.48600907,2
47.369002267,3
48.28600907,4
49.202993197,1
50.131995464,2
51.049002267,3
51.954988662,4
52.849002266999996,1
53.730997732,2
54.637006801999995,3
55.553990928999994,4
56.493990929,1
57.435011337,2
58.329002267,3
59.199002267,4
60.081995463999995,1
60.987006801999996,2
61.892993196999996,3
62.798004535,4
63.691995463999994,1
64.58600907,2
65.491995464,3
66.39700680199999,4
67.30299319699999,1
68.22,2
69.149002267,3
70.078004535,4
71.00700680199999,1
71.93501133699999,2
72.852993197,3
73.758004535,4
74.651995464,1
75.533990929,2
76.381995464,3
77.218004535,4
78.064988662,1
78.924988662,2
79.771995464,3
80.62,4
81.45600907,1
82.314988662,2
83.150997732,3
83.987006802,4
84.84600907,1
85.71600907,2
86.587006802,3
87.458004535,4
88.31700680200001,1
89.17600907,2
89.989002267,3
90.825011337,4
91.67199546399999,1
92.52,2
93.35600907,3
94.20299319700001,4
95.028004535,1
95.875011337,2
96.71099773200001,3
97.54700680200001,4
98.40600907,1
99.241995464,2
100.10099773200001,3
100.971995464,4
101.878004535,1
102.795011337,2
103.7,3
104.60600907,4
105.510997732,1
106.417006802,2
107.310997732,3
108.17,4
109.04099773200001,1
109.935011337,2
110.84,3
111.758004535,4
112.651995464,1
113.533990929,2
114.41600907,3
115.28700680200001,4
116.14600907,1
117.02900226700001,2
117.93399092899999,3
118.84,4
119.74501133700001,1
120.63900226700001,2
121.545011337,3
122.42700680200001,4
123.33299319700001,1
124.238004535,2
125.120997732,3
126.00299319700001,4
126.861995464,1
127.720997732,2
128.615011337,3
129.473990929,4
130.368004535,1
131.261995464,2
132.168004535,3
133.073990929,4
133.990997732,1
134.884988662,2
135.79,3
136.719002267,4
137.62501133700002,1
138.541995464,2
139.45900226700002,3
140.365011337,4
141.27,1
142.199002267,2
143.092993197,3
143.999002267,4
144.880997732,1
145.78600907,2
146.691995464,3
147.562993197,4
148.421995464,1
149.328004535,2
150.245011337,3
151.139002267,4
152.05600907,1
152.972993197,2
153.86700680200002,3
154.749002267,4
155.631995464,1
156.537006802,2
157.430997732,3
158.313990929,4
159.208004535,1
160.112993197,2
161.01900226700002,3
161.91299319700002,4
162.818004535,1
163.723990929,2
164.64099773200002,3
165.53498866200002,4
166.451995464,1
167.34600907,2
168.21700680200001,3
169.063990929,4
169.93501133700002,1
170.82900226700002,2
171.780997732,3
172.802993197,4
173.824988662,1
