time,beats
0.408004535,1
1.044988662,2
1.7309977319999998,3
2.432993197,4
3.118004535,1
3.770997732,2
4.49,3
5.200997732,4
5.871995463999999,1
6.601995464,2
7.319002267,3
8.002993197,4
8.673990929,1
9.331995464,2
9.999002267,3
10.693877551,4
11.400997732,1
12.005011337000001,2
12.642993197000001,3
13.247006802000001,4
13.873990929000001,1
14.489002267,2
15.150997732,1
15.812993197,2
16.475011337,3
17.125011337,4
17.798004535,1
18.448004535,2
19.074988662,3
19.713990929,4
20.351995464,1
21.013990929000002,2
21.663990929,3
22.313990929000003,4
22.964988662,1
23.638004535,2
24.3,3
24.960997732,4
25.64600907,1
26.308004535,2
26.97,3
27.642993197,4
28.328004535,1
29.024988662,2
29.71,3
30.418004535,4
31.114988662,1
31.835011336999997,2
32.49600907,3
34.319002266999995,1
34.962993196999996,2
35.619002267,3
36.26600907,4
36.943990929,1
37.64600907,2
38.33,3
38.917006801999996,4
39.612993197,1
40.320997731999995,2
41.00600907,3
41.68,4
42.365011337,1
43.038004535,2
43.641995464,3
44.269002267,4
44.89600907,1
45.558004535,2
46.208004535,3
46.892993196999996,4
47.553990928999994,1
48.21600907,2
48.89,3
49.562993197,4
50.248004535,1
50.932993196999995,2
51.594988662,3
52.244988662,4
52.918004535,1
53.602993196999996,2
54.277006801999995,3
54.938004535,4
55.589002267,1
56.297006802,2
56.935011337,3
57.561995464,4
58.178004535,1
58.839002267,2
59.454988662,3
60.034988661999996,4
60.673990929,1
61.289002267,2
61.91600907,3
62.52,4
63.122993197,1
63.71600907,2
64.319002267,3
64.910997732,4
65.515011337,1
66.119002267,2
66.722993197,3
67.314988662,4
67.918004535,1
68.521995464,2
69.113990929,3
69.70600907,4
70.31,1
70.913990929,2
71.517006802,3
72.12099773199999,4
72.724988662,1
73.32900226699999,2
73.931995464,3
74.559002267,4
75.198004535,1
75.83600907,2
76.428004535,3
77.055011337,4
79.25,1
79.79501133699999,2
80.32900226699999,3
80.875011337,4
81.38600907,1
81.94299319699999,2
82.47700680199999,3
83.04600907,4
83.638004535,1
84.219002267,2
84.89199546399999,3
85.519002267,4
86.13399092899999,1
86.772993197,2
87.4,3
88.06199546399999,4
88.7,1
89.31600907,2
89.941995464,3
90.558004535,4
91.19600907,1
91.81199546399999,2
92.47299319700001,3
93.17,4
93.80900226700001,1
94.423990929,2
95.028004535,3
