time,beats
0.432471655,New Point
0.8736507929999999,New Point
1.358004535,1
1.822993197,2
2.287006802,3
2.74,4
3.2039909289999997,1
3.68,2
4.15600907,3
4.609002267,4
5.073990929,1
5.538004535,2
6.001995464,3
6.467006802,4
6.930997732000001,1
7.407006802000001,2
7.871995463999999,3
8.348004535,4
8.811995463999999,1
9.288004535,2
9.763990929,3
10.217006802,4
10.67,1
11.14600907,2
11.632993197000001,3
12.098004535,4
12.561995464,1
13.038004535,2
13.501995464,3
13.967006802,4
14.42,1
14.860997732000001,2
15.301995464,3
15.755011337000001,4
16.219002267,1
16.695011337,2
17.16,3
17.63600907,4
18.1,1
18.563990929000003,2
19.04,3
19.504988662,4
19.980997732,1
20.457006802000002,2
20.932993197000002,3
21.409002267,4
21.872993197,1
22.349002267,2
22.824988662,3
23.29,4
23.753990929,1
24.218004535,2
24.693990929,3
25.17,4
25.64600907,1
26.121995464,2
26.598004535,3
27.073990929,4
27.539002266999997,1
28.015011336999997,2
28.490997731999997,3
28.954988661999998,4
29.42,1
29.883990929,2
30.348004535,3
30.812993196999997,4
31.277006802,1
31.741995464000002,2
32.218004535,3
32.693990929,4
33.17,1
33.64600907,2
34.121995464,3
34.58600907,4
35.050997732,1
35.515011337,2
35.979002267,3
36.454988662,4
36.930997732,1
37.39600907,2
37.86,3
38.33600907,4
38.811995464,1
39.288004535,2
39.763990929,3
40.217006802,4
40.680997732,1
41.157006802,2
41.645011337,3
42.109002267,4
42.561995464,1
43.038004535,2
43.513990928999995,3
43.979002267,4
44.430997732,1
44.883990929,2
45.337006802,3
45.79,4
46.253990929,1
46.719002267,2
47.195011337,3
47.670997732,4
48.147006802,1
48.610997732,2
49.087006802,3
49.562993197,4
50.027006801999995,1
50.515011337,2
50.990997732,3
51.454988662,4
51.930997732,1
52.407006802,2
52.882993197,3
53.359002267,4
53.823990929,1
54.3,2
54.763990928999995,3
55.24,4
55.71600907,1
56.191995463999994,2
56.668004535,3
57.143990929,4
57.62,1
58.09600907,2
58.571995464,3
59.048004535,4
59.52399092899999,1
60.0,2
60.47600907,3
60.940997732,4
61.405011337,1
61.880997732,2
62.357006802,3
62.832993197,4
63.309002267,1
63.77399092899999,2
64.238004535,3
64.70199546399999,4
65.167006802,1
65.642993197,2
66.119002267,3
66.59498866199999,4
67.070997732,1
67.558004535,2
68.033990929,3
68.51,4
68.98600907,1
69.461995464,2
69.95,3
70.42600907,4
70.890997732,1
71.378004535,2
71.86600907,3
72.341995464,4
72.80600907,1
73.293990929,2
73.77,3
74.25700680199999,4
74.732993197,1
75.209002267,2
75.68501133699999,3
76.160997732,4
76.637006802,1
77.125011337,2
77.612993197,3
78.1,4
78.57600907,1
79.040997732,2
79.528004535,3
80.01600907,4
80.491995464,1
80.968004535,2
81.443990929,3
81.92,4
82.38399092899999,1
82.871995464,2
83.348004535,3
83.82399092899999,4
84.288004535,1
84.77600907,2
85.24,3
85.728004535,4
86.203990929,1
86.691995464,2
87.179002267,3
87.655011337,4
88.13099773200001,1
88.61900226700001,2
89.094988662,3
89.57099773200001,4
90.05900226700001,1
90.54600907,2
91.033990929,3
91.52099773200001,4
91.997006802,1
92.484988662,2
92.97299319700001,3
93.46,4
93.924988662,1
94.40099773200001,2
94.888004535,3
95.37600907,4
95.851995464,1
96.328004535,2
96.81600907,3
97.291995464,4
97.77900226700001,1
98.254988662,2
98.742993197,3
99.21900226700001,4
99.69498866200001,1
100.181995464,2
100.67,3
101.14600907,4
101.63399092899999,1
102.11,2
102.59700680200001,3
103.072993197,4
103.538004535,1
104.02501133700001,2
104.51299319700001,3
104.989002267,4
105.465011337,1
105.95299319700001,2
106.44,3
106.91600907,4
107.38099773200001,1
107.857006802,2
108.33299319700001,3
108.80900226700001,4
109.284988662,1
109.771995464,2
110.26,3
110.723990929,4
111.2,1
111.688004535,2
112.17600907,3
112.651995464,4
113.13900226700001,1
113.62700680200001,2
114.113990929,3
114.59,4
115.06600907,1
115.541995464,2
116.018004535,3
116.49399092899999,4
116.970997732,1
117.458004535,2
117.94600907,3
118.432993197,4
118.909002267,1
119.38501133700001,2
119.87299319700001,3
120.349002267,4
120.837006802,1
121.33600907,2
121.822993197,3
122.299002267,4
122.78700680200001,1
123.28600907,2
123.77399092899999,3
124.25,4
124.72600907,1
125.21399092899999,2
125.69,3
126.17700680200001,4
126.66501133700001,1
127.151995464,2
127.64,3
128.11600907,4
128.603990929,1
129.10299319700002,2
129.601995464,3
130.078004535,4
130.54299319700002,1
