time,beats
2.8139909289999996,1
4.993990929,2
6.849002267,3
8.763990929,4
10.619002267,1
12.533990929000002,2
14.431995464000002,3
16.347006802,4
18.360997732,1
20.272993197,2
22.074988662,3
24.3,1
24.833990929000002,2
25.344988662,3
25.855011336999997,4
26.389002267,1
26.911995464,2
27.422993196999997,3
27.945011336999997,4
28.45600907,1
28.978004535,2
29.478004535,3
29.989002266999996,4
30.499002266999998,1
30.999002266999998,2
31.498004535,3
32.009002267,4
32.52,1
33.03,2
33.53,3
34.029002266999996,4
34.54,1
35.050997732,2
35.55,3
36.049002267,4
36.56,1
37.059002267,2
37.547006802,3
38.04600907,4
38.557006802,1
39.05600907,2
39.554988662,3
40.053990929,4
40.553990929,1
41.063990929,2
41.563990929,3
42.062993197,4
42.561995464,1
43.072993196999995,2
43.583990928999995,3
44.082993197,4
44.581995463999995,1
45.081995463999995,2
45.580997732,3
46.068004535,4
46.568004535,1
47.078004535,2
47.578004535,3
48.077006802,4
48.57600907,1
49.087006802,2
49.575011337,3
50.073990929,4
50.585011337,1
51.071995464,2
51.570997731999995,3
52.059002267,4
52.558004535,1
53.058004535,2
53.557006802,3
54.043990928999996,4
54.531995464,1
55.02,2
55.507006802,3
55.982993197,4
56.470997732,1
56.97,2
57.469002267,3
57.957006801999995,4
58.45600907,1
58.931995463999996,2
59.42,3
59.89600907,4
60.382993197,1
60.870997732,2
61.347006801999996,3
61.822993196999995,4
62.299002267,1
62.787006802,2
63.262993197,3
63.75,4
64.238004535,1
64.72600907,2
65.212993197,3
65.68900226699999,4
66.177006802,1
66.663990929,2
67.14,3
67.605011337,4
68.080997732,5
68.569002267,1
69.04501133699999,2
69.53199546399999,3
70.02,4
70.49600907,1
70.971995464,2
71.448004535,3
71.923990929,4
72.410997732,1
72.899002267,2
73.375011337,3
73.850997732,4
74.339002267,1
74.814988662,2
75.290997732,3
75.778004535,4
76.253990929,1
76.73,2
77.20600907,3
77.681995464,4
78.158004535,1
78.63399092899999,2
79.11,3
79.58600907,4
80.06199546399999,1
80.538004535,2
81.013990929,3
81.49,4
81.978004535,1
82.46600907,2
82.941995464,3
83.418004535,4
83.905011337,1
84.392993197,2
84.880997732,3
85.34498866199999,4
85.820997732,1
86.30900226700001,2
86.79600907,3
87.271995464,4
87.76,1
88.247006802,2
88.72299319700001,3
89.19900226700001,4
89.663990929,1
90.14,2
90.61600907,3
91.091995464,4
91.579002267,1
92.05501133700001,2
92.542993197,3
93.030997732,4
93.507006802,1
93.98299319700001,2
94.459002267,3
94.958004535,4
95.43399092899999,1
95.92199546399999,2
96.398004535,3
96.873990929,4
97.35,1
97.837006802,2
98.31299319700001,3
98.789002267,4
99.253990929,1
99.718004535,2
100.193990929,3
100.67,4
101.14600907,1
101.610997732,2
102.075011337,3
102.55099773200001,4
103.027006802,1
103.49099773200001,2
103.95600907,3
104.42,4
104.88501133700001,1
105.349002267,2
105.81299319700001,3
106.278004535,4
106.741995464,1
107.218004535,2
107.682993197,3
108.159002267,4
108.62299319700001,1
109.087006802,2
109.551995464,3
110.01600907,4
110.491995464,1
110.968004535,2
111.443990929,1
111.942993197,2
112.38600907,3
112.85600907,4
113.29015873,1
113.770340136,2
114.24219954600001,3
114.687120181,4
115.138004535,1
115.587823129,2
116.034126984,3
116.52244897899999,4
117.02600907,1
117.51600907,2
117.99219954600001,3
118.514285714,4
118.95510204,1
119.454988662,2
119.93099773200001,3
120.40700680200001,4
120.882993197,1
121.35900226700001,2
121.84700680200001,3
122.322993197,4
122.799002267,1
123.27501133700001,2
123.761995464,3
124.238004535,4
124.71399092899999,1
125.19,2
125.655011337,3
126.13099773200001,4
126.607006802,5
127.08299319700001,1
127.55900226700001,2
128.04600907,3
128.51099773200002,4
128.987006802,1
129.45099773200002,2
129.91600907,3
130.391995464,4
130.868004535,1
131.343990929,2
131.82,3
132.30700680200002,4
132.794988662,1
133.259002267,2
133.735011337,3
134.2,4
134.687006802,1
135.151995464,2
135.61600907,3
136.091995464,4
136.568004535,1
137.020997732,2
137.473990929,3
137.95,1
138.413990929,2
138.86700680200002,3
139.33099773200001,1
139.79600907,2
140.27199546399999,3
140.72498866200002,1
141.177006802,2
141.652993197,3
142.129002267,1
142.604988662,2
143.08099773200001,3
143.55700680200002,1
144.032993197,2
144.532993197,3
145.02,4
145.508004535,5
145.983990929,1
146.46,2
146.93600907,3
147.411995464,4
147.89900226700001,5
148.37501133700002,1
148.850997732,2
149.328004535,3
149.81498866200002,4
150.290997732,5
150.767006802,1
151.242993197,2
151.719002267,3
152.207006802,4
152.682993197,5
153.159002267,1
153.64600907,2
154.11099773200002,3
154.58700680200002,4
155.073990929,5
155.55,1
156.014988662,2
156.490997732,3
156.96700680200001,4
157.44299319700002,5
157.919002267,1
158.395011337,2
158.859002267,3
159.335011337,4
159.810997732,5
160.287006802,1
160.76299319700001,2
161.23900226700002,3
161.71501133700002,4
162.190997732,5
162.667006802,1
163.142993197,2
163.619002267,3
164.09498866200002,4
164.570997732,5
165.047006802,1
165.511995464,2
165.97600907,3
166.451995464,4
166.928004535,5
167.392993197,1
167.857006802,2
168.332993197,3
168.797006802,4
169.28498866200002,5
169.76099773200002,1
170.22498866200002,2
