begin,end,chord
0.0,1.9147610000000002,G
1.9147610000000002,3.3699800000000004,B:min
3.3699800000000004,6.519569000000001,E:min7
6.519569000000001,12.848047,C
12.848047,14.425963000000001,G
14.425963000000001,15.92365,B:min/5
15.92365,17.490997,E:min7
17.490997,18.988684,E:min7/b7
18.988684,20.556031,C
20.556031,22.123378,E:min/5
22.123378,25.223242000000003,A:min
25.223242000000003,26.744149,G
26.744149,28.369546000000003,B:min
28.369546000000003,29.925283,E:min7
29.925283,31.44619,E:min7/b7
31.44619,33.059977,C
33.059977,34.592494,F
34.592494,36.148231,E:min
36.148231,37.680748,E:min7/b7
37.680748,39.294534999999996,C
39.294534999999996,40.815442,F
40.815442,42.382789,E:min
42.382789,43.543786,C
43.543786,43.950136,D
43.950136,45.517482,G
45.517482,47.00356,B:min/5
47.00356,50.033764,E:min7/b7
50.033764,51.65916,C
51.65916,53.145238,E:min/5
53.145238,56.349591000000004,A:min
56.349591000000004,57.870498,G
57.870498,59.44945500000001,B:min
59.44945500000001,61.318661999999996,E:min7
61.318661999999996,62.41,E:min7/b7
62.41,64.03539599999999,C
64.03539599999999,65.556303,F
65.556303,67.15848000000001,E:min
67.15848000000001,68.65616700000001,E:min7/b7
68.65616700000001,71.697981,C
71.697981,73.253718,G
73.253718,74.78623499999999,B:min/5
74.78623499999999,76.272312,E:min7
76.272312,77.804829,E:min7/b7
77.804829,79.40700600000001,C
79.40700600000001,80.90469300000001,E:min/5
80.90469300000001,82.87839,A:min
82.87839,83.981337,A:min/5
83.981337,85.537074,G
85.537074,87.023151,B:min
87.023151,88.567278,E:min7
88.567278,90.088185,E:min7/b7
90.088185,91.678752,C
91.678752,93.199659,F
93.199659,94.76700600000001,E:min
94.76700600000001,96.26469300000001,E:min7/b7
96.26469300000001,100.897074,C
100.897074,102.394761,"F#:(1,4,b7)"
102.394761,103.90405799999999,E:min/b3
103.90405799999999,105.436575,A:min(2)
105.436575,106.96909199999999,E:min(*3)/5
106.96909199999999,108.51321899999999,C#:maj7(*b5)
108.51321899999999,110.10378600000001,E:min(*5)/b7
110.10378600000001,111.68274299999999,E:min(*5)
111.68274299999999,113.2617,E:min(*5)
113.2617,135.679973,N
135.679973,145.94378600000002,E
145.94378600000002,148.857891,D
148.857891,150.320748,E
150.320748,151.737165,B
151.737165,153.176802,E
153.176802,156.114126,B
156.114126,160.491088,E
160.491088,163.416802,D
163.416802,164.821609,E
164.821609,166.30768700000002,B
166.30768700000002,167.700884,E
167.700884,169.152131,B
169.152131,172.112675,C
172.112675,174.96873,G
174.96873,177.917664,D
177.917664,180.878208,A
180.878208,183.803922,E
183.803922,186.659977,C
186.659977,189.608911,G
189.608911,192.46496499999998,D
192.46496499999998,195.44873,A
195.44873,196.493628,E:(1)
196.493628,196.876757,D:(1)
196.876757,197.944875,C:(1)
197.944875,198.33961399999998,D:(1)
198.33961399999998,199.872131,G
199.872131,201.323378,B:min/5
201.323378,202.855895,E:min7
202.855895,204.318752,E:min7/b7
204.318752,205.781609,C
205.781609,207.20963700000001,E:min/5
207.20963700000001,209.136893,A:min
209.136893,210.216621,F#:hdim7
210.216621,211.656258,G
211.656258,213.10750499999997,B:min
213.10750499999997,214.616802,E:min7
214.616802,216.06804900000003,E:min7/b7
216.06804900000003,217.55412599999997,C
217.55412599999997,218.99376400000003,F
218.99376400000003,220.49145099999998,E:min
220.49145099999998,221.942698,E:min7/b7
221.942698,224.85680200000002,C
224.85680200000002,226.354489,C
226.354489,227.78251699999998,"F#:(1,4,b5)"
227.78251699999998,229.24537400000003,E:min/b3
229.24537400000003,230.719841,A:min(2)
230.719841,232.136258,E:min(*b3)/5
232.136258,233.564285,C:maj7(*5)
233.564285,234.992312,E:min7(*5)/b7
234.992312,241.33649100000002,"E:(1,2,5,b6)"
241.33649100000002,259.316098,N
259.316098,261.154269,E:(1)
261.154269,303.623671,E
303.623671,306.859617,N
306.859617,333.792653,N
