begin,end,chord
0.0,0.47868999999999995,N
0.47868999999999995,4.32736,F#:min
4.32736,6.242121,A
6.242121,8.195178,E
8.195178,15.102697000000001,F#:min
15.102697000000001,16.913854,F#:min
16.913854,18.67857,F#:minmaj7
18.67857,20.478117,F#:min7
20.478117,22.312493,B
22.312493,24.11204,F#:min
24.11204,25.923196,F#:minmaj7
25.923196,27.745962,F#:min7
27.745962,29.580339000000002,B
29.580339000000002,33.167821999999994,F#:min
33.167821999999994,34.990588,A
34.990588,36.732085,E
36.732085,37.927913000000004,F#:min
37.927913000000004,38.578071,B:min
38.578071,40.296347999999995,F#:min
40.296347999999995,41.248366,F#:min
41.248366,42.072674,B:min
42.072674,43.802561,F#:min
43.802561,46.066507,A
46.066507,48.249182,B
48.249182,50.431858,F#:min
50.431858,52.626144,B
52.626144,54.80882,A
54.80882,56.99149499999999,E
56.99149499999999,63.887822,F#:min
63.887822,65.687368,F#:min
65.687368,67.486915,F#:minmaj7
67.486915,69.286461,F#:min7
69.286461,71.09761800000001,B
71.09761800000001,72.93199399999999,F#:min
72.93199399999999,74.731541,F#:minmaj7
74.731541,76.542697,F#:min7
76.542697,78.330634,B
78.330634,81.929727,F#:min
81.929727,83.752493,A
83.752493,85.5056,E
85.5056,86.480838,F#:min
86.480838,87.305146,B:min
87.305146,89.035033,F#:min
89.035033,90.05671099999999,F#:min
90.05671099999999,90.822969,B:min
90.822969,92.529636,F#:min
92.529636,94.781971,A
94.781971,97.034307,B
97.034307,99.263423,F#:min
99.263423,101.44609799999999,B
101.44609799999999,106.206189,A
106.206189,111.47711899999999,E
111.47711899999999,112.533627,F#:min
112.533627,113.04446599999999,B:min
113.04446599999999,113.98999099999999,F#:min
113.98999099999999,114.62186299999999,B:min
114.62186299999999,115.59839099999999,F#:min
115.59839099999999,116.295259,B:min
116.295259,120.346998,F#
120.346998,125.152653,N
