begin,end,chord
0.0,0.403805,N
0.403805,1.981768,Db
1.981768,3.560725,Db:maj7
3.560725,6.788299,F:min
6.788299,10.050702000000001,Ab:maj6
10.050702000000001,11.652878999999999,Db
11.652878999999999,13.197006,Bb:min
13.197006,16.35492,F:min
16.35492,19.501224,Eb:min7
19.501224,21.925720000000002,Ab
21.925720000000002,23.471836,Ab:7
23.471836,25.062403,Db
25.062403,26.676190000000002,Bb:min
26.676190000000002,29.834103999999996,F:min
29.834103999999996,31.447891,Eb:min7
31.447891,34.617414000000004,Gb:min
34.617414000000004,41.037732,Db
41.037732,44.311746,Ab
44.311746,50.551398,Ab
50.551398,53.715827000000004,Gb
53.715827000000004,56.862131000000005,Db
56.862131000000005,63.24456,Ab
63.24456,66.40391600000001,Gb
66.40391600000001,69.482176,Db
69.482176,71.026303,Db
71.026303,72.55882,Bb:min
72.55882,75.705124,F:min
75.705124,78.897868,Eb:min7
78.897868,80.421672,Ab
80.421672,81.986122,Ab:7
81.986122,83.565079,Db
83.565079,85.120816,Bb:min
85.120816,88.27873000000001,F:min
88.27873000000001,91.436643,Eb:min7
91.436643,94.59090400000001,Ab
94.59090400000001,95.407256,Ab:7
95.407256,101.757913,Db
101.757913,104.973877,Ab
104.973877,111.30131499999999,Ab
111.30131499999999,114.424399,Gb
114.424399,117.52426299999999,Db
117.52426299999999,123.77043,Ab
123.77043,126.916734,Gb
126.916734,129.981768,Db
129.981768,131.549115,Db
131.549115,133.093242,Bb:min
133.093242,136.135056,F:min
136.135056,137.72562299999998,Eb:min7
137.72562299999998,140.790657,Gb:min
140.790657,142.31156399999998,Db
142.31156399999998,143.925351,Bb:min
143.925351,146.990385,F:min
146.990385,150.07863899999998,Eb:min7
150.07863899999998,151.61248999999998,Ab
151.61248999999998,153.201723,Ab:7
153.201723,159.52916000000002,Db
159.52916000000002,162.687074,Ab
162.687074,168.875192,Ab
168.875192,171.963446,Gb
171.963446,175.09814,Db
175.09814,181.286258,Ab
181.286258,184.490612,Gb
184.490612,187.451156,Db
187.451156,222.78416099999998,Db
222.78416099999998,228.571429,N
