begin,end,chord
0.0,0.440395,N
0.440395,0.765904,G:(1)
0.765904,1.0531190000000001,G:(7)
1.0531190000000001,1.446009,G:(6)
1.446009,2.583786,D
2.583786,3.826054,D:7
3.826054,6.415079,G
6.415079,8.934444000000001,G
8.934444000000001,11.465419,C
11.465419,14.054444,G
14.054444,16.608639,D
16.608639,19.151224,G
19.151224,21.740249,C
21.740249,24.317664,D
24.317664,25.606371,G
25.606371,26.068170000000002,G
26.068170000000002,26.921540999999998,N
26.921540999999998,29.530544,D
29.530544,32.096349,G
32.096349,34.673764,D
34.673764,37.216349,G
37.216349,39.816984000000005,D
39.816984000000005,42.394399,G
42.394399,44.983424,A
44.983424,47.560839,D
47.560839,50.173083,G
50.173083,52.71566800000001,C
52.71566800000001,55.30469300000001,G
55.30469300000001,57.89371800000001,D
57.89371800000001,60.436303,G
60.436303,63.071768000000006,C
63.071768000000006,65.672403,D
65.672403,66.98433100000001,G
66.98433100000001,68.249818,G
68.249818,70.83884300000001,D
70.83884300000001,73.393038,G
73.393038,75.958843,D
75.958843,78.513038,G
78.513038,81.090453,G
81.090453,83.656258,C
83.656258,86.303333,G
86.303333,88.892358,D
88.892358,91.527823,G
91.527823,94.09362800000001,C
94.09362800000001,96.694263,D
96.694263,98.384342,G
98.384342,99.29489699999999,N
99.29489699999999,101.883922,D
101.883922,104.507777,G
104.507777,107.08519199999999,D
107.08519199999999,109.69743700000001,G
109.69743700000001,112.240022,D
112.240022,114.852267,G
114.852267,117.44129199999999,A
117.44129199999999,120.065147,D
120.065147,122.654172,G
122.654172,125.219977,C
125.219977,127.78578200000001,G
127.78578200000001,130.386417,D
130.386417,132.99866200000002,G
132.99866200000002,135.610907,C
135.610907,138.21154099999998,D
138.21154099999998,140.823786,G
140.823786,143.447641,D
143.447641,144.80600900000002,G
144.80600900000002,148.508872,G
148.508872,153.182041,N
