begin,end,chord
0.0,0.497838,N
0.497838,3.657165,"E:aug(9,11)"
3.657165,7.755487,C#:min
7.755487,11.923469,E
11.923469,15.952131,C#:min
15.952131,19.945963,F#:min
19.945963,21.966099,A:min
21.966099,25.971541000000002,E
25.971541000000002,30.046643,C#:min
30.046643,34.133356,E
34.133356,38.150408,C#:min
38.150408,42.13263,F#:min
42.13263,44.141156,A:min
44.141156,48.088547999999996,E
48.088547999999996,52.001111,A
52.001111,55.92528299999999,C#:min
55.92528299999999,57.898979000000004,A
57.898979000000004,58.59169,E
58.59169,59.90750500000001,C#:min
59.90750500000001,61.881201000000004,A
61.881201000000004,62.670131000000005,E
62.670131000000005,63.843287,E/5
63.843287,65.886643,E
65.886643,70.008185,C#:min
70.008185,74.118117,E
74.118117,78.14678,C#:min
78.14678,82.175442,F#:min
82.175442,84.149138,A:min
84.149138,88.15458000000001,E
88.15458000000001,92.07875200000001,A
92.07875200000001,96.026145,C#:min
96.026145,97.999841,A
97.999841,98.725083,E
98.725083,99.961927,C#:min
99.961927,101.912403,A
101.912403,102.701882,E
102.701882,103.89770899999999,E/5
103.89770899999999,105.84818500000002,A
105.84818500000002,106.62605400000001,E
106.62605400000001,107.845102,E/5
107.845102,109.876848,E
109.876848,113.94033999999999,C#:min
113.94033999999999,118.10832099999999,E
118.10832099999999,120.304441,C#:min
120.304441,124.551837,N
