begin,end,chord
0.0,0.47868999999999995,N
0.47868999999999995,1.302038,C#:min
1.302038,2.7932770000000002,F#:min
2.7932770000000002,4.2793529999999995,B
4.2793529999999995,5.800261,E
5.800261,7.344386999999999,C#:min
7.344386999999999,8.853684,A
8.853684,10.386202,F#:min
10.386202,11.953548,D
11.953548,13.486066000000001,B
13.486066000000001,14.972142000000002,F#:min
14.972142000000002,16.527879000000002,B
16.527879000000002,18.083616,E
18.083616,19.616132999999998,C#:min
19.616132999999998,21.14865,A
21.14865,22.692777,B
22.692777,25.815860999999998,E
25.815860999999998,27.348378000000004,F#:min
27.348378000000004,28.880895000000002,B
28.880895000000002,30.366971999999997,E
30.366971999999997,31.922709,C#:min
31.922709,33.443616999999996,A
33.443616999999996,35.010964,F#:min
35.010964,36.566701,D
36.566701,38.122438,B
38.122438,39.654955,F#:min
39.654955,41.199082000000004,B
41.199082000000004,42.731598999999996,E
42.731598999999996,44.298946,C#:min
44.298946,45.854683,A
45.854683,47.36398,B
47.36398,50.521894,E
50.521894,52.054411,C#:min
52.054411,53.575318,C:aug
53.575318,56.67518199999999,E
56.67518199999999,58.184479,C#:min
58.184479,59.716995999999995,C:aug
59.716995999999995,62.828469999999996,E
62.828469999999996,65.870283,A:7
65.870283,68.900487,E
68.900487,70.43300500000001,F#:min
70.43300500000001,71.93069200000001,B
71.93069200000001,75.14665600000001,E
75.14665600000001,76.574683,F#:min
76.574683,78.14203,B
78.14203,79.693774,E
79.693774,79.96633100000001,C#:min/4
79.96633100000001,80.501711,C#:min/5
80.501711,81.253504,C#:min
81.253504,82.77441,A
82.77441,84.330148,F#:min
84.330148,85.89749499999999,D
85.89749499999999,87.441622,B
87.441622,88.99735799999999,F#:min
88.99735799999999,90.564704,B
90.564704,92.132051,E
92.132051,93.664568,C#:min
93.664568,95.22030600000001,A
95.22030600000001,96.741212,B
96.741212,99.852686,E
99.852686,101.396814,C#:min
101.396814,102.96415999999999,C:aug
102.96415999999999,106.040805,E
106.040805,107.59654099999999,C#:min
107.59654099999999,109.175498,C:aug
109.175498,112.28697199999999,E
112.28697199999999,115.363616,C#:min
115.363616,118.45187,E
118.45187,121.50529399999999,C#:min
121.50529399999999,125.878101,E
125.878101,129.56734699999998,N
