begin,end,chord
0.0,0.440395,N
0.440395,1.014823,D
1.014823,2.353197,G
2.353197,3.583854,D
3.583854,6.1264389999999995,G
6.1264389999999995,6.788208,C
6.788208,8.715464,D
8.715464,9.980952,G
9.980952,11.223219,D/3
11.223219,12.604807000000001,E:min
12.604807000000001,13.196916,E:min/b7
13.196916,14.415963,G
14.415963,15.669841,D/3
15.669841,16.981768,E:min
16.981768,17.573877,E:min/b7
17.573877,18.781315,A:min
18.781315,19.977142,G
19.977142,21.2078,D/3
21.2078,22.484897,F#:dim/b7
22.484897,23.703945,D
23.703945,24.934603,D/b7
24.934603,26.15365,G/3
26.15365,26.757369,D
26.757369,27.953196999999996,G
27.953196999999996,29.172244,D/3
29.172244,30.472562,E:min
30.472562,31.064671,E:min/b7
31.064671,32.237278,G
32.237278,33.444716,D/3
33.444716,34.698594,E:min
34.698594,35.267482,E:min/b7
35.267482,36.40526,A:min
36.40526,37.612697999999995,G
37.612697999999995,38.820136,D/3
38.820136,40.062403,D:7/2
40.062403,41.258231,D
41.258231,42.454058,D/b7
42.454058,43.661496,G/3
43.661496,44.276825,D
44.276825,45.461043,G
45.461043,46.64526,D/3
46.64526,47.875918,E:min
47.875918,48.479637,E:min/b7
48.479637,49.629024,G
49.629024,50.836462,D/3
50.836462,52.07873,E:min
52.07873,52.682448,E:min/b7
52.682448,53.866666,A:min
53.866666,55.016054000000004,G
55.016054000000004,56.025909999999996,D/3
56.025909999999996,57.372879000000005,D:7/2
57.372879000000005,58.591927,D
58.591927,59.845804,D/b7
59.845804,61.053242000000004,G
61.053242000000004,61.597865000000006,D
61.597865000000006,62.748298999999996,G
62.748298999999996,63.978956000000004,A
63.978956000000004,66.39383199999999,D
66.39383199999999,67.543219,G
67.543219,68.692607,A
68.692607,71.072653,D
71.072653,72.19882,G
72.19882,73.37142800000001,B
73.37142800000001,74.544036,E:min
74.544036,75.705034,G:maj7/5
75.705034,76.889251,C
76.889251,78.061859,D
78.061859,79.23446700000001,G
79.23446700000001,80.407074,G
80.407074,81.614512,D/3
81.614512,82.74068,E:min
82.74068,83.344399,E:min/b7
83.344399,84.493786,G
84.493786,85.678004,D/3
85.678004,86.885442,E:min
86.885442,87.44272099999999,E:min/b7
87.44272099999999,88.58049799999999,A:min
88.58049799999999,89.69505600000001,G
89.69505600000001,90.890884,D/3
90.890884,92.017052,D:7/2
92.017052,93.166439,D
93.166439,94.315827,D/b7
94.315827,95.511655,G
95.511655,96.057324,D
96.057324,97.183492,G
97.183492,98.344489,A
98.344489,100.678095,D
100.678095,101.82748199999999,G
101.82748199999999,103.00009,A
103.00009,105.29886599999999,D
105.29886599999999,106.44825300000001,G
106.44825300000001,107.586031,B
107.586031,108.723809,E:min
108.723809,109.826757,E:min/b7
109.826757,111.022585,C
111.022585,112.183582,D
112.183582,113.30975,G
113.30975,114.482358,G
114.482358,115.63174599999999,D/3
115.63174599999999,116.850793,E:min
116.850793,117.384852,E:min/b7
117.384852,118.55746,G
118.55746,119.71845800000001,D/3
119.71845800000001,120.925895,E:min
120.925895,121.44834399999999,E:min/b7
121.44834399999999,122.586122,A:min
122.586122,123.65423999999999,G
123.65423999999999,124.826848,D/3
124.826848,126.022675,D:7
126.022675,127.11401299999999,D
127.11401299999999,128.33306100000001,D/b7
128.33306100000001,129.459229,G
129.459229,130.02811699999998,D
130.02811699999998,131.177505,G
131.177505,132.338503,A
132.338503,134.683718,D
134.683718,135.83310600000002,G
135.83310600000002,136.924444,A
136.924444,139.234829,D
139.234829,140.360997,G
140.360997,141.487165,B
141.487165,143.762721,E:min
143.762721,144.91210800000002,C
144.91210800000002,146.061496,D
146.061496,147.199274,G
147.199274,148.34866200000002,G
148.34866200000002,149.521269,A
149.521269,151.785215,D
151.785215,152.957823,G
152.957823,154.025941,A
154.025941,156.336326,D
156.336326,157.474104,G
157.474104,158.577052,B
158.577052,159.749659,E:min
159.749659,160.829387,E:min/b7
160.829387,161.967165,C
161.967165,163.104943,D
163.104943,224.75466,G
224.75466,228.310204,N
