begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.213809,N
1.213809,5.137981,F#:min
5.137981,9.224692999999998,E
9.224692999999998,11.244829,F#:min
11.244829,13.276575,C#:min
13.276575,15.343151,F#:min
15.343151,17.398117000000003,C#:min
17.398117000000003,19.476303,F#:min
19.476303,21.577709,C#:min
21.577709,23.621064999999998,A
23.621064999999998,25.676031,B
25.676031,29.878843,E
29.878843,31.968639000000003,F#:min
31.968639000000003,34.000384999999994,C#:min
34.000384999999994,36.101791,F#:min
36.101791,38.203196999999996,C#:min
38.203196999999996,40.292993,F#:min
40.292993,42.359569,C#:min
42.359569,44.484195,A
44.484195,46.57399,B
46.57399,50.800022,E
50.800022,52.94786800000001,C#:min
52.94786800000001,55.07249399999999,B
55.07249399999999,57.15068,C#:min
57.15068,59.286916000000005,G#:min
59.286916000000005,61.330271999999994,C#:min
61.330271999999994,63.42006800000001,G#:min
63.42006800000001,67.64609899999999,B
67.64609899999999,69.805555,F#:min
69.805555,71.930181,C#:min
71.930181,73.99675699999999,F#:min
73.99675699999999,76.109773,C#:min
76.109773,78.234399,F#:min
78.234399,80.347414,C#:min
80.347414,82.47204,A
82.47204,84.58505600000001,B
84.58505600000001,88.787868,E
88.787868,90.958934,G:min
90.958934,92.97907,D:min
92.97907,95.184965,G:min
95.184965,97.286371,D:min
97.286371,99.422607,G:min
99.422607,101.535623,D:min
101.535623,103.68346899999999,Bb
103.68346899999999,105.808095,C
105.808095,110.08056599999999,F
110.08056599999999,112.228412,G:min
112.228412,114.306598,D:min
114.306598,116.454444,G:min
116.454444,118.53263000000001,D:min
118.53263000000001,120.657256,G:min
120.657256,122.73544199999999,D:min
122.73544199999999,124.906507,Bb
124.906507,127.03113300000001,C
127.03113300000001,131.280385,F
131.280385,135.622517,G:min
135.622517,139.813718,F
139.813718,144.12102,G:min
144.12102,147.149392,D
147.149392,151.092245,N
