begin,end,chord
0.0,0.497838,N
0.497838,7.692176,E
7.692176,14.936801999999998,E
14.936801999999998,16.759569,F#:min
16.759569,18.559115,A
18.559115,22.216258,E
22.216258,29.414444,E
29.414444,31.19077,F#:min
31.19077,32.990317,A
32.990317,36.647459999999995,E
36.647459999999995,38.435396000000004,G#:min
38.435396000000004,40.200113,G:aug
40.200113,42.046099,B/5
42.046099,43.834036,F:dim
43.834036,45.645192,E
45.645192,49.255895,F#:min
49.255895,51.090272,B
51.090272,58.300068,E
58.300068,60.099614,F#:min
60.099614,61.887551,A
61.887551,65.53308299999999,E
65.53308299999999,67.33263000000001,G#:min
67.33263000000001,69.132176,G:aug
69.132176,70.966553,B/5
70.966553,72.754489,F:dim
72.754489,74.612086,E
74.612086,78.222789,F#:min
78.222789,80.022335,B
80.022335,80.962743,E
80.962743,81.891541,E/7
81.891541,82.80873000000001,E/6
82.80873000000001,83.702698,E/5
83.702698,87.290181,E
87.290181,89.089727,F#:min
89.089727,90.889274,A
90.889274,94.511587,E
94.511587,101.651723,E
101.651723,103.462879,F#:min
103.462879,105.22759599999999,A
105.22759599999999,108.896349,E
108.896349,114.29498799999999,E
114.29498799999999,117.719931,A/5
117.719931,121.756735,N
