begin,end,chord
0.0,0.708462,N
0.708462,2.96788,D
2.96788,5.189003,B:min
5.189003,7.429272999999999,D
7.429272999999999,9.669544,B:min
9.669544,11.852371,D
11.852371,14.035198999999999,B:min
14.035198999999999,16.275469,D
16.275469,18.534888,B:min
18.534888,20.641125,D
20.641125,22.862248,B:min
22.862248,23.6473,D
23.6473,25.00678,B:min
25.00678,25.88757,E:min
25.88757,27.266198,A
27.266198,29.410731,D
29.410731,31.612706,B:min
31.612706,33.833828999999994,D
33.833828999999994,36.035804,B:min
36.035804,38.276075,D
38.276075,40.420607000000004,B:min
40.420607000000004,42.641729999999995,D
42.641729999999995,44.882001,B:min
44.882001,47.026533,D
47.026533,49.05618,B:min
49.05618,49.93697,D
49.93697,51.315598,B:min
51.315598,52.196388,E:min
52.196388,53.594164,A
53.594164,56.753519999999995,D
56.753519999999995,57.25135699999999,D/2
57.25135699999999,57.7109,D/3
57.7109,66.480506,G
66.480506,73.909779,D
73.909779,74.388469,D/2
74.388469,74.94375,D/3
74.94375,83.502732,G
83.502732,87.753502,E:7
87.753502,91.965977,A
91.965977,94.167952,D
94.167952,96.255042,B:min
96.255042,98.51446,D
98.51446,100.563254,B:min
100.563254,101.55893,D
101.55893,102.995001,B:min
102.995001,103.7992,E:min
103.7992,105.196976,A
105.196976,108.35633200000001,D
108.35633200000001,108.988203,D/2
108.988203,109.56263100000001,D/3
109.56263100000001,118.255647,G
118.255647,125.780658,D
125.780658,126.335939,D/2
126.335939,126.872072,D/3
126.872072,131.16113700000002,G
131.16113700000002,135.54594,G:min
135.54594,139.79670900000002,E:7
139.79670900000002,144.20066,A
144.20066,146.211159,D
146.211159,148.45143000000002,B:min
148.45143000000002,150.61511000000002,D
150.61511000000002,152.83623300000002,B:min
152.83623300000002,153.65958,D
153.65958,155.038208,B:min
155.038208,155.861555,E:min
155.861555,157.240183,A
157.240183,159.480454,D
159.480454,161.624986,B:min
161.624986,163.941847,D
163.941847,165.99064199999998,B:min
165.99064199999998,168.17346899999998,D
168.17346899999998,170.528625,B:min
170.528625,174.530476,D
174.530476,177.580408,N
