begin,end,chord
0.0,0.440395,N
0.440395,1.302038,N
1.302038,2.734716,A
2.734716,4.116303,D
4.116303,5.439841,A
5.439841,6.740158,D
6.740158,8.110136,A
8.110136,9.410453,G
9.410453,10.78043,A
10.78043,12.092358,D
12.092358,13.427504999999998,A
13.427504999999998,14.751043,G
14.751043,16.03975,A
16.03975,17.374897,D
17.374897,21.36873,D
21.36873,22.738707,E
22.738707,24.108684,A
24.108684,25.443832,D
25.443832,26.802198999999998,A
26.802198999999998,28.102517,D
28.102517,29.507324,A
29.507324,30.819251,G
30.819251,32.131178999999996,A
32.131178999999996,33.466326,D
33.466326,34.813083,A
34.813083,36.148231,G
36.148231,37.529818,A
37.529818,38.899795000000005,D
38.899795000000005,42.905238,D
42.905238,44.228775,E
44.228775,45.610362,A
45.610362,46.95712,D
46.95712,48.280657,A
48.280657,49.604195000000004,D
49.604195000000004,51.020612,C
51.020612,52.390589,G
52.390589,53.70251700000001,C
53.70251700000001,55.107324,G
55.107324,56.454081,C
56.454081,57.777618999999994,E
57.777618999999994,59.159206000000005,A
59.159206000000005,60.482743000000006,E
60.482743000000006,61.86433100000001,A
61.86433100000001,63.211088000000004,G
63.211088000000004,64.592675,A
64.592675,65.951043,D
65.951043,67.30941,A
67.30941,68.65616700000001,G
68.65616700000001,70.04936500000001,A
70.04936500000001,71.384512,D
71.384512,75.43639399999999,D
75.43639399999999,76.841201,E
76.841201,78.246009,A
78.246009,79.54632600000001,D
79.54632600000001,80.916303,A
80.916303,82.251451,D
82.251451,83.679478,C
83.679478,85.014625,G
85.014625,86.407823,C
86.407823,87.7778,G
87.7778,89.136167,C
89.136167,90.482925,E
90.482925,91.852902,A
91.852902,93.222879,E
93.222879,94.58124699999999,A
94.58124699999999,95.962834,G
95.962834,97.344421,A
97.344421,98.714399,D
98.714399,100.084376,A
100.084376,101.454353,G
101.454353,102.835941,A
102.835941,104.217528,D
104.217528,108.32746000000002,D
108.32746000000002,109.76709699999999,E
109.76709699999999,111.148684,A
111.148684,112.518662,D
112.518662,113.86541899999999,A
113.86541899999999,115.223786,D
115.223786,116.616984,A
116.616984,117.98696100000001,D
117.98696100000001,123.54038700000001,A
123.54038700000001,128.026122,N
