begin,end,chord
0.0,0.440395,N
0.440395,1.6549880000000001,N
1.6549880000000001,3.117845,B:min
3.117845,4.963832,D
4.963832,8.319115,A
8.319115,9.979341999999999,B:min
9.979341999999999,10.8617,G
10.8617,11.697619,A
11.697619,15.029682000000001,D
15.029682000000001,16.701519,D
16.701519,18.373356,F#:min/5
18.373356,20.080022,B:min
20.080022,21.740249,G:min/b3
21.740249,23.446916,D/5
23.446916,25.083922,A/3
25.083922,26.767369,D
26.767369,28.474035999999998,F#:min/5
28.474035999999998,30.134263,B:min
30.134263,31.806099,G:min/b3
31.806099,33.477936,D/5
33.477936,35.138163,A/3
35.138163,38.528276,D
38.528276,40.084013,B:min
40.084013,41.93,D
41.93,45.320113,A
45.320113,47.00356,B:min
47.00356,47.885918,G
47.885918,48.721835999999996,A
48.721835999999996,52.11195,D
52.11195,53.830226,D
53.830226,55.536893000000006,F#:min/5
55.536893000000006,57.243559999999995,B:min
57.243559999999995,58.915395999999994,G:min/b3
58.915395999999994,60.610453,D/5
60.610453,62.28229,A/3
62.28229,63.977346,D
63.977346,65.68401300000001,F#:min/5
65.68401300000001,67.39068,B:min
67.39068,69.132176,G:min/b3
69.132176,70.79240300000001,D/5
70.79240300000001,72.47585,A/3
72.47585,74.205736,D
74.205736,75.958843,D
75.958843,77.4217,B:min
77.4217,79.337346,D
79.337346,82.68101999999999,A
82.68101999999999,84.387687,B:min
84.387687,85.304875,G
85.304875,86.140793,A
86.140793,89.554126,D
89.554126,90.424875,A:7/5
90.424875,91.284013,B:min/5
91.284013,93.0139,A:7/b7
93.0139,93.849818,A:7/5
93.849818,94.685736,B:min/5
94.685736,95.846734,A:7/b7
95.846734,96.067324,A
96.067324,96.357573,G#
96.357573,97.495351,G
97.495351,97.76238000000001,G
97.76238000000001,98.05263000000001,G#
98.05263000000001,99.178798,A
99.178798,99.480657,A
99.480657,99.782517,G#
99.782517,101.512403,G
101.512403,103.21907,A
103.21907,106.64401299999999,D
106.64401299999999,108.15331,B:min
108.15331,110.057346,D
110.057346,113.51711999999999,A
113.51711999999999,115.247006,B:min
115.247006,116.117755,G
116.117755,116.97689299999999,A
116.97689299999999,118.73,D
118.73,120.413446,D
120.413446,122.131723,G
122.131723,123.82678,A
123.82678,129.016604,D
129.016604,133.407347,N
