begin,end,chord
0.0,0.47868999999999995,N
0.47868999999999995,3.0253229999999998,E
3.0253229999999998,3.5139089999999995,E:maj7
3.5139089999999995,3.9666980000000005,F#:min7
3.9666980000000005,5.708194000000001,G#:min7
5.708194000000001,7.020122,F#:min7
7.020122,7.484521000000001,B:7
7.484521000000001,10.061936,E
10.061936,10.148439,E:maj7
10.503115,11.002344,F#:min7
11.002344,12.743841,G#:min7
12.743841,14.032548,F#:min7
14.032548,14.508557000000001,B:7
14.508557000000001,16.215224,E
16.215224,17.97994,G#
17.97994,21.462934,C#:min
21.462934,23.23926,A
23.23926,25.050417000000003,F#:9
25.050417000000003,25.979215,B
25.979215,26.443614,E:maj7
26.443614,26.931233000000002,F#:min7
26.931233000000002,28.707559000000003,G#:min7
28.707559000000003,29.999371000000004,F#:min7
29.999371000000004,30.483886,B:7
30.483886,33.101875,E
33.101875,33.56053,E:maj7
33.56053,34.024929,F#:min7
34.024929,35.789646000000005,G#:min7
35.789646000000005,37.531141999999996,F#:min7
37.531141999999996,39.307469,E
39.307469,41.083795,G#
41.083795,44.636448,C#:min
44.636448,46.416525,A
46.416525,48.200711,E
48.200711,50.046698,E:aug
50.046698,51.776584,A
51.776584,53.564521,B
53.564521,55.352456999999994,E
55.352456999999994,57.152004000000005,E:aug
57.152004000000005,58.91672,A
58.91672,60.693047,B
60.693047,62.859161,E
62.859161,63.328511999999996,B
63.328511999999996,63.769691,E:maj7
63.769691,64.22248,F#:min7
64.22248,65.917537,G#:min7
65.917537,67.705473,A
67.705473,69.4818,G#:min7
69.4818,71.30456600000001,A:maj7
71.30456600000001,74.02053199999999,E
74.02053199999999,74.46248,E:maj7
74.46248,74.97331899999999,F#:min7
74.97331899999999,76.749646,G#:min7
76.749646,78.09640300000001,F#:min7
78.09640300000001,78.572412,B:7
78.572412,81.265927,E
81.265927,81.718716,E:maj7
81.718716,82.217945,F#:min7
82.217945,83.971051,G#:min7
83.971051,85.341029,F#:min7
85.341029,85.782208,B:7
85.782208,87.581754,E
87.581754,89.334861,G#
89.334861,91.157627,C#:min
91.157627,92.91073399999999,C#:min
92.91073399999999,94.72189,A:min
94.72189,96.49821700000001,F#:9
96.49821700000001,97.445396,B
97.445396,97.949464,E:maj7
97.949464,98.425473,F#:min7
98.425473,100.2018,G#:min7
100.2018,101.966516,A
101.966516,103.800893,G#:min7
103.800893,105.56560900000001,A
105.56560900000001,107.353546,E
107.353546,109.14148200000001,E:aug
109.14148200000001,110.917809,A
110.917809,112.694135,B
112.694135,114.482072,E
114.482072,116.246788,E:aug
116.246788,118.02311499999999,A
118.02311499999999,119.768308,B
119.768308,121.940529,E
121.940529,122.423296,B
122.423296,122.864476,E:maj7
122.864476,123.294045,F#:min7
123.294045,125.047151,G#:min7
125.047151,126.82347800000001,A
126.82347800000001,128.611414,G#:min7
128.611414,130.394376,A:maj7
130.394376,132.210507,E
132.210507,133.998444,A:maj7/5
133.998444,135.77477,E
135.77477,137.585927,A:maj7/5
137.585927,139.243203,B:maj6
139.243203,143.98296299999998,G#:min
143.98296299999998,147.77469399999998,N
