begin,end,chord
0.0,0.456937,N
0.456937,2.651307,G
2.651307,4.752713,E:min
4.752713,6.900558999999999,G
6.900558999999999,9.001965,E:min
9.001965,11.110106,G
11.110106,13.336043,E:min
13.336043,17.581738,C
17.581738,21.854210000000002,G
21.854210000000002,26.115071,C
26.115071,30.271442999999998,G
30.271442999999998,34.578745,E:min
34.578745,38.793167,A:min
38.793167,40.941012,G
40.941012,43.100468,E:min
43.100468,45.201874,C
45.201874,49.485956,D
49.485956,51.657021,G
51.657021,53.74681700000001,E:min
53.74681700000001,55.92949300000001,G
55.92949300000001,58.077339,E:min
58.077339,62.349810999999995,C
62.349810999999995,66.64550200000001,G
66.64550200000001,70.883144,C
70.883144,75.132396,G
75.132396,79.416477,E:min
79.416477,83.596069,A:min
83.596069,85.743915,G
85.743915,87.86854100000001,E:min
87.86854100000001,89.946727,C
89.946727,94.312078,D
94.312078,96.54119399999999,G
96.54119399999999,98.63099,E:min
98.63099,100.778836,G
100.778836,102.926681,E:min
102.926681,105.097747,C
105.097747,107.117883,D
107.117883,109.26572900000001,G
109.26572900000001,111.30908500000001,G
111.30908500000001,113.45693100000001,C
113.45693100000001,115.546727,D
115.546727,119.819198,G
119.819198,124.1265,E:min
124.1265,128.410582,A:min
128.410582,130.60486699999998,G
130.60486699999998,132.752713,E:min
132.752713,134.854119,C
134.854119,137.048405,D
137.048405,139.26591000000002,D
139.26591000000002,141.378926,G
141.378926,143.549992,E:min
143.549992,145.732668,G
145.732668,147.90373400000001,E:min
147.90373400000001,150.051579,G
150.051579,152.211035,E:min
152.211035,158.066939,N
