begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,0.7276090000000001,G
0.7276090000000001,3.049795,G/5
3.049795,5.62721,C/9
5.62721,8.204625,G
8.204625,10.723989999999999,C/5
10.723989999999999,13.243356,G:7
13.243356,15.716281,C/5
15.716281,18.224035999999998,G:7
18.224035999999998,20.685351,C/5
20.685351,23.251155999999998,G
23.251155999999998,25.735691,C/5
25.735691,28.220226,G:7
28.220226,30.712768,G
30.712768,33.166077,F/9
33.166077,34.431564,F
34.431564,35.662222,G
35.662222,38.135146999999996,C
38.135146999999996,40.666121999999994,G
40.666121999999994,43.057777,F/9
43.057777,44.300045000000004,F
44.300045000000004,45.484263,G
45.484263,48.073287,C
48.073287,50.604263,G
50.604263,53.030747999999996,C
53.030747999999996,55.503673,G
55.503673,57.976597999999996,G
57.976597999999996,60.461133,F/9
60.461133,61.761451,F
61.761451,62.992107999999995,G
62.992107999999995,65.383764,C
65.383764,67.89151899999999,G
67.89151899999999,70.283174,F/9
70.283174,71.595102,F
71.595102,72.790929,G
72.790929,75.275464,C
75.275464,77.72516999999999,G
77.72516999999999,80.198095,C
80.198095,82.71746,G
82.71746,85.213605,C
85.213605,86.397823,Bb
86.397823,87.68653,G/3
87.68653,90.113015,C
90.113015,92.574331,G
92.574331,95.05886600000001,C
95.05886600000001,97.52018100000001,G
97.52018100000001,100.004716,C
100.004716,102.489251,G
102.489251,104.985396,C
104.985396,107.493151,G
107.493151,109.97768700000002,C/5
109.97768700000002,112.41578200000001,G
112.41578200000001,117.326802,G
117.326802,118.6039,F
118.6039,119.834557,G
119.834557,122.24943300000001,C
122.24943300000001,127.160453,G
127.160453,128.48398999999998,F
128.48398999999998,129.67981799999998,G
129.67981799999998,132.094693,C
132.094693,134.544399,G
134.544399,137.02893400000002,C
137.02893400000002,139.525079,G
139.525079,141.963174,C
141.963174,143.182222,Bb
143.182222,144.412879,G/3
144.412879,146.874195,C
146.874195,149.35873,G
149.35873,151.820045,C
151.820045,154.22331,G
154.22331,156.719455,C
156.719455,159.18077,G
159.18077,161.595646,C
161.595646,164.022131,G
164.022131,166.39056599999998,C
166.39056599999998,168.747392,G
168.747392,171.115827,C
171.115827,173.495873,G
173.495873,175.806258,C
175.806258,178.762098,G
178.762098,183.771429,N
