begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,1.274255,A
1.274255,2.166234,E
2.166234,3.953211,A
3.953211,5.746892,A
5.746892,7.505864,E
7.505864,9.30541,D:7
9.30541,11.070127000000001,E
11.070127000000001,11.964095,A
11.964095,12.800013,D
12.800013,13.723730999999999,A
13.723730999999999,14.54151,E
14.54151,16.329446,A
16.329446,18.117383,A
18.117383,18.95455,A
18.95455,19.8821,A:7/3
19.8821,21.658426000000002,D
21.658426000000002,23.411533,D
23.411533,24.340331,A
24.340331,25.211079,E
25.211079,26.999015999999997,A
26.999015999999997,28.752121999999996,A
28.752121999999996,30.482009,E
30.482009,32.304775,D:7
32.304775,34.081102,E
34.081102,34.97507,A
34.97507,35.810988,D
35.810988,37.598925,A
37.598925,39.375251,A
39.375251,41.174797999999996,A
41.174797999999996,42.010715999999995,A
42.010715999999995,42.893075,A:7/3
42.893075,44.715841,D
44.715841,46.457338,D
46.457338,47.386136,A
47.386136,48.233664000000005,E
48.233664000000005,49.998381,A
49.998381,51.797927,F#:min7
51.797927,53.551033999999994,B
53.551033999999994,55.374892,D
55.374892,57.057247,E
57.057247,58.90323299999999,A
58.90323299999999,60.679559999999995,E
60.679559999999995,62.432666000000005,D:7
62.432666000000005,64.232213,E
64.232213,65.161011,A
65.161011,66.043369,D
66.043369,67.83130600000001,A
67.83130600000001,69.66568199999999,A
69.66568199999999,71.418789,E
71.418789,73.148676,D:7
73.148676,74.936612,E
74.936612,75.86541,A
75.86541,76.770988,D
76.770988,78.53570500000001,A
78.53570500000001,80.346861,F#:min7
80.346861,82.134798,B
82.134798,83.934344,D
83.934344,85.699061,E
85.699061,87.533437,A
87.533437,89.321374,E
89.321374,91.07448000000001,D:7
91.07448000000001,92.96690699999999,E
92.96690699999999,93.895705,A
93.895705,94.731623,D
94.731623,96.51956,A
96.51956,98.353936,A
98.353936,100.25797299999999,A
100.25797299999999,101.128721,A
101.128721,102.034299,A:7
102.034299,103.880285,D
103.880285,105.679832,D
105.679832,106.59702,A
106.59702,107.456158,E
107.456158,109.278925,A
109.278925,111.032032,A
111.032032,112.854798,E
112.854798,114.71239399999999,D:7
114.71239399999999,116.55838100000001,E
116.55838100000001,117.475569,A
117.475569,118.404367,D
118.404367,120.19230400000001,A
120.19230400000001,122.901657,A
122.901657,127.58204099999999,N
