begin,end,chord
0.0,10.109939,N
10.109939,11.787486,E
11.787486,16.706689,E:7
16.706689,18.420002,A
18.420002,20.046184,D
20.046184,21.722199,C
21.722199,23.417256,D
23.417256,25.112312,A
25.112312,26.760928999999997,D
26.760928999999997,28.432765999999997,C
28.432765999999997,30.127823,D
30.127823,31.799659000000002,A
31.799659000000002,33.471496,C
33.471496,36.80356,D
36.80356,38.730816,A
38.730816,38.928185,D
38.928185,39.148775,D#
39.148775,40.135622999999995,E
40.135622999999995,41.86551,A
41.86551,43.514126,D
43.514126,45.220793,C
45.220793,46.90424,D
46.90424,48.622516999999995,A
48.622516999999995,50.282742999999996,D
50.282742999999996,52.001020000000004,C
52.001020000000004,53.696077,D
53.696077,55.367913,A
55.367913,57.074580000000005,C
57.074580000000005,62.891179,D
62.891179,65.00614,A
65.00614,65.369945,A/2
65.369945,65.81034,A/b3
65.81034,66.21244,A/3
66.21244,69.520476,D
69.520476,71.67993100000001,A
71.67993100000001,72.097891,A/2
72.097891,72.50424,A/b3
72.50424,72.92219899999999,A/3
72.92219899999999,73.781337,D
73.781337,74.582426,A/3
74.582426,75.41834399999999,C
75.41834399999999,76.300702,B
76.300702,77.94931899999999,E
77.94931899999999,79.690816,D
79.690816,81.607119,A
81.607119,81.81774300000001,D
81.81774300000001,82.047514,D#
82.047514,83.03448900000001,E
83.03448900000001,84.717936,A
84.717936,86.436213,D
86.436213,88.108049,C
88.108049,89.826326,D
89.826326,91.498991,A
91.498991,93.17,D
93.17,94.86505600000001,C
94.86505600000001,96.560113,D
96.560113,98.23195,A
98.23195,99.93861600000001,C
99.93861600000001,101.564013,D
101.564013,103.28229,D
103.28229,104.954126,A
104.954126,105.395306,A
105.395306,105.824875,A/2
105.824875,106.208004,A/b3
106.208004,106.62596299999998,A/3
106.62596299999998,110.02768700000001,D
110.02768700000001,112.15231200000001,A
112.15231200000001,112.593492,A/2
112.593492,113.02306100000001,A/b3
113.02306100000001,113.430449,A/3
113.430449,114.27693799999999,D
114.27693799999999,115.147687,A/3
115.147687,115.99521499999999,C
115.99521499999999,116.83113300000001,B
116.83113300000001,118.51458000000001,E
118.51458000000001,120.20963700000001,D
120.20963700000001,122.12528300000001,A
122.12528300000001,122.322653,D
122.322653,122.554852,D#
122.554852,123.58814,E
123.58814,125.294807,A
125.294807,126.97825300000001,D
126.97825300000001,128.67331000000001,C
128.67331000000001,130.403197,D
130.403197,132.07503400000002,A
132.07503400000002,133.77008999999998,D
133.77008999999998,135.47675700000002,C
135.47675700000002,137.218253,D
137.218253,138.91331,A
138.91331,140.619977,C
140.619977,142.315034,D
142.315034,143.97526000000002,D
143.97526000000002,145.890907,A
145.890907,146.115421,D
146.115421,146.320476,D#
146.320476,147.307324,E
147.307324,160.315506,A
160.315506,163.317551,N
