begin,end,chord
0.0,0.5172100000000001,N
0.5172100000000001,2.641836,Bb
2.641836,4.766462000000001,A
4.766462000000001,5.86941,D:min
5.86941,6.9375279999999995,G
6.9375279999999995,8.028866,C:min
8.028866,9.178253,G:aug
9.178253,10.257981,Bb
10.257981,11.337709,D:min
11.337709,13.543605,G
13.543605,15.703060999999998,G:aug
15.703060999999998,16.794399,C:min
16.794399,17.920566,G:aug
17.920566,18.965464,Bb
18.965464,20.068412,D:min
20.068412,22.239478,A
22.239478,23.342426,D:min
23.342426,24.410544,D:min7/b7
24.410544,25.443832,G:min/b3
25.443832,26.50034,A
26.50034,28.624965000000003,D:min
28.624965000000003,29.681472999999997,G:min
29.681472999999997,30.807640999999997,A
30.807640999999997,32.862607000000004,D:min
32.862607000000004,33.907505,G:min
33.907505,34.998843,A
34.998843,36.043741,D:min
36.043741,37.135079,G
37.135079,38.261247,C:min
38.261247,39.340975,G:aug
39.340975,40.420702,Bb
40.420702,41.47721,D:min
41.47721,43.601836,G
43.601836,45.749682,G:aug
45.749682,46.8178,C:min
46.8178,47.804648,G:aug
47.804648,48.930816,Bb
48.930816,49.929274,D:min
49.929274,52.08873,A
52.08873,53.156848,D:min
53.156848,54.20174599999999,D:min7/b7
54.20174599999999,55.258253,G:min/b3
55.258253,56.361201,A
56.361201,58.474217,D:min
58.474217,59.519115,G:min
59.519115,60.575623,A
60.575623,61.759841,D:min
61.759841,62.909229,A:aug/#5
62.909229,64.03539599999999,C
64.03539599999999,65.126734,E:min
65.126734,67.35585,A
67.35585,69.573356,A:aug
69.573356,70.664693,D:min
70.664693,71.767641,A:aug/#5
71.767641,72.870589,C
72.870589,73.90387700000001,E:min
73.90387700000001,76.08655300000001,B
76.08655300000001,77.222316,E:min
77.222316,78.292448,E:min/b3
78.292448,79.347701,A:min/b3
79.347701,80.440294,B
80.440294,81.492233,E:min
81.492233,82.55331,E:min7/b3
82.55331,83.656258,A:min/b3
83.656258,84.712766,B
84.712766,86.883832,E:min
86.883832,89.136167,G
89.136167,90.262335,C:min
90.262335,91.36528299999999,G:aug
91.36528299999999,92.433401,Bb
92.433401,93.513129,D:min
93.513129,95.649365,G
95.649365,97.79720999999999,G:aug
97.79720999999999,98.853718,C:min
98.853718,99.921836,G:aug
99.921836,101.059614,Bb
101.059614,102.092902,D:min
102.092902,104.252358,A
104.252358,105.343696,D:min
105.343696,106.423424,D:min7/b7
106.423424,107.503151,G:min/b3
107.503151,108.51321899999999,A
108.51321899999999,110.661065,D:min
110.661065,111.740793,G:min/b3
111.740793,112.843741,A
112.843741,114.91031699999999,D:min
114.91031699999999,115.966825,G:min/b3
115.966825,117.00011299999998,A
117.00011299999998,118.07984099999999,D:min
118.07984099999999,119.194399,A:aug
119.194399,120.28573600000001,C
120.28573600000001,121.36546399999999,E:min
121.36546399999999,123.57136000000001,A
123.57136000000001,125.695986,A:aug
125.695986,126.787324,D:min
126.787324,127.890272,A:aug
127.890272,128.97,C
128.97,130.072947,E:min
130.072947,132.197573,B
132.197573,133.265691,E:min
133.265691,134.322199,E:min/b3
134.322199,135.401927,A:min/b3
135.401927,136.48165500000002,B
136.48165500000002,138.559841,E:min
138.559841,139.651179,A:min/b3
139.651179,140.71929699999998,B
140.71929699999998,142.901972,E:min
142.901972,143.95848,A:min/b3
143.95848,145.026598,B
145.026598,146.08310600000002,E:min
146.08310600000002,147.186054,E:min7/b7
147.186054,148.289002,A:min/b3
148.289002,149.41517,B
149.41517,154.750994,E:min
154.750994,157.10040800000002,N
