begin,end,chord
0.0,1.8343990000000001,N
1.8343990000000001,8.568185,A:7
8.568185,11.993129,D:7
11.993129,15.441292,A:7
15.441292,18.889454999999998,E:7
18.889454999999998,22.326009,A:7
22.326009,29.175895,A:7
29.175895,32.624058000000005,D:7
32.624058000000005,36.049002,A:7
36.049002,39.531995,E:7
39.531995,43.369339000000004,A:7
43.369339000000004,56.668321,N
56.668321,70.519024,E
70.519024,72.272131,C
72.272131,74.025238,G:7
74.025238,75.720294,C
75.720294,77.519841,G:7
77.519841,79.24972700000001,C
79.24972700000001,81.014444,G:7
81.014444,82.732721,C
82.732721,83.177223,G:7
83.177223,83.626689,G:7/b2
83.626689,84.058013,G:7/2
84.058013,84.485827,G:7/b3
84.485827,86.296984,E/5
86.296984,87.95721,E
87.95721,94.911587,A:7
94.911587,98.39458,D:7
98.39458,101.865963,A:7
101.865963,105.302517,E:7
105.302517,108.72746000000001,A:7
108.72746000000001,111.32809499999999,A
111.32809499999999,112.25689299999999,G:(1)
112.25689299999999,114.81108799999998,A
114.81108799999998,115.658616,G:(1)
115.658616,117.353673,C
117.353673,119.04873,G:7
119.04873,120.80183600000001,C
120.80183600000001,122.554943,G:7
122.554943,124.273219,C
124.273219,126.01471599999999,G:7
126.01471599999999,127.76782299999999,C
127.76782299999999,128.19325700000002,C/5
128.19325700000002,128.614504,G:7/b2
128.614504,129.016604,G:7/2
129.016604,129.46287900000002,G:7/b3
129.46287900000002,131.169546,E/5
131.169546,132.852993,E
132.852993,139.818979,A:7
139.818979,143.336802,D:7
143.336802,146.761746,A:7
146.761746,150.175079,E:7
150.175079,155.095651,A:7
155.095651,162.67810500000002,A
162.67810500000002,162.925714,N
