begin,end,chord
0.0,0.07787000000000001,N
0.07787000000000001,0.762721,G
0.762721,1.366439,A:min7
1.366439,1.981768,G/3
1.981768,4.6056230000000005,G
4.6056230000000005,5.255782,G
5.255782,5.894331,A:min7
5.894331,6.509659,G/3
6.509659,9.110294,G
9.110294,9.748842999999999,C
9.748842999999999,10.410612,C#:dim
10.410612,11.037550999999999,D
11.037550999999999,11.687709,D#:dim
11.687709,12.976417,E:min
12.976417,14.311564,Eb:aug
14.311564,14.938503,D
14.938503,15.565442000000001,C#:dim
15.565442000000001,16.888979,C
16.888979,18.229155,C:min
18.229155,19.466394,G/3
19.466394,20.766712,A:7
20.766712,22.020589,D:sus4(b7)
22.020589,23.274467,G
23.274467,23.901405,C
23.901405,24.598004,G/3
24.598004,25.851882,A:7
25.851882,27.140589000000002,D:sus4(b7)
27.140589000000002,28.429297,G
28.429297,29.067845000000002,G
29.067845000000002,29.718003999999997,A:min7
29.718003999999997,30.344943,G/3
30.344943,32.933968,G
32.933968,33.584126,C
33.584126,34.211065000000005,C#:dim
34.211065000000005,34.872834000000005,D
34.872834000000005,35.499773,D#:dim
35.499773,36.75365,E:min
36.75365,38.077188,Eb:aug
38.077188,38.727346000000004,D
38.727346000000004,39.365895,C#:dim
39.365895,40.631383,C
40.631383,41.9317,C:min
41.9317,43.197188,G/3
43.197188,44.439455,A:7
44.439455,45.670113,D:sus4(b7)
45.670113,46.95882,G
46.95882,47.620109,F
47.620109,48.251979999999996,C/3
48.251979999999996,48.883851,D:min
48.883851,49.496575,C
49.496575,50.779465,Bb
50.779465,52.0556,C
52.0556,52.694148999999996,F
52.694148999999996,53.344308,C/3
53.344308,53.982856999999996,D:min
53.982856999999996,54.685578,C
54.685578,55.898503000000005,Bb
55.898503000000005,57.140769999999996,A:7
57.140769999999996,58.383038,D:sus4(b7)
58.383038,59.00097099999999,G
59.00097099999999,59.673308,A:min7
59.673308,60.301120999999995,G/3
60.301120999999995,62.856894,G
62.856894,63.484706,C
63.484706,64.157044,C#:dim
64.157044,64.76259300000001,D
64.76259300000001,65.434931,D#:dim
65.434931,66.637732,E:min
66.637732,68.004574,Eb:aug
68.004574,68.637682,D
68.637682,69.27079,C#:dim
69.27079,70.558838,C
70.558838,71.792562,C:min
71.792562,73.069659,G/3
73.069659,74.37931999999999,A:7
74.37931999999999,75.623706,D:sus4(b7)
75.623706,76.933585,G
76.933585,77.566693,F
77.566693,78.221633,C/3
78.221633,78.83291,D:min
78.83291,79.46601899999999,C
79.46601899999999,80.685804,Bb
80.685804,81.962902,C
81.962902,82.647891,F
82.647891,83.26321899999999,C/3
83.26321899999999,83.91337800000001,D:min
83.91337800000001,84.51709699999999,C
84.51709699999999,85.782585,Bb
85.782585,87.04807199999999,A:7
87.04807199999999,88.27873000000001,D:sus4(b7)
88.27873000000001,88.905668,G
88.905668,89.532607,A:min7
89.532607,90.113106,G/3
90.113106,101.746303,G
101.746303,102.400145,G
102.400145,103.05022,A:min7
103.05022,103.65034,G/3
103.65034,104.312108,C
104.312108,104.997097,G/3
104.997097,105.67047600000001,G:dim/b3
105.67047600000001,106.93596299999999,D:sus4(b7)
106.93596299999999,107.56290200000001,G
107.56290200000001,108.201451,A:min7
108.201451,108.82838999999998,G/3
108.82838999999998,111.417414,G
111.417414,112.044353,C
112.044353,112.693293,C#:dim
112.693293,113.34823300000001,D
113.34823300000001,113.94838999999999,D#:dim
113.94838999999999,115.179047,E:min
115.179047,116.47936499999999,Eb:aug
116.47936499999999,117.12952299999999,D
117.12952299999999,117.710022,C#:dim
117.710022,118.98711999999999,C
118.98711999999999,120.310657,C:min
120.310657,121.600474,G/3
121.600474,122.841632,A:7
122.841632,124.07229,D:sus4(b7)
124.07229,125.337777,G
125.337777,125.92988600000001,C
125.92988600000001,126.556825,G/3
126.556825,127.82231200000001,A:7
127.82231200000001,129.12263000000002,D:sus4(b7)
129.12263000000002,130.31845800000002,G
130.31845800000002,130.987943,C
130.987943,131.621051,G/3
131.621051,132.919092,A:7
132.919092,134.3239,D:sus4(b7)
134.3239,137.820873,G
137.820873,138.292245,N
