begin,end,chord
0.0,1.6658419999999998,N
1.6658419999999998,22.268672,C
22.268672,24.259614000000003,D#:dim7
24.259614000000003,28.172176,C
28.172176,30.645102,D#:dim7
30.645102,34.662154,C
34.662154,43.543786,D#:dim7
43.543786,48.941294,C
48.941294,68.548448,C
68.548448,70.548594,D#:dim7
70.548594,74.182517,C
74.182517,76.272312,D#:dim7
76.272312,79.826391,C
79.826391,87.6617,D#:dim7
87.6617,110.90296399999998,C
110.90296399999998,112.739251,D#:dim7
112.739251,116.22224399999999,C
116.22224399999999,118.30043,D#:dim7
118.30043,121.71376399999998,C
121.71376399999998,129.120929,D#:dim7
129.120929,133.76521200000002,C
133.76521200000002,231.99245699999997,C
231.99245699999997,236.721633,N
