begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,1.550498,C
1.550498,2.850816,E:min
2.850816,4.197573,A:min
4.197573,5.497891,E:min
5.497891,6.821428,A:min
6.821428,8.133356,D:min
8.133356,9.516363,G
9.516363,14.948412,C:7
14.948412,17.653537,F:7
17.653537,20.393492000000002,C:7
20.393492000000002,21.821519,G
21.821519,24.607913,F:7
24.607913,26.012721,C:7
26.012721,31.539070000000002,C:7
31.539070000000002,34.383514,F:7
34.383514,37.100249,C:7
37.100249,38.493446,G
38.493446,39.979523,F:7
39.979523,41.291451,F:7
41.291451,42.696258,C:7
42.696258,44.101065000000006,E:min
44.101065000000006,45.494263000000004,A:min
45.494263000000004,48.303877,C
48.303877,49.697074,E:min
49.697074,51.078662,A:min
51.078662,52.460249,D:min
52.460249,53.934716,G
53.934716,59.530725,C:7
59.530725,62.32873000000001,F:7
62.32873000000001,65.13834399999999,C:7
65.13834399999999,66.519931,G
66.519931,67.994399,F:7
67.994399,69.352766,F:7
69.352766,70.82723299999999,C:7
70.82723299999999,72.1856,C:7
72.1856,77.75839,C:7
77.75839,80.568004,F:7
80.568004,83.377619,C:7
83.377619,84.805646,G
84.805646,86.222063,F:7
86.222063,87.61525999999999,C:7
87.61525999999999,89.054897,C:7
89.054897,90.378435,E:min
90.378435,91.794852,A:min
91.794852,94.604467,C
94.604467,96.009274,E:min
96.009274,97.41408100000001,A:min
97.41408100000001,98.807278,D:min
98.807278,100.23530600000001,G
100.23530600000001,105.87775500000001,C:7
105.87775500000001,108.722199,F:7
108.722199,111.520204,C:7
111.520204,112.936621,G
112.936621,114.41108799999999,F:7
114.41108799999999,115.80428500000001,F:7
115.80428500000001,117.220702,C:7
117.220702,118.60229,E:min
118.60229,119.925827,A:min
119.925827,121.21453500000001,E:min
121.21453500000001,122.64256200000001,A:min
122.64256200000001,124.000929,D:min
124.000929,125.47539599999999,G
125.47539599999999,130.16546100000002,C:7
130.16546100000002,134.948571,N
