begin,end,chord
0.0,1.620158,C
1.620158,4.4762129999999996,C
4.4762129999999996,10.234761,G
10.234761,13.055986,C
13.055986,15.8656,C
15.8656,18.768095000000002,G
18.768095000000002,21.635759,G
21.635759,23.110226,C
23.110226,24.491814,C:maj7/7
24.491814,27.371088,A:min
27.371088,28.427596,D:min9
28.427596,30.261971999999997,D:min
30.261971999999997,33.059977,G:7
33.059977,34.058434999999996,C:sus4
34.058434999999996,35.892811,C
35.892811,38.714036,F
38.714036,39.770544,B:dim
39.770544,41.52365,E:7
41.52365,44.414535,A:min
44.414535,47.375079,A:min7
47.375079,48.338707,D:min9
48.338707,50.219522999999995,D:min
50.219522999999995,53.00591800000001,G:7
53.00591800000001,54.132086,C:sus4
54.132086,55.827142,C
55.827142,58.706417,F
58.706417,59.704875,B:dim
59.704875,61.516031000000005,E:7
61.516031000000005,64.476575,A:min
64.476575,65.216764,G
65.216764,66.901753,C/5
66.901753,67.2978,G
67.2978,70.099405,C
70.099405,75.761473,G
75.761473,78.524648,C
78.524648,81.35748199999999,C
81.35748199999999,84.167097,G
84.167097,86.999931,G
86.999931,88.126099,C
88.126099,89.855986,G/3
89.855986,92.607551,A
92.607551,93.687278,C
93.687278,95.417165,G/3
95.417165,96.888163,A
