begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,7.639897,Bb
7.639897,14.977403,Bb
14.977403,18.646156,Eb:7
18.646156,22.338129000000002,Bb
22.338129000000002,24.184115,F:9
24.184115,26.041712,Eb:9
26.041712,27.910918,Bb
27.910918,29.780124,F
29.780124,37.10602,Bb
37.10602,40.797993,Eb:7
40.797993,44.466746,Bb
44.466746,46.324342,F:9
46.324342,48.170328000000005,Eb:9
48.170328000000005,49.981485,Bb
49.981485,51.839081,Bb:7
51.839081,55.589104000000006,Eb
55.589104000000006,59.292687,Bb
59.292687,63.042708999999995,Eb
63.042708999999995,66.73468199999999,F
66.73468199999999,74.118628,Bb
74.118628,77.85704,Eb:7
77.85704,81.52579300000001,Bb
81.52579300000001,83.395,F:9
83.395,85.252596,Eb:9
85.252596,87.110192,Bb
87.110192,88.944569,Bb:7
88.944569,92.659761,Eb
92.659761,96.363344,Bb
96.363344,100.11336700000001,Eb
100.11336700000001,103.79373000000001,F
103.79373000000001,111.224115,Bb
111.224115,114.92769799999999,Eb:7
114.92769799999999,118.64289099999999,Bb
118.64289099999999,120.512097,F:9
120.512097,122.369693,Eb:9
122.369693,124.53606299999998,Bb
124.53606299999998,126.05005600000001,F
126.05005600000001,137.230929,Bb
137.230929,139.011657,Eb
139.011657,139.773049,Eb:min
139.773049,146.49469399999998,N
