begin,end,chord
0.0,1.172266,N
1.172266,12.585238,D:min
12.585238,24.369365,D:min
24.369365,30.209183000000003,A
30.209183000000003,34.603995,G:7
34.603995,36.037392,N
36.037392,47.41517,D:min
47.41517,59.141247,D:min
59.141247,64.96945500000001,A
64.96945500000001,70.712128,G:7
70.712128,72.9339,B:min
72.9339,73.618888,A
73.618888,75.058526,G
75.058526,76.521383,A
76.521383,87.92238,D:min
87.92238,99.567188,D:min
99.567188,105.41861599999999,A
105.41861599999999,111.258435,G:7
111.258435,113.406281,B:min
113.406281,114.11448899999999,A
114.11448899999999,115.57734599999999,G
115.57734599999999,117.075034,A
117.075034,122.63621299999998,D:min
122.63621299999998,134.22297,D:min
134.22297,145.751678,A
145.751678,151.521836,D:min
151.521836,163.317573,D:min
163.317573,169.18061200000002,A
169.18061200000002,175.02043,G:7
175.02043,177.179886,B:min
177.179886,177.922925,A
177.922925,179.36256200000003,G
179.36256200000003,180.860249,A
180.860249,192.27285700000002,D:min
192.27285700000002,256.27589,D:min
256.27589,260.649796,N
