begin,end,chord
0.0,0.43295200000000006,N
0.43295200000000006,1.950498,G
1.950498,3.4714050000000003,A:min
3.4714050000000003,5.038752,F
5.038752,6.582878999999999,G
6.582878999999999,8.080566000000001,E:min
8.080566000000001,9.647913,A
9.647913,11.25009,F
11.25009,12.875487,E:min
12.875487,14.419614000000001,Eb:aug
14.419614000000001,15.998570999999998,G/5
15.998570999999998,17.519478,C#:hdim7
17.519478,19.005554999999998,C:7
19.005554999999998,20.642561999999998,G
20.642561999999998,22.244739000000003,E:min
22.244739000000003,23.777256,Eb:aug
23.777256,25.286553,G/5
25.286553,26.88873,C#:hdim7
26.88873,28.398027000000003,C:7
28.398027000000003,29.942154,G
29.942154,31.486280999999998,A:min
31.486280999999998,33.053628,F
33.053628,34.586145,G
34.586145,36.118662,E:min
36.118662,37.662789000000004,A
37.662789000000004,39.230136,F
39.230136,40.762653,G
40.762653,42.306779999999996,E:min
42.306779999999996,43.839296999999995,Eb:aug
43.839296999999995,45.360203999999996,G/5
45.360203999999996,46.927551,C#:hdim7
46.927551,48.460068,C:7
48.460068,50.004195,G
50.004195,51.606371,E:min
51.606371,53.127278000000004,Eb:aug
53.127278000000004,54.729455,G/5
54.729455,56.238752000000005,C#:hdim7
56.238752000000005,57.782879,C:7
57.782879,59.350226,G
59.350226,60.87113299999999,A:min
60.87113299999999,62.45009,F
62.45009,64.02904699999999,G
64.02904699999999,65.549954,E:min
65.549954,67.094081,A
67.094081,68.64981800000001,F
68.64981800000001,70.263605,G
70.263605,71.877392,E:min
71.877392,73.456349,Eb:aug
73.456349,75.058526,G/5
75.058526,76.64909200000001,C#:hdim7
76.64909200000001,78.21643900000001,C:7
78.21643900000001,79.772176,G
79.772176,81.35113299999999,E:min
81.35113299999999,82.9417,Eb:aug
82.9417,84.601927,G/5
84.601927,86.238934,C#:hdim7
86.238934,87.713401,C:7
87.713401,89.245918,G
89.245918,90.848095,A:min
90.848095,92.450272,F
92.450272,93.994399,G
93.994399,95.60818499999999,E:min
95.60818499999999,97.17553199999999,A
97.17553199999999,98.766099,F
98.766099,100.368276,G
100.368276,102.00528299999999,E:min
102.00528299999999,103.59585,Eb:aug
103.59585,105.18641699999999,G/5
105.18641699999999,106.81181399999998,C#:hdim7
106.81181399999998,108.34433100000001,C:7
108.34433100000001,109.95811699999999,G
109.95811699999999,111.583514,E:min
111.583514,113.20891100000001,Eb:aug
113.20891100000001,114.857528,G/5
114.857528,116.47131499999999,C#:hdim7
116.47131499999999,118.015442,C:7
118.015442,119.64083899999999,G
119.64083899999999,121.21979499999999,A:min
121.21979499999999,122.79875200000001,F
122.79875200000001,124.37770900000001,G
124.37770900000001,125.956666,E:min
125.956666,127.512403,A
127.512403,129.10297,F
129.10297,130.67031699999998,G
130.67031699999998,132.168004,A:min
132.168004,133.793401,F
133.793401,135.337528,G
135.337528,136.939705,E:min
136.939705,138.495442,A
138.495442,140.09761899999998,F
140.09761899999998,141.664965,G
141.664965,143.185873,A:min
143.185873,144.788049,F
144.788049,146.34378600000002,G
146.34378600000002,147.922743,E:min
147.922743,149.49008999999998,A
149.49008999999998,151.05743700000002,F
151.05743700000002,154.762698,E:min
154.762698,181.890612,F:min
