begin,end,chord
0.0,1.747868,N
1.747868,3.373265,D
3.373265,5.021882,C/9
5.021882,6.612448,G/5
6.612448,8.226235,A/4
8.226235,11.500249,C/9
11.500249,13.148866,D/5
13.148866,14.820251,D/b7
14.820251,16.434489000000003,G:maj7/3
16.434489000000003,18.094716000000002,G:minmaj7/b3
18.094716000000002,19.685283,D/5
19.685283,21.357120000000002,D:7
21.357120000000002,23.028956,G:maj7/3
23.028956,24.654353,G:minmaj7/5
24.654353,26.24492,D/5
26.24492,27.881927,D:7
27.881927,29.525616999999997,G:maj7/3
29.525616999999997,31.132721000000004,G:minmaj7/5
31.132721000000004,32.792947,D/5
32.792947,34.429953999999995,D:7
34.429953999999995,36.090181,G:maj7/3
36.090181,37.762018,G:minmaj7/5
37.762018,39.326077000000005,D/5
39.326077000000005,40.885102,D:7
40.885102,42.406009000000005,G:maj7/3
42.406009000000005,44.077084,G:minmaj7/5
44.077084,45.703241999999996,D/5
45.703241999999996,47.317029,D/b7
47.317029,48.930816,G:maj7/3
48.930816,50.575235,G:minmaj7/b3
50.575235,52.193219,D/5
52.193219,53.783786,D/b7
53.783786,55.397573,C
55.397573,57.012083,G
57.012083,58.683197,D
58.683197,60.285374,D/b7
60.285374,61.93399,G:maj7/3
61.93399,63.547777,G:minmaj7/b3
63.547777,65.14995400000001,D/5
65.14995400000001,66.728911,D/b7
66.728911,68.337824,G:maj7/3
68.337824,69.910045,G:minmaj7/b3
69.910045,71.49718,D/5
71.49718,73.044739,D/b7
73.044739,74.635306,G:maj7/3
74.635306,76.19104300000001,G:minmaj7/b3
76.19104300000001,77.781609,D/5
77.781609,79.418616,D/b7
79.418616,81.009183,G:maj7/3
81.009183,82.64109,G:minmaj7/b3
82.64109,84.19031700000001,D/5
84.19031700000001,85.800446,D/b7
85.800446,87.34823100000001,G:maj7/3
87.34823100000001,88.892358,G:minmaj7/b3
88.892358,90.459705,D
90.459705,92.073492,D/b7
92.073492,93.687278,G:maj7/3
93.687278,95.30106500000001,G:minmaj7/b3
95.30106500000001,98.470589,D
98.470589,100.095986,C
100.095986,101.686553,G
101.686553,108.16492,D
108.16492,114.527188,D
114.527188,120.773356,D
120.773356,122.391531,F
122.391531,123.908049,G#
123.908049,125.46378600000001,G
125.46378600000001,127.12401299999999,D
127.12401299999999,128.710242,D/b7
128.710242,130.328367,G:maj7/3
130.328367,131.930544,G:minmaj7/b3
131.930544,133.544331,D/5
133.544331,135.181337,D/b7
135.181337,136.771387,G:maj7/3
136.771387,138.37408100000002,G:minmaj7/b3
138.37408100000002,139.96903799999998,D/5
139.96903799999998,141.549355,D/b7
141.549355,143.18061200000002,G:maj7/3
143.18061200000002,144.736793,G:minmaj7/b3
144.736793,146.36434,D/5
146.36434,147.93444399999998,D/b7
147.93444399999998,149.504548,G:maj7/3
149.504548,151.07465200000001,G:minmaj7/b3
151.07465200000001,152.642743,D/5
152.642743,154.23400800000002,D/b7
154.23400800000002,155.804112,G:maj7/3
155.804112,157.356394,G:minmaj7/b3
157.356394,158.925173,D
158.925173,160.437834,D/b7
160.437834,162.065381,G:maj7/3
162.065381,163.614172,G:minmaj7/b3
163.614172,166.783696,D
166.783696,168.420702,C
168.420702,169.976439,G
169.976439,171.543449,D
171.543449,173.041473,D/b7
173.041473,174.527551,G:maj7/3
174.527551,175.978798,G:minmaj7/b3
175.978798,177.464875,D
177.464875,178.904512,D/b7
178.904512,180.367369,G:maj7/3
180.367369,181.772176,G:minmaj7/b3
181.772176,183.223424,D
183.223424,184.639841,D/b7
184.639841,186.03303799999998,G:maj7/3
186.03303799999998,187.507505,G:minmaj7/b3
187.507505,188.935532,D
188.935532,190.444829,D/b7
190.444829,191.80319699999998,G:maj7/3
191.80319699999998,193.231224,G:minmaj7/b3
193.231224,194.694081,D
194.694081,196.087278,D/b7
196.087278,197.561746,G:maj7/3
197.561746,198.966553,G:minmaj7/b3
198.966553,201.845827,D
201.845827,204.736712,D/b7
204.736712,207.523106,G:maj7/3
207.523106,210.393952,G:minmaj7/b3
210.393952,213.246825,D
213.246825,214.74451200000001,C
214.74451200000001,216.311859,G
216.311859,219.539433,D
219.539433,221.08356,D
221.08356,222.685736,D:sus4(9)
222.685736,224.334353,D
224.334353,226.05263,C/9
226.05263,227.70124700000002,G/5
227.70124700000002,229.465963,A/4
229.465963,233.064724,C/9
233.064724,234.711418,D
234.711418,236.38204100000002,N
