begin,end,chord
0.0,0.45954300000000003,N
0.45954300000000003,1.187152,N
1.187152,3.142662,A:min
3.142662,5.069918,D
5.069918,7.043614999999999,G
7.043614999999999,9.133411,G
9.133411,11.095497,A:min
11.095497,13.080803,D
13.080803,15.019668,G
15.019668,16.993365,G
16.993365,18.96706,A:min
18.96706,20.940758,D
20.940758,22.879624,G
22.879624,23.460123,G
23.460123,23.936132,G
23.936132,24.400531,A:min
24.400531,24.911369,G/3
24.911369,26.885065,C
26.885065,28.847151,C:min
28.847151,30.797628000000003,G
30.797628000000003,31.296857,G
31.296857,31.761256,G
31.761256,32.248874,A:min
32.248874,32.748103,G/3
32.748103,34.733411,C
34.733411,36.718716,C:min
36.718716,38.727243,A
38.727243,40.700939,D
40.700939,42.744294000000004,D
42.744294000000004,44.706379999999996,A:min
44.706379999999996,46.703296,D
46.703296,50.673908000000004,G
50.673908000000004,52.647605000000006,A:min
52.647605000000006,54.609691000000005,D
54.609691000000005,56.571777000000004,G
56.571777000000004,57.082617000000006,G
57.082617000000006,57.581846,G
57.581846,58.04624499999999,A:min
58.04624499999999,58.557083999999996,G/3
58.557083999999996,60.554,C
60.554,62.562526,C:min
62.562526,64.547832,G
64.547832,65.05867099999999,G
65.05867099999999,65.53468000000001,G
65.53468000000001,66.010689,A:min
66.010689,66.521528,G/3
66.521528,68.530055,C
68.530055,70.53858100000001,C:min
70.53858100000001,72.523887,A
72.523887,74.509192,D
74.509192,76.540939,D
76.540939,78.52624499999999,A:min
78.52624499999999,80.53477099999999,D
80.53477099999999,84.447333,G
84.447333,86.479079,A:min
86.479079,88.452776,D
88.452776,90.403252,G
90.403252,90.98375,G
90.98375,91.42493,G
91.42493,91.90093900000001,A:min
91.90093900000001,92.40016800000001,G/3
92.40016800000001,94.431914,C
94.431914,96.41722,C:min
96.41722,98.42574599999999,G
98.42574599999999,98.913365,G
98.913365,99.400984,G
99.400984,99.888603,A:min
99.888603,100.376221,G/3
100.376221,102.384748,C
102.384748,104.37005500000001,C:min
104.37005500000001,106.36697099999999,A
106.36697099999999,108.34066599999998,D
108.34066599999998,110.372413,D
110.372413,112.38093799999999,A:min
112.38093799999999,114.343024,D
114.343024,116.30511000000001,G
116.30511000000001,118.267196,G
118.267196,120.275723,A:min
120.275723,122.23780900000001,D
122.23780900000001,124.199896,G
124.199896,126.19681200000001,G
126.19681200000001,128.158897,A:min
128.158897,130.155813,D
130.155813,132.117899,G
132.117899,134.068376,G
134.068376,136.076902,A:min
136.076902,138.027378,D
138.027378,140.001074,G
140.001074,140.524319,G
140.524319,141.03436200000002,D
141.03436200000002,143.932593,G:maj6(9)
143.932593,147.670204,N
