begin,end,chord
0.0,2.572176,N
2.572176,3.779614,F:7
3.779614,4.9173919999999995,Bb
4.9173919999999995,6.09,C
6.09,7.239387,Bb
7.239387,8.400385,F:7
8.400385,9.538163,Bb
9.538163,10.641111,C
10.641111,11.848548,Bb
11.848548,13.009546,F:7
13.009546,14.205373999999999,Bb
14.205373999999999,15.354760999999998,C
15.354760999999998,16.504148999999998,Bb
16.504148999999998,17.641927,F:7
17.641927,18.779705,Bb
18.779705,19.905873,C
19.905873,21.07848,Bb
21.07848,22.227868,F:7
22.227868,23.412086,Bb
23.412086,24.549863000000002,C
24.549863000000002,25.757301000000002,Bb
25.757301000000002,26.929909000000002,F:7
26.929909000000002,28.090907,Bb
28.090907,29.205464000000003,C
29.205464000000003,30.378071999999996,Bb
30.378071999999996,31.504240000000003,F:7
31.504240000000003,32.618798,Bb
32.618798,33.744965,C
33.744965,34.929183,Bb
34.929183,36.043741,F:7
36.043741,37.169909000000004,Bb
37.169909000000004,38.296077000000004,C
38.296077000000004,39.433854,Bb
39.433854,40.571632,F:7
40.571632,41.72102,Bb
41.72102,42.870408000000005,C
42.870408000000005,43.961746000000005,Bb
43.961746000000005,45.122743,F:7
45.122743,46.330181,Bb
46.330181,47.421519,C
47.421519,48.768966,Bb
48.768966,50.02449,N
