begin,end,chord
0.0,1.230589,N
1.230589,3.6802940000000004,N
3.6802940000000004,5.0502720000000005,G
5.0502720000000005,9.230853,N
9.230853,10.611450999999999,G
10.611450999999999,12.004648,D
12.004648,14.849092,A
14.849092,16.24229,G
16.24229,17.670317,D
17.670317,20.503151000000003,A
20.503151000000003,26.56356,A
26.56356,29.605373999999998,F#:min
29.605373999999998,31.045011,B:min
31.045011,34.237755,G
34.237755,35.758662,B:min
35.758662,37.337619000000004,G
37.337619000000004,40.507142,E
40.507142,46.81136,A
46.81136,50.004104,F#:min
50.004104,51.397301,B:min
51.397301,54.613265000000006,G
54.613265000000006,56.134172,B:min
56.134172,57.713129,G
57.713129,60.731722999999995,E
60.731722999999995,62.26424,G
62.26424,63.819977,D
63.819977,66.710861,A
66.710861,68.115668,G
68.115668,69.624965,D
69.624965,74.696536,A
74.696536,76.285788,N
76.285788,82.52365,A
82.52365,85.60029399999999,F#:min
85.60029399999999,87.121201,B:min
87.121201,90.290725,G
90.290725,91.82324200000001,B:min
91.82324200000001,93.413809,G
93.413809,96.513673,E
96.513673,102.82950100000001,A
102.82950100000001,105.940975,F#:min
105.940975,107.437246,B:min
107.437246,110.608185,G
110.608185,112.175532,B:min
112.175532,113.71965900000001,G
113.71965900000001,116.74986299999999,E
116.74986299999999,118.29399,G
118.29399,119.872947,D
119.872947,122.76383200000001,A
122.76383200000001,124.19185900000001,G
124.19185900000001,125.67793600000002,D
125.67793600000002,132.21435300000002,A
132.21435300000002,138.286371,A
138.286371,141.374625,F#:min
141.374625,142.895532,B:min
142.895532,145.972176,G
145.972176,147.46986299999998,B:min
147.46986299999998,148.968415,G
148.968415,151.974535,E
151.974535,158.127823,A
158.127823,161.262517,F#:min
161.262517,162.783424,B:min
162.783424,165.88328700000002,G
165.88328700000002,167.404195,B:min
167.404195,168.994761,G
168.994761,172.071405,E
172.071405,178.375623,A
178.375623,181.661247,F#:min
181.661247,183.166049,B:min
183.166049,186.386507,G
186.386507,187.930634,B:min
187.930634,189.599646,G
189.599646,192.621065,E
192.621065,194.176802,G
194.176802,195.744149,D
195.744149,198.716303,A
198.716303,200.15594099999998,G
200.15594099999998,201.642018,D
201.642018,206.700168,A
206.700168,208.190045,N
208.190045,209.641292,G
209.641292,211.057709,D
211.057709,213.97181400000002,A
213.97181400000002,215.423061,G
215.423061,216.82786800000002,D
216.82786800000002,219.74197200000003,A
219.74197200000003,225.866927,A
225.866927,234.814694,N
