begin,end,chord
0.0,0.497838,N
0.497838,3.5040129999999996,E:min
3.5040129999999996,4.586464,A:min
4.586464,6.989730000000001,E:min
6.989730000000001,9.985104,G
9.985104,11.277942999999999,F
11.277942999999999,14.954173999999998,B
14.954173999999998,15.952632999999999,E
15.952632999999999,16.463472,G#:min
16.463472,16.93948,G:min
16.93948,17.856669,F#:min
17.856669,18.831908,B
18.831908,19.795536,E
19.795536,20.306375,G#:min
20.306375,20.805604000000002,G:min
20.805604000000002,21.769232000000002,F#:min
21.769232000000002,22.732860000000002,B
22.732860000000002,23.684877,E
23.684877,24.160887,G#:min
24.160887,24.636895000000003,G:min
24.636895000000003,25.623744,F#:min
25.623744,26.540933000000003,C:min6
26.540933000000003,27.49295,E
27.49295,27.992178999999997,G#:min
27.992178999999997,28.479798,G:min
28.479798,29.455036,F#:min
29.455036,30.453494,B:7
30.453494,31.393902,E
31.393902,31.869912,G#:min
31.869912,32.35753,G:min
32.35753,33.344378000000006,F#:min
33.344378000000006,34.308006,B
34.308006,36.246873,A
36.246873,38.139299,B
38.139299,40.008506,C#:min
40.008506,41.041794,F#:min
41.041794,41.982202,B
41.982202,42.93422,E
42.93422,43.44506,G#:min
43.44506,43.932678,G
43.932678,44.873087,F#:min
44.873087,45.836715000000005,B
45.836715000000005,46.753902000000004,E
46.753902000000004,47.241521,G#:min
47.241521,47.729141,G:min
47.729141,48.704378000000005,F#:min
48.704378000000005,49.656397,B
49.656397,50.666464000000005,E
50.666464000000005,51.119254999999995,G#:min
51.119254999999995,51.606873,G:min
51.606873,52.593722,F#:min
52.593722,53.52251999999999,C:min6
53.52251999999999,54.49775699999999,E
54.49775699999999,54.985377,G#:min
54.985377,55.461385,G:min
55.461385,56.448234,F#:min
56.448234,57.411862,B
57.411862,58.35226899999999,E
58.35226899999999,58.828279,G#:min
58.828279,59.327507999999995,G:min
59.327507999999995,60.302747,F#:min
60.302747,61.289593999999994,B
61.289593999999994,63.24007099999999,A
63.24007099999999,65.14410600000001,B
65.14410600000001,67.071362,C#:min
67.071362,68.046601,F#:min
68.046601,69.02184,B
69.02184,69.98451899999999,A
69.98451899999999,70.97231500000001,F#:min
70.97231500000001,71.912724,C#:min
71.912724,72.841522,B:min
72.841522,73.81675899999999,A
73.81675899999999,74.780387,F#:min
74.780387,75.72079599999999,C#:min
75.72079599999999,76.672814,B:min
76.672814,78.62329,F#:min
78.62329,80.46927600000001,B
80.46927600000001,81.43290400000001,E
81.43290400000001,81.920523,G#:min
81.920523,82.40814300000001,G:min
82.40814300000001,83.360161,F#:min
83.360161,84.31218,B:7
84.31218,85.264197,E
85.264197,85.716986,G#:min
85.716986,86.239436,G:min
86.239436,87.214673,F#:min
87.214673,88.166692,B
88.166692,89.107099,E
89.107099,89.583108,G#:min
89.583108,90.059119,G:min
90.059119,91.034356,F#:min
91.034356,92.00959399999999,C:min6
92.00959399999999,92.93839200000001,E
92.93839200000001,93.414402,G#:min
93.414402,93.89041,G:min
93.89041,94.888868,F#:min
94.888868,95.840887,B
95.840887,96.82773399999999,E
96.82773399999999,97.280523,G#:min
97.280523,97.76814300000001,G:min
97.76814300000001,98.754991,F#:min
98.754991,99.753449,B
99.753449,101.715535,A
101.715535,103.619571,B
103.619571,105.54682700000001,C#:min
105.54682700000001,106.51045500000001,F#:min
106.51045500000001,107.497303,B
107.497303,109.42456100000001,C#:min
109.42456100000001,110.38818899999998,F#:min
110.38818899999998,111.34020600000001,B
111.34020600000001,113.302292,C#:min
113.302292,114.25431,F#:min
114.25431,115.26437800000001,B
115.26437800000001,119.35346899999999,N
