begin,end,chord
0.0,0.42124700000000004,N
0.42124700000000004,6.148048999999999,A
6.148048999999999,17.699977,A
17.699977,26.48873,F#
26.48873,27.986417,E
27.986417,29.426053999999997,F#
29.426053999999997,32.328548,B
32.328548,43.984965,A
43.984965,52.727278000000005,F#
52.727278000000005,54.178526,E
54.178526,55.629773,F#
55.629773,58.625147,B
58.625147,61.620521,B
61.620521,63.091379,E/5
63.091379,64.604285,B
64.604285,67.541609,B
67.541609,70.44410400000001,E/5
70.44410400000001,85.165555,A
85.165555,93.965918,F#
93.965918,95.347505,E
95.347505,96.821972,F#
96.821972,99.794126,B
99.794126,102.784377,B
102.784377,104.298798,E/5
104.298798,105.819705,B
105.819705,108.757029,B
108.757029,111.76401299999999,E/5
111.76401299999999,126.469972,A
126.469972,129.38040900000001,F#
129.38040900000001,130.108018,B
130.108018,130.58670800000002,E/5
130.58670800000002,131.81215500000002,B
131.81215500000002,135.20979599999998,N
