begin,end,chord
0.0,0.536133,N
0.536133,3.3957300000000004,D
3.3957300000000004,6.193734,E:min
6.193734,7.598542,B:min
7.598542,9.038179,A
9.038179,10.454596,G
10.454596,11.871013,E
11.871013,13.32226,B:min
13.32226,14.692238,A
14.692238,17.548292,G
17.548292,18.964709,E:min
18.964709,20.381127,A
20.381127,21.820764,E:min
21.820764,23.202351,E:min
23.202351,24.618768,B:min
24.618768,26.046796,A
26.046796,27.428383,G
27.428383,28.856409999999997,E
28.856409999999997,30.237996999999996,B:min
30.237996999999996,31.642805,A
31.642805,33.036002,G
33.036002,34.487249,G
34.487249,35.880446,E:min
35.880446,37.262034,A
37.262034,38.655231,E:min
38.655231,40.083258,E:min
40.083258,42.858043,D
42.858043,45.621217,E:min
45.621217,48.407612,D
48.407612,51.217226000000004,E:min
51.217226000000004,54.026841000000005,B:min
54.026841000000005,56.848065000000005,A:min
56.848065000000005,59.61124,C
59.61124,61.062487,E:min
61.062487,62.444074,E:min
62.444074,63.860492,B:min
63.860492,65.265299,A
65.265299,66.635276,G
66.635276,68.051694,E
68.051694,69.43328100000001,B:min
69.43328100000001,70.884528,A
70.884528,72.24289499999999,G
72.24289499999999,73.717362,G
73.717362,75.13378,E:min
75.13378,76.53858699999999,A
76.53858699999999,77.920174,E:min
77.920174,79.278542,E:min
79.278542,80.648519,B:min
80.648519,82.04171600000001,A
82.04171600000001,83.434913,G
83.434913,84.82811099999999,E
84.82811099999999,86.209698,B:min
86.209698,87.626115,A
87.626115,89.007703,G
89.007703,90.43573,G
90.43573,91.840537,E:min
91.840537,93.268564,A
93.268564,94.68498100000001,E:min
94.68498100000001,96.066569,E:min
96.066569,98.852963,D
98.852963,101.662578,E:min
101.662578,104.390923,D
104.390923,107.212147,E:min
107.212147,110.02176200000001,B:min
110.02176200000001,112.854596,A:min
112.854596,115.61777099999999,C
115.61777099999999,118.415775,E:min
118.415775,119.83219199999999,B:min
119.83219199999999,121.22538999999999,A
121.22538999999999,122.641807,G
122.641807,124.06983400000001,E
124.06983400000001,125.428201,B:min
125.428201,126.856229,A
126.856229,128.272646,G
128.272646,129.68906299999998,G
129.68906299999998,131.10548,E:min
131.10548,132.510288,A
132.510288,133.726917,E:min
133.726917,135.366342,A
135.366342,136.484173,E:min
136.484173,138.187567,A
138.187567,139.360174,E:min
139.360174,140.904301,A
140.904301,142.134959,E:min
142.134959,144.181512,A
144.181512,149.39428600000002,N
