begin,end,chord
0.0,9.86102,N
9.86102,11.248049,C
11.248049,22.521337,C
22.521337,28.140565999999996,F
28.140565999999996,33.724965000000005,G
33.724965000000005,37.892947,F
37.892947,43.628276,C
43.628276,49.131405,C
49.131405,54.715804000000006,F
54.715804000000006,60.276984,G
60.276984,64.514625,F
64.514625,70.203514,C
70.203514,75.88079300000001,C
75.88079300000001,81.558072,F
81.558072,87.246961,C
87.246961,92.97068,G
92.97068,98.601519,F
98.601519,104.302018,C
104.302018,109.93285700000001,C
109.93285700000001,115.505646,F
115.505646,121.10165500000001,G
121.10165500000001,125.350907,F
125.350907,130.970136,C
130.970136,136.612585,C
136.612585,142.243424,F
142.243424,147.909092,C
147.909092,153.528321,G
153.528321,159.135941,F
159.135941,164.171555,C
164.171555,170.351179,C/5
170.351179,175.912358,C
175.912358,181.636077,C
181.636077,187.406235,F
187.406235,194.569591,C
194.569591,200.25848,G
200.25848,205.94736899999998,F
205.94736899999998,211.70591800000003,C
211.70591800000003,214.585192,F
214.585192,217.48768700000002,G
217.48768700000002,218.230725,C:sus4
218.230725,218.98537400000004,C
218.98537400000004,230.42612200000002,C
