begin,end,chord
0.0,1.129709,N
1.129709,3.04447,N
3.04447,5.20815,D
5.20815,7.158117,D
7.158117,9.050544,G
9.050544,11.03585,D
11.03585,12.997936,G
12.997936,14.983242,D
14.983242,16.933718,G
16.933718,20.741791,"A:min7(*5,b6)"
20.741791,22.680657,B:min
22.680657,24.654353,G:7
24.654353,26.581609000000004,B:min
26.581609000000004,28.508865999999998,G:7
28.508865999999998,30.494172,B:min
30.494172,31.43458,E:7
31.43458,32.421428000000006,A
32.421428000000006,33.431496,D
33.431496,34.406734,G
34.406734,36.3456,A
36.3456,38.307687,D
38.307687,40.304603,G
40.304603,42.278299,D
42.278299,44.251995,G
44.251995,46.225691,D
46.225691,48.176167,G
48.176167,52.07712,"A:min7(*5,b6)"
52.07712,54.027595999999996,B:min
54.027595999999996,55.93163199999999,G:7
55.93163199999999,57.95176800000001,B:min
57.95176800000001,59.879024,G:7
59.879024,61.841111,B:min
61.841111,62.839569,E:7
62.839569,63.826417000000006,A
63.826417000000006,64.836485,D
64.836485,65.811723,G
65.811723,67.78541899999999,A:7(#9)
67.78541899999999,69.747505,D
69.747505,71.686371,G
71.686371,73.636848,D
73.636848,75.62215400000001,G
75.62215400000001,77.58424000000001,D
77.58424000000001,79.523106,G
79.523106,83.424058,A:min(*5)
83.424058,85.40936500000001,B:min
85.40936500000001,87.30179100000001,G:7
87.30179100000001,89.310317,B:min
89.310317,91.272403,G:7
91.272403,93.246099,B:min
93.246099,94.19811700000001,E:7
94.19811700000001,95.196575,A
95.196575,96.19503399999999,D
96.19503399999999,97.15866199999999,G
97.15866199999999,99.085918,A
99.085918,101.071224,D
101.071224,103.03331,G
103.03331,104.96056599999999,D
104.96056599999999,106.98070200000001,G
106.98070200000001,108.919569,D
108.919569,110.88165500000001,G
110.88165500000001,114.78260700000001,"A:min7(*5,b6)"
114.78260700000001,116.721473,B:min
116.721473,118.66033999999999,G:7
118.66033999999999,120.657256,B:min
120.657256,122.596122,G:7
122.596122,124.581428,B:min
124.581428,125.545056,E:7
125.545056,126.55512399999999,A
126.55512399999999,127.518752,D
127.518752,128.49399,G
128.49399,130.479297,A:7(#9)
130.479297,131.500975,D
131.500975,132.464603,G
132.464603,134.415079,A:7(#9)
134.415079,135.425147,D
135.425147,136.400385,G
136.400385,138.37408100000002,A:7(#9)
138.37408100000002,139.360929,D
139.360929,140.27811699999998,G
140.27811699999998,142.251814,A:7(#9)
142.251814,143.238662,D
143.238662,144.19068000000001,G
144.19068000000001,146.17598600000002,A:7(#9)
146.17598600000002,150.28244899999999,N
