begin,end,chord
0.0,0.41409399999999996,N
0.41409399999999996,1.329503,D
1.329503,1.7706819999999999,D:maj6
1.7706819999999999,2.258301,D
2.258301,3.117439,E/b7
3.117439,3.5934480000000004,E:maj6/b7
3.5934480000000004,3.999798,E/b7
3.999798,4.893766,G/5
4.893766,5.323335,G:maj6/5
5.323335,5.764514,G/5
5.764514,6.623653,D
6.623653,7.064832000000001,D:maj6
7.064832000000001,7.494401,D
7.494401,9.212677000000001,D
9.212677000000001,10.919344,E
10.919344,12.660841,G
12.660841,14.425557000000001,D
14.425557000000001,16.143834,D
16.143834,17.90855,E
17.90855,19.638437,G
19.638437,21.310274,D
21.310274,23.13304,B:min
23.13304,24.828097,G
24.828097,26.534764000000003,B:min
26.534764000000003,28.241429999999998,E
28.241429999999998,29.948096999999997,D
29.948096999999997,31.654764,E
31.654764,33.34982,G
33.34982,35.114537,D
35.114537,36.867643,D
36.867643,38.57431,E
38.57431,40.315807,G
40.315807,42.045693,D
42.045693,43.76397,D
43.76397,45.505466999999996,E
45.505466999999996,47.223743,G
47.223743,48.930409999999995,D
48.930409999999995,50.671906,B:min
50.671906,52.378572999999996,G
52.378572999999996,54.027190000000004,B:min
54.027190000000004,55.78029599999999,E
55.78029599999999,57.521793,D
57.521793,59.20524,E
59.20524,60.888687,G
60.888687,62.630182999999995,D
62.630182999999995,66.101566,A
66.101566,69.665829,B:min
69.665829,73.125603,E
73.125603,74.843879,G
74.843879,76.60859599999999,A:7
76.60859599999999,78.292043,D
78.292043,80.010319,E
80.010319,81.728596,G
81.728596,83.481702,D
83.481702,85.223199,D
85.223199,86.906646,E
86.906646,88.648142,G
88.648142,90.389639,D
90.389639,92.09630600000001,B:min
92.09630600000001,93.814582,G
93.814582,95.54446899999999,B:min
95.54446899999999,97.274355,E
97.274355,98.981022,D
98.981022,100.699299,E
100.699299,102.417575,G
102.417575,104.170682,D
104.170682,107.618845,A
107.618845,111.183108,B:min
111.183108,114.642882,E
114.642882,116.384378,G
116.384378,118.11426499999999,A:7
118.11426499999999,119.83254099999999,D
119.83254099999999,121.55081799999999,E
121.55081799999999,123.303925,G
123.303925,125.06864099999999,D
125.06864099999999,126.786918,D
126.786918,128.563244,E
128.563244,130.339571,G
130.339571,132.081067,D
132.081067,133.776124,B:min
133.776124,135.506011,G
135.506011,137.189457,B:min
137.189457,138.919344,E
138.919344,140.660841,D
140.660841,142.37911699999998,E
142.37911699999998,144.08578400000002,G
144.08578400000002,145.815671,D
145.815671,147.510727,G
147.510727,149.240614,D
149.240614,150.970501,G
150.970501,152.711997,D
152.711997,153.582745,D
153.582745,154.058755,D:maj6
154.058755,154.511544,D
154.511544,155.37068200000002,E/b7
155.37068200000002,155.858301,E:maj6/b7
155.858301,156.31108999999998,E/b7
156.31108999999998,157.158618,G/5
157.158618,157.599798,G:maj6/5
157.599798,158.075807,G/5
158.075807,161.21481699999998,D
161.21481699999998,165.433469,N
