begin,end,chord
0.0,0.382952,N
0.382952,3.849274,C
3.849274,7.343877,E:min
7.343877,10.79204,C
10.79204,14.240204,E:min
14.240204,19.557573,E:min
19.557573,22.216258,C
22.216258,23.121836,E:min
23.121836,27.419379,E:min
27.419379,28.311496,E:min/b7
28.311496,30.923740999999996,C
30.923740999999996,31.782878999999998,E:min
31.782878999999998,33.547596,E:min7
33.547596,35.312312,E:min6
35.312312,37.018978999999995,C/3
37.018978999999995,38.795306,E:min
38.795306,40.594852,E:min7
40.594852,42.266689,E:min6
42.266689,43.973356,C/3
43.973356,45.772902,E:min
45.772902,51.043832,E:min
51.043832,53.609637,C
53.609637,54.526825,E:min
54.526825,59.728094999999996,E:min
59.728094999999996,62.340340000000005,C
62.340340000000005,63.222698,E:min
63.222698,64.940975,E:min7
64.940975,66.68247099999999,E:min6
66.68247099999999,68.389138,C/3
68.389138,70.14224399999999,E:min
70.14224399999999,71.906961,E:min7
71.906961,73.625238,E:min6
73.625238,75.343514,C/3
75.343514,77.096621,E:min
77.096621,80.54478399999999,C
80.54478399999999,83.969727,E:min
83.969727,87.383061,C
87.383061,90.831224,E:min
90.831224,96.020884,E:min
96.020884,98.62151899999999,C
98.62151899999999,99.457437,E:min
99.457437,104.612267,E:min
104.612267,107.27095200000001,C
107.27095200000001,108.15331,E:min
108.15331,109.918027,E:min7
109.918027,111.67113300000001,E:min6
111.67113300000001,113.43585,C/3
113.43585,115.212176,E:min
115.212176,116.96528300000001,E:min7
116.96528300000001,118.67195,E:min6
118.67195,120.43666599999999,C/3
120.43666599999999,121.874545,E:min
121.874545,122.334088,F#:min7
122.334088,123.59783,E:min
123.59783,127.686531,N
