begin,end,chord
0.0,0.42048900000000006,N
0.42048900000000006,1.9215369999999998,A
1.9215369999999998,2.385936,D
2.385936,3.744303,E
3.744303,5.6947790000000005,A
5.6947790000000005,6.194008,D
6.194008,7.645256,E
7.645256,9.618952,A
9.618952,10.129791,G
10.129791,11.062412,D
11.062412,11.312776,D/7
11.312776,11.569428,A/3
11.569428,12.567886,B:min
12.567886,13.508294,D/5
13.508294,14.448701999999999,E/3
14.448701999999999,15.42394,A
15.42394,17.444076000000003,A
17.444076000000003,17.908476,D
17.908476,19.382943,E
19.382943,21.321809,A
21.321809,21.797818,G
21.797818,22.756186,D
22.756186,23.019645,D/7
23.019645,23.272285,A/3
23.272285,24.270743,B:min
24.270743,25.234371,D/5
25.234371,26.232829,E/3
26.232829,27.184846999999998,A
27.184846999999998,29.112104,A
29.112104,31.05097,G
31.05097,32.989836,G
32.989836,34.882262,A
34.882262,36.809519,A
36.809519,38.736775,G
38.736775,40.664031,G
40.664031,42.556457,A
42.556457,44.530153999999996,A
44.530153999999996,45.017773,D
45.017773,46.4458,E
46.4458,48.442716,A
48.442716,48.941945000000004,G
48.941945000000004,49.899885999999995,D
49.899885999999995,50.165672,D/7
50.165672,50.418143,A/3
50.418143,51.41487,B:min
51.41487,52.378498,D/5
52.378498,53.342126,E/3
53.342126,54.34629399999999,A
54.34629399999999,56.314280000000004,A
56.314280000000004,56.848339,D
56.848339,58.346027,E
58.346027,60.331332999999994,A
60.331332999999994,60.830562,G
60.830562,61.796236,D
61.796236,62.048724,D/7
62.048724,62.305029000000005,A/3
62.305029000000005,63.32670699999999,B:min
63.32670699999999,64.290335,D/5
64.290335,65.288793,E/3
65.288793,66.27564100000001,A
66.27564100000001,68.16806700000001,A
68.16806700000001,70.153373,G
70.153373,72.10385,G
72.10385,74.007886,A
74.007886,75.969972,A
75.969972,77.920448,G
77.920448,79.824485,G
79.824485,81.73734499999999,A
81.73734499999999,83.655777,A
83.655777,84.166616,D
84.166616,85.617863,E
85.617863,87.49868000000001,A
87.49868000000001,87.986299,G
87.986299,89.140901,D
89.140901,89.414326,A/3
89.414326,90.366344,B:min
90.366344,91.329972,D/5
91.329972,92.27038,E/3
92.27038,93.234008,A
93.234008,95.196095,A
95.196095,97.134961,G
97.134961,99.027387,G
99.027387,101.001083,A
101.001083,102.916729,A
102.916729,104.820766,G
104.820766,106.73641200000002,G
106.73641200000002,108.617228,A
108.617228,110.54448500000001,A
110.54448500000001,111.043714,D
111.043714,112.55301100000001,E
112.55301100000001,114.46865700000001,A
114.46865700000001,115.00271599999999,D
115.00271599999999,116.535233,E
116.535233,118.49731899999999,A
118.49731899999999,118.98493799999999,D
118.98493799999999,119.81744199999999,E
119.81744199999999,124.551837,N
