begin,end,chord
0.0,0.628039,N
0.628039,1.0645799999999999,E
1.0645799999999999,1.5754190000000001,A/3
1.5754190000000001,2.1210880000000003,A:maj(*5)
2.1210880000000003,2.597097,N
2.597097,3.107936,E
3.107936,3.6419949999999996,A/3
3.6419949999999996,4.106394,A:maj(*5)
4.106394,4.5940129999999995,N
4.5940129999999995,5.139682,E
5.139682,5.638911,A/3
5.638911,6.10331,A:maj(*5)
6.10331,6.602539,N
6.602539,7.124988,E
7.124988,7.635827000000001,A/3
7.635827000000001,8.088616,A:maj(*5)
8.088616,8.413696,N
8.413696,9.156734,E
9.156734,10.329342,A
10.329342,11.072593,E
11.072593,12.303038,A
12.303038,13.057687,E
13.057687,14.334783999999999,A
14.334783999999999,15.101042999999999,E
15.101042999999999,16.3317,A
16.3317,17.134529999999998,E
17.134529999999998,18.293785999999997,A
18.293785999999997,19.127869,E
19.127869,20.302312,A
20.302312,24.425238,A
24.425238,28.575753999999996,D
28.575753999999996,32.724988,B
32.724988,33.479637,E
33.479637,34.292334999999994,D
34.292334999999994,35.710295,G
35.710295,36.370521000000004,N
36.370521000000004,37.171609000000004,E
37.171609000000004,37.891428000000005,G
37.891428000000005,40.074104,D
40.074104,41.336219,E
41.336219,42.08263,A
42.08263,43.313287,E
43.313287,44.102765999999995,A
44.102765999999995,45.379863,E
45.379863,46.134512,A
46.134512,47.4,E
47.4,48.154648,A
48.154648,48.909296999999995,E
48.909296999999995,50.151564,A
50.151564,50.964263,E
50.964263,52.1717,A
52.1717,53.077278,E
53.077278,54.168616,A
54.168616,54.911655,E
54.911655,56.16553199999999,A
56.16553199999999,56.966620999999996,E
56.966620999999996,58.220498,A
58.220498,58.998367,E
58.998367,60.217414,A
60.217414,64.32734599999999,A
64.32734599999999,68.469854,D
68.469854,72.61686999999999,B
72.61686999999999,73.394739,E
73.394739,74.172607,D
74.172607,75.809666,G:maj6
75.809666,76.250793,N
76.250793,76.993832,E
76.993832,77.73687,G
77.73687,79.46863,D:maj6
79.46863,79.884716,N
79.884716,81.115374,E
81.115374,81.93968199999999,A
81.93968199999999,83.18195,E
83.18195,83.948208,A
83.948208,85.16725600000001,E
85.16725600000001,85.956734,A
85.956734,87.152562,E
87.152562,87.94204,A
87.94204,88.685079,E
88.685079,89.985396,A
89.985396,90.740045,E
90.740045,91.982312,A
91.982312,92.760181,E
92.760181,93.956009,A
93.956009,94.757097,E
94.757097,95.999365,A
95.999365,96.788843,E
96.788843,98.019501,A
98.019501,98.820589,E
98.820589,100.051247,A
100.051247,104.21343900000001,A
104.21343900000001,108.350301,D
108.350301,112.46231200000001,B
112.46231200000001,113.251791,E
113.251791,114.02965900000001,D
114.02965900000001,115.4218,G:maj6
115.4218,116.107845,N
116.107845,116.908934,E
116.908934,117.60553200000001,G
117.60553200000001,119.730158,D:maj6
119.730158,120.399875,E:(1)
120.399875,123.83281699999999,N
123.83281699999999,125.87183600000002,E
125.87183600000002,131.983665,D
131.983665,132.673787,E
132.673787,133.977004,A
133.977004,134.67330800000002,E
134.67330800000002,136.120527,A
136.120527,136.72126,E
136.72126,137.911383,A
137.911383,138.65442099999999,E
138.65442099999999,139.885079,A
139.885079,140.662947,E
140.662947,141.916825,A
141.916825,142.671473,E
142.671473,143.91008300000001,A
143.91008300000001,144.822857,N
