begin,end,chord
0.0,0.442301,N
0.442301,7.70528,E:7
7.70528,10.549725,A
10.549725,13.370949,E
13.370949,14.752537,B:9
14.752537,16.192173999999998,A
16.192173999999998,18.932128,E
18.932128,24.632627,E:7
24.632627,27.488682,A
27.488682,30.298296,E
30.298296,31.714713,B:9
31.714713,33.107911,A
33.107911,35.882695,E
35.882695,38.63426,E
38.63426,41.478704,E
41.478704,44.311539,A
44.311539,47.109543,E
47.109543,48.491131,B:9
48.491131,49.919158,A
49.919158,52.728772,E
52.728772,58.382831,E:7
58.382831,61.157616000000004,A
61.157616000000004,64.03689,E
64.03689,65.41847800000001,B:9
65.41847800000001,66.858115,A
66.858115,69.621289,E
69.621289,72.396074,E:7(#9)
72.396074,75.182469,E:7(#9)
75.182469,78.02691300000001,A:7
78.02691300000001,80.836527,E:7(#9)
80.836527,82.264555,B:9
82.264555,83.66936199999999,A:9
83.66936199999999,85.039339,E
85.039339,86.432537,E
86.432537,89.242151,E:7
89.242151,92.121425,E:7
92.121425,94.94265,A:9
94.94265,97.77548399999999,E
97.77548399999999,99.215122,B:9
99.215122,100.585099,A
100.585099,103.394713,E:7
103.394713,109.01394199999999,E:7
109.01394199999999,111.85838700000001,A
111.85838700000001,114.691221,E
114.691221,116.10763899999999,B:9
116.10763899999999,117.489226,A
117.489226,120.32206000000001,E
120.32206000000001,125.91806899999999,E:7
125.91806899999999,128.78573400000002,A
128.78573400000002,131.595348,E
131.595348,133.034986,B:9
133.034986,134.486233,A
134.486233,135.94908999999998,E
135.94908999999998,136.489038,B:7
136.489038,136.970768,E
136.970768,139.69911299999998,E:7
139.69911299999998,142.630556,E:9
142.630556,143.75183700000002,N
