begin,end,chord
0.0,0.331451,N
0.331451,1.7594779999999999,F
1.7594779999999999,2.978526,C:aug
2.978526,4.32736,F:min7
4.32736,6.705328,Bb:7
6.705328,7.854716000000001,F
7.854716000000001,9.004104,C:aug
9.004104,10.153492,F:min7
10.153492,11.279658999999999,F:min6/5
11.279658999999999,13.555214999999999,F:min7
13.555214999999999,15.777632,F:min6
15.777632,18.071496,F:min7
18.071496,20.323832,F:min6
20.323832,22.576167,F:min7
22.576167,24.840113,F:min6
24.840113,25.943061,F
25.943061,27.034399,C:aug
27.034399,28.102517,F:min7
28.102517,29.240294,F:min6/5
29.240294,31.469409999999996,F:min7
31.469409999999996,33.617256,F:min6
33.617256,35.811541,F:min7
35.811541,37.947777,F:min6
37.947777,40.095622999999996,F:min7
40.095622999999996,42.324739,F:min6
42.324739,43.439296999999996,F
43.439296999999996,44.530634,C:9(*3)
44.530634,45.587142,F
45.587142,46.64365,C:9(*3)
46.64365,47.723378000000004,F
47.723378000000004,48.756665999999996,C:9(*3)
48.756665999999996,50.927732,F
50.927732,52.01907,C
52.01907,53.087188,G
53.087188,54.155306,C
54.155306,55.176984,G
55.176984,56.279931000000005,C
56.279931000000005,57.35965899999999,G
57.35965899999999,59.495895,C
59.495895,60.633672999999995,F
60.633672999999995,61.690181,C:aug
61.690181,62.793129,F:min7
62.793129,63.861247,F:min6/5
63.861247,66.00909200000001,F:min7
66.00909200000001,68.098888,F:min6
68.098888,70.293174,F:min7
70.293174,72.37136,F:min6
72.37136,74.530816,F:min7
74.530816,76.609002,F:min6
76.609002,77.70034,F
77.70034,78.780068,C:aug
78.780068,79.836575,F:min7
79.836575,80.869863,F:min6
80.869863,82.959659,F:min7
82.959659,85.03784499999999,F:min6
85.03784499999999,87.092811,F:min7
87.092811,89.147777,F:min6
89.147777,91.167913,F:min7
91.167913,93.25770899999999,F:min6
93.25770899999999,94.302607,F
94.302607,95.370725,C:9(*3)
95.370725,96.415623,F
96.415623,97.448911,C:9(*3)
97.448911,98.482199,F
98.482199,99.503877,C:9(*3)
99.503877,101.593673,F
101.593673,102.626961,C
102.626961,103.671859,G
103.671859,104.705147,C
104.705147,105.69199499999999,G
105.69199499999999,106.736893,C
106.736893,107.74696100000001,G
107.74696100000001,109.801927,C
109.801927,110.88165500000001,F
110.88165500000001,111.949773,C:aug
111.949773,112.994671,F:min7
112.994671,114.062789,F:min6
114.062789,116.140975,F:min7
116.140975,118.21916,F:min6
118.21916,120.355396,F:min7
120.355396,122.46841200000001,F:min6/b3
122.46841200000001,124.55820800000001,F:min7/b3
124.55820800000001,126.578344,F:min6/b3
126.578344,127.681292,F
127.681292,128.7378,C:aug
128.7378,129.771088,F:min7
129.771088,130.862426,F:min6/5
130.862426,132.963832,F:min7
132.963832,135.030408,F:min6
135.030408,137.09698400000002,F:min7
137.09698400000002,139.18678,F:min6
139.18678,141.183696,F:min7
141.183696,143.250272,F:min6
143.250272,145.374897,F:min7
145.374897,147.395034,F:min6
147.395034,149.43839,F:min7
149.43839,151.504965,F:min6
151.504965,153.525102,F:min7
153.525102,156.630204,N
